time,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,tip_x,tip_y,tip_z,tip_vx,tip_vy,tip_vz,ref_x,ref_y,ref_z,q1,q2,q3,q4,q5,qd1,qd2,qd3,qd4,qd5,ax_cmd,ay_cmd,az_cmd,controller_runtime_ms,wind_x,safe
0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1828999999999996,0.0,True
0.005,0.0,0.0,3.2,0.0,0.0,-1.0733273954080062e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-1.0733273954080062e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1504,0.0,True
0.01,0.0,0.0,3.2,0.0,0.0,-2.1466547908160123e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-2.1466547908160123e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1424,0.0,True
0.015,0.0,0.0,3.2,0.0,0.0,-3.219982186224018e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-3.219982186224018e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1409999999999996,0.0,True
0.02,0.0,0.0,3.2,0.0,0.0,-4.293309581632023e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-4.293309581632023e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1411,0.0,True
0.025,0.0,0.0,3.2,0.0,0.0,-5.3666369770400276e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-5.3666369770400276e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1401,0.0,True
0.03,0.0,0.0,3.2,0.0,0.0,-6.439964372448032e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-6.439964372448032e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1397999999999997,0.0,True
0.035,0.0,0.0,3.2,0.0,0.0,-7.513291767856037e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-7.513291767856037e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1397999999999997,0.0,True
0.04,0.0,0.0,3.2,0.0,0.0,-8.586619163264042e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-8.586619163264042e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1411,0.0,True
0.045,0.0,0.0,3.2,0.0,0.0,-9.659946558672047e-17,0.225,0.0,0.38999999999999996,0.0,0.0,-9.659946558672047e-17,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1447999999999996,0.0,True
0.05,0.0,0.0,3.2,0.0,0.0,-1.0733273954080052e-16,0.225,0.0,0.38999999999999996,0.0,0.0,-1.0733273954080052e-16,0.225,0.0,0.38999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3197,0.0,True
0.055,1.3460129786986613e-25,-1.868518592448822e-27,3.2,5.528173534506477e-23,-1.4781907010565476e-24,-1.1806601349488058e-16,0.225,2.5402732325582376e-22,0.38999999999999996,-1.8541052452635737e-24,-1.4781906997160065e-24,-1.1806601010501693e-16,0.225,0.0,0.38999999999999996,-1.4405113614270208e-22,6.665886079337775e-23,-1.605528087540992e-23,3.670667957816587e-24,-6.757087499914945e-25,-5.740466443291704e-20,2.613491420660193e-20,-5.944337965422256e-21,1.2605420640151132e-21,-2.1631814041397335e-22,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3144,0.0,True
0.06,5.667747349138062e-25,-2.9110981201426733e-26,3.2,1.1981286925217933e-22,-1.1596855428283682e-23,-1.2879928744896062e-16,0.225,1.0066147314169262e-21,0.38999999999999996,-1.1888071843072237e-23,-1.2351108952944535e-23,-1.2879928688893387e-16,0.225,0.0,0.38999999999999996,-5.6648095033891015e-22,2.5320690112645556e-22,-5.385023130173963e-23,1.0420200762303252e-23,-1.6357794272365305e-24,-1.1131318359567111e-19,4.7888472812524573e-20,-8.672951957135715e-21,1.248246999976105e-21,-1.2432599313172192e-22,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3113,0.0,True
0.065,1.3542329279360653e-24,-1.455601895018753e-25,3.2,1.9809842173445358e-22,-3.855790668399855e-23,-1.3953256140304067e-16,0.225,2.2391614946594855e-21,0.38999999999999996,-3.8855126130911796e-23,-4.230003990465055e-23,-1.395325673755516e-16,0.225,0.0,0.38999999999999996,-1.2494938044801187e-21,5.3700590088461605e-22,-9.718404448740003e-23,1.424632312880787e-23,-1.5280720397015743e-24,-1.6161279470187195e-19,6.500441516319509e-20,-8.175356189666425e-21,1.2798322787323959e-22,1.9472805528797384e-22,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.309,0.0,True
0.07,2.5760827140850045e-24,-4.552992108099329e-25,3.2,2.942003354950513e-22,-9.025741346583137e-23,-1.5026583535712072e-16,0.225,3.933561747925565e-21,0.38999999999999996,-9.124710921847587e-23,-1.0064340954356822e-22,-1.5026584861174506e-16,0.225,0.0,0.38999999999999996,-2.1749181054456743e-21,8.946611141311621e-22,-1.3035055225542952e-22,1.0248243803028565e-23,5.21430569731235e-25,-2.0826486128838318e-19,7.743268065810354e-20,-4.654007207971662e-21,-1.8295164029308723e-21,6.329457978327974e-22,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3109,0.0,True
0.075,4.330677269957758e-24,-1.1011452852301964e-24,3.2,4.1175728036323016e-22,-1.7428944945454286e-22,-1.6099910931120077e-16,0.225,6.072201348195781e-21,0.38999999999999996,-1.7726450914999877e-22,-1.9634229791250036e-22,-1.609991276010673e-16,0.225,0.0,0.38999999999999996,-3.324559833774961e-21,1.3029911087542783e-21,-1.3910861167794516e-22,-4.9219598346430516e-24,4.807550924599986e-24,-2.5129768193620297e-19,8.530383138609538e-20,1.5147316635373543e-21,-4.279517245967402e-21,1.068794422119398e-21,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3085,0.0,True
0.08,6.733543520162854e-24,-2.2631008546565105e-24,3.2,5.540120673733579e-22,-2.979508085980012e-22,-1.7173238326528081e-16,0.225,8.637954300374374e-21,0.38999999999999996,-3.047876223826518e-22,-3.380068036573171e-22,-1.7173240167236416e-16,0.225,0.0,0.38999999999999996,-4.680515265004958e-21,1.7398548556856375e-21,-1.114409206223194e-22,-3.277487396226327e-23,1.1010991098300925e-23,-2.907974484364423e-19,8.889841256271525e-20,9.824451161924239e-21,-6.836807913625044e-21,1.3800772259450699e-21,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3329,0.0,True
0.085,9.915564461437813e-24,-4.157074797788533e-24,3.2,7.238632289629713e-22,-4.682934725564059e-22,-1.8246565721936086e-16,0.225,1.1614177199320008e-20,0.38999999999999996,-4.813991333532831e-22,-5.339501430227167e-22,-1.8246566879232456e-16,0.225,0.0,0.38999999999999996,-6.225435868682446e-21,2.184825084122005e-21,-3.81021550101629e-23,-7.285593076770996e-23,1.8223317408871132e-23,-3.268983554910676e-19,8.861552782317378e-20,1.9680990888332398e-20,-9.106470364740709e-21,1.4554533737023176e-21,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.315,0.0,True
0.09,1.4021264276389886e-23,-7.033491806157332e-24,3.2,9.238771686060243e-22,-6.920783908099734e-22,-1.931989311734409e-16,0.225,1.498470312353237e-20,0.38999999999999996,-7.1430916747876e-22,-7.9214403903113265e-22,-1.931989278383778e-16,0.225,0.0,0.38999999999999996,-7.942742370041046e-21,2.6196924113207004e-21,8.70642991680592e-23,-1.2278280944035276e-22,2.5031130415942083e-23,-3.5977213202692997e-19,8.493774364584787e-20,3.044993781820075e-20,-1.0716862743867464e-20,1.2057866516244098e-21,4.450791036579623e-18,-1.5761919805939148e-30,6.310991399655286e-16,2.3115,0.0,True
