method_id,family,sample_id,task_family,wind_kind,wind_direction,safe,catastrophic,success,position_rmse_m,position_p90_m,position_p95_m,velocity_rmse_m_s,orientation_rmse_rad,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,execution_authority,semantic_fingerprint
native_full_lqr_000,native_full_lqr,native_development_000,setpoint,calm,aligned,True,False,True,0.5174421283477881,0.6953779334889576,0.6954930870338194,0.097770669039084,0.006479688065244807,0.3085491247569331,0.2184659085675261,5.4,16871.368910491612,0.0,0.0,0.08224616272674298,0.0040918472222222215,0.0237,0.03220100000000002,0.11879999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,eb63ab2ba6666f084b87236745052898eefe1ddb46c7768f4ddb45e3cdc963f8
native_full_lqr_000,native_full_lqr,native_development_001,smooth_trajectory,calm,aligned,True,False,False,0.33163895308564706,0.5639317171069074,0.7264657038902181,0.17408930226029018,0.00881851959145217,0.8398236135778044,0.13780814464341612,0.0,16870.162709159453,0.0,0.0,0.11766088363134986,0.0039017222222222222,0.0211,0.0321,0.0639,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,3dc8727c81932274b8d8a8835a5e2a95c0907f59410d0895974f9320da2465e6
native_full_lqr_000,native_full_lqr,native_development_002,setpoint,moderate,aligned,True,False,False,1.5609359984275797,2.368851273075403,2.4328087333640225,0.4671902406682993,0.024890281236487663,2.369692704350816,0.31846940502292226,,16871.468853026978,0.0,0.0,0.21293977427142222,0.004029361111111111,0.02311499999999978,0.0322,0.1328,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,50738138e1e3a07e5758e55066f10dbc62204e3a7ff50d1b1d60fa1efd55b256
native_full_lqr_000,native_full_lqr,native_development_003,smooth_trajectory,moderate,aligned,True,False,False,1.266900297842492,2.661835871385211,3.0159885676913363,0.43464776994898124,0.017345452999328253,3.2366785500203044,0.2417480254350265,0.0,16870.4673458706,0.0,0.0,0.27079269607686707,0.003806208333333333,0.0203,0.03150100000000002,0.08349999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,00e6577b0d776a487291ee800d6324ee96ff9882654f17f6b1a9289a6ba3c709
native_full_lqr_000,native_full_lqr,native_development_004,setpoint,strong_sustained,aligned,False,True,False,4.263862900913196,8.570736711748873,9.203222073211661,1.2725214869532806,0.06162600662439682,9.391347854104437,0.3033819256121016,,16874.832894126917,0.0,0.0,0.32859206177572203,0.004074236111111111,0.0289,0.031599999999999996,0.056499999999999995,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,074ae4c13925783c3f9018fb55cb85ed85957d9e8b61d12442b5fa0c5b6f7a28
native_full_lqr_000,native_full_lqr,native_development_005,smooth_trajectory,strong_sustained,aligned,False,True,False,3.8066477302749457,7.6269937028501555,8.146320615893007,1.0762364174076569,0.05556192302598526,8.290824805134184,0.31714983754167453,0.0,16874.34035946951,0.0,0.0,1.3718930162222034,0.003974888888888888,0.020999999999999998,0.03280100000000002,0.10089999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,f3b2b0516acb54a26e8651c5cf6d40a430cbc4cb47d2c19a180225486afbe1e7
native_full_lqr_000,native_full_lqr,native_development_006,setpoint,strong_transient,aligned,True,False,False,1.4935679208387747,2.2392518872521685,2.4353850404625947,0.44514269416953484,0.0227557614933404,2.4511679045936203,0.17315550890343165,,16870.43106039871,0.0,0.0,0.22551275688854167,0.003887486111111111,0.0206,0.0311,0.1137,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,ba1b5663ca9a3ff4d2ba937f3a451139c57b15dcbb3be501d25089a8f79bd87a
native_full_lqr_000,native_full_lqr,native_development_007,smooth_trajectory,strong_transient,aligned,True,False,False,1.3436813127680203,2.8438496580180943,3.3455046625686635,0.5368886083604086,0.021836659794194083,3.693712656866844,0.43296955792001257,0.0,16870.74999564377,0.0,0.0,0.20063858843790155,0.003915541666666667,0.0208,0.0314,0.2317,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,0d443b0b0ab1a0727f02054c63bdf430338afc1c23d1e6352eadf4966328b727
native_full_lqr_000,native_full_lqr,native_development_008,setpoint,stochastic,aligned,True,False,False,1.2019634979481337,1.5143417168625934,1.5146586586782225,0.22572731716209848,0.011593458314786875,1.5646691713160075,0.5905299269648241,,16871.982938283345,0.0,0.0,0.1774243878545689,0.004466763888888889,0.0293,0.0324,0.22399999999999998,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,6ab0fde1e2e4678dc1ade130fd32cf6c8929210350f60c1f34c18b6b2f3f69a2
native_full_lqr_000,native_full_lqr,native_development_009,smooth_trajectory,stochastic,aligned,True,False,False,0.5961256970258768,1.064865278182179,1.1127097481977082,0.12335804391332388,0.005464792032249866,1.1218353385351028,0.05027370031387714,1.1102230246251565e-16,16870.000640921597,0.0,0.0,0.03856095760596632,0.004375055555555555,0.029599999999999998,0.03300100000000002,0.09949999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,39b7acab078376914ac5ae3456d966192a62679e2c3ebeac73cb02a15996e544
native_full_lqr_000,native_full_lqr,native_development_010,setpoint,ramp,aligned,True,False,False,1.0537643926252076,1.313754774864326,1.614860185132256,0.3254839381258343,0.02575694952452571,1.9371300669160954,0.6228800039666865,,16872.790570978395,0.0,0.0,0.1448742272835814,0.004349444444444444,0.0292,0.03330200000000004,0.3147,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,ffc3b60c8c81f1e0bd219462f86abafb0b962b9427ebd6a1b7ad1c90a6756543
native_full_lqr_000,native_full_lqr,native_development_011,smooth_trajectory,ramp,aligned,True,False,False,1.3620347621470619,2.712763293541077,3.5942296959685907,0.7058182244783359,0.02827822491982448,4.5287308213531,1.6247624132963934,0.0,16871.982396640138,0.0,0.0,2.6636464121073944,0.004614388888888888,0.030304999999999926,0.0336,0.0625,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,aae04b6f018cc6de39fd634302ab2d11a8c3e6ceb40681c2f7595ae400c81e0a
native_full_lqr_000,native_full_lqr,native_development_012,setpoint,calm,opposed,True,False,False,1.0699016028316906,1.522944427203492,1.523551840365455,0.2512530119177425,0.01571768426071189,0.47855541211242253,0.5915788014339612,7.45,16872.23547829837,0.0,0.0,0.18135155566577002,0.004625527777777777,0.029699999999999997,0.0326,0.149,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,6add8c94de0543321752f0dcd2adde3b739be9d91f5d8915f769cfe94b8bafff
native_full_lqr_000,native_full_lqr,native_development_013,smooth_trajectory,calm,opposed,True,False,True,0.16124674979307768,0.256627549410344,0.3292498557173688,0.08583100348953054,0.005093097453468575,0.3815097947581794,0.06748349826042407,5.551115123125783e-17,16870.07081216371,0.0,0.0,0.20402890924269293,0.004815541666666666,0.030199999999999998,0.0337,0.257,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,83cd42ef533adcf4f242452c3b070f45a018fbd72b040570f736f3ca3758b999
native_full_lqr_000,native_full_lqr,native_development_014,setpoint,moderate,opposed,True,False,False,1.9273562796170534,3.454678086769809,4.003927230067767,0.5135717115065005,0.017495110881228695,4.477899749962392,0.7196757964757233,,16872.286800251142,0.0,0.0,0.1688440782124626,0.004395444444444444,0.0294,0.0327,0.0914,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,04e0989cd496b5e49e86a109297c4600e76d3bae2260a54ad751fa8174be8874
native_full_lqr_000,native_full_lqr,native_development_015,smooth_trajectory,moderate,opposed,True,False,False,1.509692831537847,2.7775066592329707,3.0991185222211004,0.3693645845972636,0.01287443293574772,3.384838972186827,0.45653768248304094,0.0,16870.386793939542,0.0,0.0,0.23976276736646895,0.004653986111111111,0.030199999999999998,0.0337,0.093,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,e8981b8368c31f31ca246875d2759d37b3e7d41af82d8b0679695ac17f15b0d6
native_full_lqr_000,native_full_lqr,native_development_016,setpoint,strong_sustained,opposed,True,False,False,3.5544626765102487,6.619661610960167,7.641470162856783,1.0213680046046252,0.04022488410323199,8.540048663024985,1.4028119882298842,,16873.140444125733,0.0,0.0,0.26176481734709556,0.004726305555555556,0.030199999999999998,0.0338,0.1296,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,f3f58c1f4b3b0bc1b5e78d285045b1a1e10cceff636eed652036f720e38031d9
native_full_lqr_000,native_full_lqr,native_development_017,smooth_trajectory,strong_sustained,opposed,True,False,False,2.858290087491396,5.642164235857918,6.423120070741341,0.8723313653020633,0.03795337079757411,7.102147995610194,1.076276670488817,0.0,16873.13662276149,0.0,0.0,2.964170969499397,0.004854944444444445,0.030899999999999997,0.03450100000000002,0.09559999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,5c3a08ddf6ee73fdb54d7f16b9ecda7a3a85188116c986423e12805e8e689569
native_full_lqr_000,native_full_lqr,native_development_018,setpoint,strong_transient,opposed,True,False,False,0.8972689807192421,1.1155208750678514,1.1162765882974695,0.16477186239490055,0.011851362712736893,0.9235142686093886,0.1814603608791823,,16869.8671213448,0.0,0.0,0.144290338755333,0.004768888888888888,0.030299999999999997,0.03410100000000002,0.0718,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,478eb32ed0bd4f945a388e10658041b13fbba15cb6cd60d59666f4f8a4aa6c95
native_full_lqr_000,native_full_lqr,native_development_019,smooth_trajectory,strong_transient,opposed,True,False,False,0.7149460230721743,1.3153558716918583,1.4684854075142133,0.20561302626727668,0.01282619254651514,1.5764495101746905,0.13545793956098218,0.0,16870.2567123108,0.0,0.0,0.23543046088674002,0.004769125,0.0304,0.0336,0.0752,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,fb81c1681d8467eee89ced22ec1284da3446e75fba7f91b4aff21e8d108a880d
native_full_lqr_000,native_full_lqr,native_development_020,setpoint,stochastic,opposed,True,False,False,1.0868528511539937,1.3498753173765008,1.5940813264917324,0.23318001132607238,0.009830324541285844,1.8645984879053374,0.5016856975920113,,16871.078221899985,0.0,0.0,0.14405838456269482,0.004550402777777778,0.030199999999999998,0.03460200000000004,0.106,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,b04d2099b019965bc70a850ac977a446263fd605c4315f11b7b29f5cb2ccf851
native_full_lqr_000,native_full_lqr,native_development_021,smooth_trajectory,stochastic,opposed,True,False,False,0.5441310364171327,0.8399128684690332,0.904957987722815,0.3205691261455917,0.015383490467142377,1.1157857326830425,0.3100344874266739,0.0,16870.474264164506,0.0,0.0,0.07566122679943066,0.004762791666666668,0.0305,0.03390100000000002,0.11019999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,bf704e396c67478905729124c4475a0e1c484e38fdb1268f0fd90d7196b924e6
native_full_lqr_000,native_full_lqr,native_development_022,setpoint,ramp,opposed,True,False,False,3.0281303833323885,5.732823410738513,7.38229129551622,1.2876760117278434,0.038132167223721994,9.111849117322176,2.955458991158688,,16873.374373251703,0.0,0.0,0.2726729213657168,0.004758486111111111,0.030199999999999998,0.03420100000000002,0.08589999999999999,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,4c887ba90a540bb8de443ecf10cdd95f13420d230457ec98a23b7ffb0d70a165
native_full_lqr_000,native_full_lqr,native_development_023,smooth_trajectory,ramp,opposed,True,False,False,1.0913026952888596,2.115385139182856,2.4834791585266713,0.44341523563897994,0.030970374195560407,2.963635684539895,1.062909195430949,0.0,16872.242264527926,0.0,0.0,3.0824242503539514,0.004611513888888889,0.030699999999999998,0.03480100000000002,0.1007,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,55cdf14b792b7a7796af9afddbcc8cb2e14a408b1a78f2ca3e3cead247473fcc
native_full_lqr_000,native_full_lqr,native_development_024,setpoint,calm,cross,True,False,True,0.625342352748009,0.831496173225112,0.8317032139476862,0.11972682136240234,0.007834433428861708,0.37655214383400615,0.2710489230397894,6.430000000000001,16871.723387179696,0.0,0.0,0.09823251770806143,0.004342944444444444,0.0295,0.03340100000000002,0.0896,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,cfce3911ae2e39d21492d589196b550b84591e2c2ad470d1e6c22f738ee930c6
native_full_lqr_000,native_full_lqr,native_development_025,smooth_trajectory,calm,cross,True,False,True,0.16226766088948374,0.2900324574379632,0.3012167650923123,0.07334029182858681,0.006485308374166837,0.11305090305282582,0.018509225572501856,0.0,16870.126233567113,0.0,0.0,0.17097294088074325,0.004662986111111111,0.030304999999999926,0.03450100000000002,0.0814,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,1d6ff37d099b15496eeb646588f6dd2ae806028874e6f81b028e1f57cb4077e3
native_full_lqr_000,native_full_lqr,native_development_026,setpoint,moderate,cross,True,False,False,1.9469703576642667,3.2071695858197975,3.7466131484155145,0.4982235174124841,0.016518054472342454,4.224683085858844,0.7497869851900674,,16872.4538526669,0.0,0.0,0.21007729744747672,0.004667583333333333,0.0299,0.0342,0.31079999999999997,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,58d416558ce94476f595154d1849a8a0f4396f2460051304aecb4a2b76063db6
native_full_lqr_000,native_full_lqr,native_development_027,smooth_trajectory,moderate,cross,True,False,False,1.9337684683634528,4.049544453571164,4.701512937936327,0.746088682696313,0.03132840552444583,5.136991046786221,0.5407164104815655,0.0,16871.764623694653,0.0,0.0,0.18314656026549206,0.004523388888888888,0.0299,0.0327,0.2034,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,6119478f61421df267be67690cfda1bf06480cf32cab1828c2cf25b8dd3d0a71
native_full_lqr_000,native_full_lqr,native_development_028,setpoint,strong_sustained,cross,False,True,False,4.683158718632587,9.17906022133568,10.029676342360313,1.2374190267433216,0.053075915436909024,10.49369410579017,0.47947246580185143,,16875.99941139464,0.0,0.0,0.33339640494856915,0.004351,0.0295,0.0319,0.0691,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,36e631db0821bc560561ff5c01337c80df08c9f6207ff0739c5fe8300fb8268e
native_full_lqr_000,native_full_lqr,native_development_029,smooth_trajectory,strong_sustained,cross,True,False,False,2.1482089176371684,4.213617496173345,5.037682076176404,0.7869502756049648,0.03542221158395404,5.881429987190816,1.475438194544236,0.0,16873.357489503156,0.0,0.0,3.370687265459733,0.004585277777777778,0.030199999999999998,0.0331,0.1283,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,fefe14fc8575633a5590a94ab4ea8c7f62c0a32d5bca4236f966fb8894461953
native_full_lqr_000,native_full_lqr,native_development_030,setpoint,strong_transient,cross,True,False,False,0.89429821826809,1.3007970568724943,1.5900870276861974,0.25259116509177443,0.013364093506694522,1.872538766363841,0.4778859523414112,,16871.28698214018,0.0,0.0,0.12383338079200683,0.004353166666666667,0.0293,0.032,0.0718,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,de62093d9f73bbf44625355ce75630c49b2b342286b97771f67ff9a17916f1c2
native_full_lqr_000,native_full_lqr,native_development_031,smooth_trajectory,strong_transient,cross,True,False,False,1.3375167640225787,2.8004551996070077,3.302746131331687,0.5294750152740973,0.021740631212184718,3.6679744502257363,0.4831130364191366,1.1102230246251565e-16,16870.736574883176,0.0,0.0,0.13996215403731477,0.0043675277777777775,0.0295,0.0322,0.0875,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,f38561498e99860322d2c9674fbdf58527e44e848dbda57baceebde9737bf905
native_full_lqr_001,native_full_lqr,native_development_000,setpoint,calm,aligned,True,False,True,0.5152077281503721,0.6953746667352836,0.6955061349812698,0.10536487630543385,0.006720865946241496,0.3959863258460027,0.2491541680454601,5.28,16871.542458320637,0.0,0.0,0.09487898685122464,0.003772222222222222,0.020399999999999998,0.03140200000000004,0.1168,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,eb63ab2ba6666f084b87236745052898eefe1ddb46c7768f4ddb45e3cdc963f8
