method_id,family,sample_id,task_family,wind_kind,wind_direction,safe,catastrophic,success,position_rmse_m,position_p90_m,position_p95_m,velocity_rmse_m_s,orientation_rmse_rad,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,execution_authority,semantic_fingerprint
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_000,setpoint,calm,aligned,True,False,False,0.4699141071048667,0.6947085817944831,0.7228073462942917,0.2987112949383843,0.024367007589681643,0.08495506461617346,0.8996590626506376,2.89,16872.023748174375,0.0,0.0,3.8373121824686867,0.08795363636363636,0.14160999999999996,0.17035400000000017,1.0546,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,eb63ab2ba6666f084b87236745052898eefe1ddb46c7768f4ddb45e3cdc963f8
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_001,smooth_trajectory,calm,aligned,True,False,False,0.20183931817852835,0.29461515736222177,0.46919631352482927,0.16032457951761214,0.013069100598270378,0.5842099536725377,0.10847156210647904,0.0,16872.45834735557,0.0,0.0,0.4192970055455142,0.08703700757575757,0.13870999999999994,0.16150500000000004,0.6507,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,3dc8727c81932274b8d8a8835a5e2a95c0907f59410d0895974f9320da2465e6
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_002,setpoint,moderate,aligned,True,False,False,1.0107013948720414,1.6739776870166698,1.6784977702314912,0.7159801986848036,0.05488881465446475,1.2146736214924492,2.051919854462371,,16883.277095529567,0.0,0.0,2.8391284153777585,0.08850340909090909,0.14150499999999996,0.164061,0.6676,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,50738138e1e3a07e5758e55066f10dbc62204e3a7ff50d1b1d60fa1efd55b256
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_003,smooth_trajectory,moderate,aligned,True,False,True,0.474258240805272,0.9218566009891201,0.968607654302798,0.2601982827643045,0.02122663682839227,0.12122014317954054,0.292111803464952,0.0,16876.230878815546,0.0,0.0,0.7960262733899081,0.08720371212121211,0.1348,0.16248300000000004,0.9073,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,00e6577b0d776a487291ee800d6324ee96ff9882654f17f6b1a9289a6ba3c709
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_004,setpoint,strong_sustained,aligned,True,False,False,1.601197552536534,2.1540702047976477,2.210462013502121,0.5276529083684663,0.041005369102829814,2.684130443744403,1.0246831895191313,,16882.682928210575,0.0,0.0,1.7877572061959168,0.09143632575757576,0.15030499999999997,0.18982000000000024,0.4441,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,074ae4c13925783c3f9018fb55cb85ed85957d9e8b61d12442b5fa0c5b6f7a28
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_005,smooth_trajectory,strong_sustained,aligned,True,False,False,1.3295297314604777,1.9930946583656604,2.112098854463412,0.4095681208357777,0.03575808090866746,2.510732299113448,0.7931286737912445,0.0,16882.805232840423,0.0,0.0,3.782221652815332,0.08648526515151514,0.11700499999999997,0.15584400000000004,0.21819999999999998,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,f3b2b0516acb54a26e8651c5cf6d40a430cbc4cb47d2c19a180225486afbe1e7
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_006,setpoint,strong_transient,aligned,True,False,False,1.0033680468161852,1.6486904256820871,1.6517018048519514,0.5134977993802486,0.04883675395043558,0.49826728081799254,1.1724849068922598,,16878.111936340774,0.0,0.0,2.4620345904841296,0.08965045454545453,0.14609999999999998,0.18169600000000044,0.4339,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,ba1b5663ca9a3ff4d2ba937f3a451139c57b15dcbb3be501d25089a8f79bd87a
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_007,smooth_trajectory,strong_transient,aligned,True,False,False,0.48779644664581695,0.9508581077727032,1.0086326586372258,0.40917609949353323,0.025076221569578346,0.8063658679223116,0.9718257301814397,0.0,16877.021592897778,0.0,0.0,0.8770527843075434,0.09057189393939394,0.14730499999999996,0.18145400000000017,0.5065,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,0d443b0b0ab1a0727f02054c63bdf430338afc1c23d1e6352eadf4966328b727
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_008,setpoint,stochastic,aligned,True,False,False,1.0510483842850233,1.5142878298506128,1.6020462748962927,0.5448766563910675,0.04820597937960495,0.44781680749751984,1.5802085089549853,4.16,16876.301806963536,0.0,0.0,5.381173066722379,0.11419526515151515,0.16160499999999997,0.19198300000000004,13.9653,0.0003787878787878788,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,6ab0fde1e2e4678dc1ade130fd32cf6c8929210350f60c1f34c18b6b2f3f69a2
task_lqr_009+LegacyTaskLevelAdapter,incumbent,native_development_009,smooth_trajectory,stochastic,aligned,True,False,True,0.21282998461743247,0.42947445761100167,0.47454625105804504,0.06366075192165971,0.007411941159240204,0.47075594606283916,0.0734974627763035,1.1102230246251565e-16,16870.430212595762,0.0,0.0,0.2056386204609017,0.10595587121212119,0.15560499999999997,0.1891,0.6426,0.0,NATIVE_STACK_BENCHMARK_V1_1_AUTHORITATIVE,39b7acab078376914ac5ae3456d966192a62679e2c3ebeac73cb02a15996e544
