method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,large_endpoint_failure_fraction
r1r2_full_lqr_c_0_13,native_full_lqr,48,0.3958333333333333,0.16666666666666666,29,20.48978412534765,34.54639438781452,47.938134711173,1.261041195741968,2.672372326598144,3.7145573210839147,2.28229039470147,1.2733962689635479,3.532020178617502,2.1546781518096356,,10.367960250750896,21.327595393535304,26584.191333346414,0.0,0.0,635.5526252089386,0.005242015467171717,0.062099999999999995,0.07688347000000001,7.7291,0.0,0.6041666666666666
r1r2_full_lqr_c_0_15,native_full_lqr,48,0.3958333333333333,0.14583333333333334,29,16.617777248828805,32.215836696100084,35.43622754340203,2.0751841786140166,8.798428986205876,10.818172995771155,2.528157148167219,1.5913044822107683,5.841465678743767,2.7270550084425342,,7.8883817623964525,17.714233444529523,26486.1673417672,0.0,0.0,407.27527766784095,0.015025776289682538,0.061759999999999995,0.07808553000000006,7.5695,7.4404761904761905e-06,0.6458333333333334
r1r2_full_lqr_c_0_14,native_full_lqr,48,0.375,0.22916666666666666,30,19.699789704289945,30.042940470722286,34.14137539914165,1.0716038106893904,3.8384315989925697,4.906400604164705,2.6161238277316325,1.1201576856654667,2.9270679300697076,2.177275435543937,,8.692777061980483,16.912414479571197,26261.110877935822,0.0,0.0,494.88060725795157,0.009257682002314813,0.06526,0.07773153000000001,21.860899999999997,2.8935185185185184e-06,0.625
r1r2_full_lqr_c_0_04,native_full_lqr,48,0.375,0.1875,30,13.066404752230545,20.86635369948389,23.435279985517326,2.3222693439199356,7.32908638219329,8.900044544282647,2.4381491337940173,1.6342243207515885,7.227124731193176,3.6648500701481885,,9.636388567178885,24.72644425539091,23676.350441389786,0.0,0.0,273.76350834904713,0.024851801562499998,0.06162674999999997,0.08680900000000003,2.7216,1.0416666666666666e-05,0.6041666666666666
r1r2_full_lqr_c_0_08,native_full_lqr,48,0.3333333333333333,0.125,32,16.357791936692244,33.18562179829018,36.09781823848781,1.7002203384373828,3.74796680599177,6.987195491679919,2.697742140085296,1.5792449899539573,3.926553682817424,2.5909756410902336,,9.526470906039474,17.73213978310372,26891.108265854306,0.0,0.0,527.7276218699768,0.009412900462962961,0.06335674999999998,0.07526100000000004,2.1736,0.0,0.6875
r1r2_full_lqr_c_0_06,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,17.14371095347913,31.6478441781443,34.476352305784026,1.9507434398705314,6.316407880485214,7.2852717067926065,2.6505384319177705,1.4611123196773168,3.932817104913308,1.9226622274867105,,8.163077379905914,20.41501439504274,27162.26792267969,0.0,0.0,671.5541453936075,0.0026304346955128206,0.0006,0.07463232999999998,1.9657,0.0,0.6458333333333334
r1r2_full_lqr_c_0_17,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,12.632930050668932,24.305720390118935,27.18088663775007,1.72543266530978,7.14915610032257,8.99760899315923,2.5704296014357646,1.331784456773985,4.134756897390095,2.0863307432420135,,7.727071931995285,17.606933852687597,21539.15006267707,0.0,0.0,205.38459467753114,0.02366265989583333,0.059265,0.07807199999999984,18.0916,0.00013107638888888888,0.6666666666666666
r1r2_full_lqr_c_0_23,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,16.679291608053713,35.09244615713271,42.147283882507175,2.649925825497426,5.4691714206645905,9.45265319909184,2.6434337034388196,1.9440870839234023,7.69637785074386,3.4535298919787305,,10.30660384688127,29.41025381118073,26585.193625746557,0.0,0.0,258.27315618317584,0.02457002664930555,0.059265,0.08101405999999983,15.544699999999999,6.510416666666667e-05,0.6666666666666666
r1r2_full_lqr_c_0_22,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,16.74118399269708,28.279073843617095,40.941527158384744,1.7226257144388424,3.1381635886213237,3.973482242358437,2.5029995815839143,1.5609706639666288,4.236551957552099,3.4811664144989876,,8.852981981189513,20.665666986764663,26644.859350113722,0.0,0.0,306.97722078982633,0.0255451078125,0.06212499999999999,0.08419659000000003,11.9576,5.034722222222222e-05,0.6875
r1r2_full_lqr_c_0_05,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,17.22546128349663,28.279730814607746,29.44468093561627,2.352721307125425,4.216943156914489,4.826754012764089,2.701508914483179,1.8841524247052792,6.278901272892642,3.350985885063104,,9.47992995068066,19.566299889402117,31135.369977743318,0.0,0.0,250.7513567205057,0.025712895399305557,0.060665,0.08629052999999992,9.6462,0.00013802083333333334,0.6875
r1r2_full_lqr_c_0_21,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,17.575493038136965,36.26724429903327,37.816913048213756,1.7485731002959224,3.6538856703181715,5.2675728883451445,2.460536819847791,1.5581597070475264,4.005806000441551,2.7799354682738593,,8.399160465711603,19.299687962664628,26661.704206323775,0.0,0.0,412.93908879067004,0.01540647296626984,0.062229999999999994,0.07891347000000003,7.9975,2.48015873015873e-06,0.6875
r1r2_full_lqr_c_0_10,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,17.846958303158587,34.901200860392606,46.30829418346152,1.6141462482801128,3.1102722981839044,3.8283239568227057,2.6074096871178876,1.5203369202011159,3.7403781961882636,3.4620217597333607,,8.699361696018059,18.901375586643276,26721.97506890884,0.0,0.0,302.9589064605237,0.024485785243055558,0.061529999999999994,0.08269235000000007,7.9733,1.9097222222222222e-05,0.6875
r1r2_full_lqr_c_0_09,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,18.453539758377968,33.52503553132865,34.54968435538536,1.7573154749277908,3.6412433161972655,6.222882044643592,2.3572085580980837,1.550221931526205,4.300991776051249,3.0448657279549685,,8.415970874299864,17.606554968458084,26536.61552709695,0.0,0.0,409.9058812685825,0.014868666418650792,0.062595,0.08041947000000003,14.8302,1.736111111111111e-05,0.6875
r1r2_full_lqr_c_0_11,native_full_lqr,48,0.3333333333333333,0.10416666666666667,32,18.981574264287634,28.513349133175318,39.846940727992546,2.274986517923166,10.571607552977444,10.991822962163926,2.5056636296709667,1.6013637095556483,5.347708889010415,3.43908260892105,,12.521561823829444,30.798070327586217,26394.166695888987,0.0,0.0,221.7729234318747,0.024805290364583333,0.060524999999999995,0.08593099999999983,7.4295,6.944444444444444e-05,0.6875
r1r2_full_lqr_c_0_20,native_full_lqr,48,0.3333333333333333,0.08333333333333333,32,16.357791936692244,33.18562179829018,36.09781823848781,2.4695270817092796,12.305726150303762,13.656278042531907,2.669759997442048,1.7476821441890376,5.8634216702367254,2.6474312756474006,,10.253813136919192,15.87240760372024,27084.830259375853,0.0,0.0,540.5419442437855,0.009389664930555555,0.06476674999999997,0.07741394000000004,6.045,2.8935185185185184e-06,0.6666666666666666
r1r2_full_lqr_c_0_19,native_full_lqr,48,0.3333333333333333,0.08333333333333333,32,17.384347298504846,27.839264537810852,30.70809344779286,2.009519954904773,8.95299987138492,9.850559850895808,2.7505699094343297,1.6146311973573877,4.674698383859895,3.3873342790446657,,10.241492622181157,19.92290527328847,26879.34305622675,0.0,0.0,607.422642576666,0.005457034722222222,0.063565,0.07402112000000007,4.544099999999999,0.0,0.7083333333333334
r1r2_full_lqr_c_0_07,native_full_lqr,48,0.3333333333333333,0.08333333333333333,32,17.384637993551824,27.839264537810852,30.70809344779286,2.009519954904773,8.95299987138492,9.850559850895808,2.7505098586544636,1.6146311973573877,4.674698383859895,3.3873342790446657,,10.241928664751619,19.92290527328847,26878.467045485635,0.0,0.0,607.3785995009143,0.00534038005050505,0.06516499999999999,0.07785441000000003,10.7605,0.0,0.7083333333333334
r1r2_full_lqr_c_0_01,native_full_lqr,48,0.3333333333333333,0.08333333333333333,32,17.79113392538412,33.26625080638143,36.96036125898821,2.068455407964742,9.07766144571858,10.584073801227781,2.4807943460004407,1.5883281338925748,4.718796145815715,3.055966722983975,,9.105494296652449,15.612969872822859,26894.39860985732,0.0,0.0,619.3091980913654,0.0052402755681818175,0.06316999999999992,0.07480741000000003,1.7976999999999999,0.0,0.7083333333333334
r1r2_full_lqr_c_0_00,native_full_lqr,48,0.3333333333333333,0.041666666666666664,32,17.46453423997374,30.033327231103183,34.05664454897569,2.1457071608227114,8.801958912842059,10.501261606350353,2.853780351082863,1.7352412911239476,4.684533659788671,3.4896518633727354,,10.529916957325113,18.88107887528047,27414.21898429027,0.0,0.0,681.4447071375264,0.002587584468482906,0.0006,0.07595299999999999,1.183,0.0,0.7291666666666666
