method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,large_endpoint_failure_fraction
r1r2_pid_007,native_pid,48,0.8125,0.08333333333333333,9,1.66383129877122,2.104654197226324,2.198382936078266,0.5390146983520968,0.9081202219503618,1.2366152758806093,0.1717977108171478,0.43834798046229,1.1053574325255873,0.5892782681804868,2.715,1.1081215873923682,1.7421939997458715,16737.628016862673,0.006947916666666667,0.006020833333333334,15.863572791850425,0.1144309403409091,0.16327999999999998,0.3199115900000001,24.5824,0.00041982323232323237,0.5625
r1r2_pid_026,native_pid,48,0.5625,0.0625,21,2.0910821940845277,2.4059284633726747,2.457584954283503,0.5658300302586546,1.126155863553713,1.3158785098073802,0.5054841132422377,0.5021905023415975,0.993389366038679,1.1328191795501705,1.95,1.330344066058464,2.114069495097327,16041.545964171926,0.037760416666666664,0.029913194444444447,31.84703571324641,0.10571907638888889,0.14730974999999985,0.2379743700000006,33.223,0.00046585648148148143,0.5833333333333334
r1r2_pid_027,native_pid,48,0.5208333333333334,0.020833333333333332,23,3.7240588473836937,6.023460862671752,7.008350962298497,0.7728147637737407,1.1942576458692238,1.549791495695523,0.8383428697020618,0.6831291640204586,1.8742075964565583,1.2069583021374275,,1.9460746989535374,3.4636977447101467,15735.996174993712,0.05819444444444444,0.044343749999999994,44.88155267639809,0.09524881994047618,0.14426174999999997,0.22430193000000026,22.0627,0.0002554563492063492,0.7708333333333334
r1r2_pid_029,native_pid,48,0.5,0.0,24,2.8414159766455307,3.4532385849697493,3.5201181472394065,0.9063259978041467,1.7543108544606063,2.039637799923702,0.7419768457921206,1.155545248854268,1.8986344647283164,2.5358449936708287,,2.0285166797218936,3.3615449628152465,16254.304577108718,0.04358506944444444,0.03915277777777778,28.81805789570687,0.06974306432291667,0.13163,0.18447805999999967,24.8982,0.0004852430555555556,0.7291666666666666
r1r2_pid_033,native_pid,48,0.4791666666666667,0.020833333333333332,25,3.091106042169823,4.23059739967636,4.97747764539685,0.703827141476964,1.3892974130129512,1.6388824530050974,1.0025195850692714,0.6400864819279491,1.5936716992693398,1.322567799703189,2.73,1.8562450856496595,3.001391583154556,15357.622910896693,0.07314236111111111,0.05885416666666667,52.84775068638496,0.09347890947420634,0.1421649999999999,0.23355865000000015,25.259,0.00021329365079365077,0.625
r1r2_pid_024,native_pid,48,0.4791666666666667,0.020833333333333332,25,1.7815585544822063,2.1215733987778775,2.2830754211209476,0.641124801971374,1.4090143762887772,1.7554525787450623,0.4045011764906645,0.6822005107864918,1.4353691161783508,1.3901568485252902,2.61,1.2328440108850858,1.8014033685376318,16013.174675308335,0.03708680555555555,0.02079861111111111,39.07893571082012,0.11067091212606837,0.148945,0.22921798999999982,19.0607,0.00039062499999999997,0.6875
r1r2_pid_003,native_pid,48,0.4583333333333333,0.0,26,2.1205820753566886,2.9593068752922727,3.0858370156240698,0.6963194853257247,1.3737923875506424,1.494852566853676,0.7332349207092806,0.7388360236431528,1.3641908708122479,1.1696629845080075,,1.4846510364207304,2.6687475264702725,15372.067408728666,0.06846180555555555,0.03340972222222222,34.65792994584809,0.07445254389880952,0.13860324999999996,0.1890967700000001,15.3814,5.9523809523809524e-05,0.5208333333333334
r1r2_pid_006,native_pid,48,0.4375,0.020833333333333332,27,2.2470382210382884,2.6449200679198124,2.6789857487253403,0.8506270876932266,1.7307724378603107,2.235731197700148,1.0019282378542773,0.8451214552515592,2.4705283560953073,1.450568418025383,3.1050000000000004,1.503841189101043,2.305198376490618,14659.887499747509,0.1115173611111111,0.056781250000000005,60.72979284815153,0.12368089810363248,0.1663,0.3462139799999995,24.4123,0.0004774305555555556,0.6875
r1r2_pid_011,native_pid,48,0.4166666666666667,0.020833333333333332,28,2.166234946593326,3.2410634965861638,3.4365425878573475,0.7533624323396996,1.6882623832904011,1.8379421362157355,1.0454048519740204,0.7991601995693598,1.646615780577916,1.6377382959553357,2.86,1.4783545170369792,2.1109745393391153,14356.083693148537,0.1279826388888889,0.04009027777777777,27.628947972706527,0.07567973246527777,0.14065999999999998,0.20870751999999815,32.724,0.0010980902777777777,0.5416666666666666
r1r2_pid_044,native_pid,48,0.4166666666666667,0.020833333333333332,28,4.1293754574430315,6.027976296158029,6.573568063141597,0.8889048470581348,1.6674093900340667,2.073205810486947,1.5970896147492744,0.8565055273257199,2.0291858971945866,2.0006679641003062,,2.274479622972467,4.394583979052099,14379.75718803493,0.12209722222222223,0.10080902777777778,69.49461591976167,0.1000926608796296,0.14585499999999998,0.25813108000000073,21.354499999999998,0.0003472222222222223,0.7291666666666666
r1r2_pid_014,native_pid,48,0.3958333333333333,0.020833333333333332,29,2.8676291650045904,4.201027208580356,4.944994786312823,0.8828010603907376,1.9017570977220934,2.121596272282234,1.0853296938045565,0.9032048239738458,2.383057002707338,1.3647208839953258,,1.8623344943051836,3.026567058879866,14261.30297718056,0.13613541666666665,0.06694444444444445,51.43251348485946,0.11888266059027779,0.21168349999999989,0.5892624300000008,29.8224,0.0009924768518518518,0.8125
r1r2_pid_021,native_pid,48,0.3958333333333333,0.020833333333333332,29,2.5831146043017585,3.5240865324842625,4.068777761809228,0.920024853140736,1.8910177770566858,2.598861854039523,1.2385040199906736,0.9389874607716973,2.505598071662202,1.5214754184851589,,1.7551235369565514,2.6441970407905466,14399.05719570786,0.12143055555555556,0.07776041666666667,54.458175563444804,0.09326996205357145,0.143925,0.22008742000000056,32.457,0.0002802579365079365,0.8541666666666666
r1r2_pid_035,native_pid,48,0.375,0.041666666666666664,30,1.417202941775764,1.8299909380298118,2.012139492575841,0.6106477680467625,1.2327633910697668,1.515046341770298,0.7742614362460937,0.5623421042725197,1.22078983136951,0.736050078916214,3.8200000000000003,1.0661485233026768,1.6108604898993284,14545.822652592411,0.11005555555555556,0.03302083333333333,22.998641433206313,0.0698261234375,0.13069674999999997,0.17730782999999845,26.0184,0.0004210069444444445,0.4791666666666667
r1r2_pid_036,native_pid,48,0.3541666666666667,0.020833333333333332,31,2.385202439272924,2.9121860697993003,4.7791767453965885,0.7369910002475354,1.5169926821710256,1.6493249865143986,1.252616962802824,0.8072801447637902,1.8742854581596078,1.2499653403977746,,1.7216097660254228,2.499246885764885,14099.849677566555,0.12411805555555555,0.09778472222222223,76.88473593483936,0.11590352931356836,0.15428,0.31732117999999854,23.3007,0.000454059829059829,0.6458333333333334
r1r2_pid_045,native_pid,48,0.3541666666666667,0.020833333333333332,31,2.934654818053765,3.4175315130678654,3.78989073841917,1.113843147130742,1.8996535503520096,2.1745094489669508,1.5862224378523457,1.0456534533106898,2.112047499402031,2.551728124711499,,2.328746546751107,3.252131242507759,13472.757086140293,0.16432291666666665,0.10526736111111112,65.39874324425385,0.08787337227182539,0.14326674999999997,0.22059417000000017,22.561799999999998,0.00021081349206349207,0.7083333333333334
r1r2_pid_009,native_pid,48,0.3125,0.020833333333333332,33,4.2079718607095,6.225013295605695,7.037773231820715,1.118486715530812,2.168903725854141,2.552075368785097,1.4901608432196667,1.2029192826025144,2.8557841872874783,2.3968648348331016,,2.431589413574847,3.632829597572516,14515.905248439796,0.11457291666666668,0.11403819444444445,84.211924988538,0.09664875173611111,0.15286824999999993,0.2972728200000002,24.9053,0.00044890873015873017,0.7916666666666666
r1r2_pid_018,native_pid,48,0.3125,0.0,33,3.464709692910159,4.840249618718601,5.534777565857531,1.0326427564931646,1.7393111540417674,2.2128837847073486,1.3454804987075388,1.111119317010908,2.3308315030473983,2.2091074811412468,,2.1757040863240102,4.197161905023801,13563.677764024425,0.1563298611111111,0.07355902777777777,76.00079811514068,0.11425055588942308,0.1522349999999999,0.25094884999999795,23.940199999999997,0.00025040064102564106,0.75
r1r2_pid_019,native_pid,48,0.2916666666666667,0.0,34,3.5581253209504453,4.57185579373535,4.70922444750225,1.217440414393429,1.9208487467856565,2.5070737110366617,1.9577047864312807,1.321269509975481,2.23598421050623,2.627292120447071,,2.4348533882616223,3.837194684728629,13281.329351232429,0.16219097222222223,0.1358923611111111,81.36330885966584,0.10601875662878789,0.14876,0.2432103000000004,23.9153,0.00029356060606060605,0.75
r1r2_pid_037,native_pid,48,0.25,0.020833333333333332,36,3.0677324228246428,4.671755028433291,4.992094816371544,1.0416217632556781,1.7774353995561796,1.9007038002249221,1.61777701085139,1.077272781747389,2.1289484622682813,1.8270914859437148,7.03,2.06008625605027,3.477368583201933,12852.454074790294,0.19853472222222224,0.08710069444444445,63.62464748841294,0.10836002430555554,0.1475152499999999,0.23965258000000017,28.593999999999998,0.0003345959595959596,0.75
r1r2_pid_025,native_pid,48,0.25,0.0,36,3.672759647455458,5.489341133403213,6.005494672191014,1.2090486073230537,2.286605518113403,2.40761437046411,1.5467645725423342,1.377583241687687,3.131501226804039,2.1908487765405322,,2.245011748795669,3.8263309298157666,13444.911525701493,0.14572569444444447,0.10887847222222223,71.56443499203722,0.10626400063131314,0.14847324999999986,0.22890937000000036,23.768,0.00036931818181818187,0.8541666666666666
r1r2_pid_047,native_pid,48,0.25,0.0,36,3.76905715924858,5.523633472846446,6.9428354326561585,1.1681816376954723,2.203258684528979,2.333777025705825,1.7807195538709664,1.3479885276013521,3.0194984632882442,2.190623918878136,,2.4972445430410977,3.8492702022859513,13150.406228713584,0.1701284722222222,0.11643402777777778,49.52306358989324,0.059606622309027774,0.13263,0.204641,21.1924,2.951388888888889e-05,0.9166666666666666
r1r2_pid_028,native_pid,48,0.20833333333333334,0.0,38,3.1385494608356637,4.538695056254088,4.7334240777104055,1.289682198582809,1.8868599303068945,2.4122961824443103,1.7228774092670431,1.1417692170823628,3.0165360538606816,1.710105567222426,,2.0263970988034163,3.5272550354411862,12333.305644520164,0.22174652777777779,0.0958611111111111,60.47000426064064,0.07281399565972223,0.13589324999999994,0.19718147000000008,29.223,0.000203125,0.7291666666666666
