method_id,family,case_count,safety_rate,success_rate,catastrophic_count,setpoint_position_rmse_m,setpoint_position_p90_m,setpoint_position_p95_m,trajectory_position_rmse_m,trajectory_position_p90_m,trajectory_position_p95_m,orientation_rmse_rad,tip_velocity_rmse_m_s,endpoint_position_error_m,endpoint_velocity_error_m_s,acquisition_time_s,strong_mean_m,strong_p90_m,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,deadline_miss_rate,large_endpoint_failure_fraction
r1r2_task_lqr_c_0_11,native_task_lqr,48,0.0,0.0,48,5.426164931724945,9.590751008573811,10.786199019957442,3.974594901669891,6.937718229269385,7.4673752570140195,3.523620848611778,3.01919242703527,8.307092463323979,3.539332168360423,,4.233459638925639,6.669356100917964,17667.94237960457,0.0,0.0,230.36478104213816,0.02494744904513889,0.06162499999999999,0.08827299999999982,10.5323,5.5555555555555565e-05,0.9166666666666666
r1r2_task_lqr_c_0_09,native_task_lqr,48,0.0,0.0,48,5.197248006934518,7.983974948087877,8.671007838119808,3.9858197834974676,6.901778189543934,7.159376995601195,3.5878406373618286,2.9610773889473023,8.343567258602306,3.252812071486067,,4.961854765327923,6.9182538020141395,17708.024891599893,0.0,0.0,366.9667692916132,0.014931760168650792,0.06336,0.08109747000000003,8.3866,4.96031746031746e-06,0.9375
r1r2_task_lqr_c_0_08,native_task_lqr,48,0.0,0.0,48,5.319405211862178,7.539610491887143,8.390719666578471,3.6139238902096458,6.141344468953494,6.621954341756642,3.676863654524267,2.92351576220954,6.889335947527621,2.6687681086086825,,4.405285523950125,6.765753317626244,17716.459083914033,0.0,0.0,439.2952999025567,0.009326362847222222,0.06243,0.07551959000000004,10.3134,2.8935185185185184e-06,0.9375
r1r2_task_lqr_c_1_13,native_task_lqr,48,0.0,0.0,48,5.861839371086442,9.222022098282425,9.554437043892852,3.84306550336291,6.529997628288069,7.422272077102376,4.119734271749617,3.0835784449974533,7.69862002643417,2.7067873601938977,,4.9612279551952705,7.147788537635108,18077.102416720623,0.0,0.0,644.6702172326745,0.0051910101010101,0.06186324999999995,0.07637153,6.133299999999999,0.0,0.9375
r1r2_task_lqr_c_0_15,native_task_lqr,48,0.0,0.0,48,4.897575824576102,7.2763009690911975,8.227790195602372,4.202467393340567,8.613457058057262,9.158222119629443,3.509801592951192,3.052862362658733,9.160676156259237,3.019744370936882,,5.243713450917598,8.77597548903581,17681.381609171596,0.0,0.0,385.4888233494955,0.015335792906746032,0.06143,0.07799047000000002,8.2732,4.96031746031746e-06,0.9583333333333334
r1r2_task_lqr_c_0_04,native_task_lqr,48,0.0,0.0,48,5.0296976475754684,7.9068479790419275,8.591551658778801,4.143458353429298,6.751393502528643,7.221235332769748,3.531248868590312,3.066462390943851,9.537023956831353,3.293130529884777,,5.979977143934798,8.365972506718322,17622.88143342437,0.0,0.0,287.6383766358376,0.024969498958333333,0.06367999999999999,0.08995729000000009,3.2024,2.2569444444444443e-05,0.9583333333333334
r1r2_task_lqr_c_0_20,native_task_lqr,48,0.0,0.0,48,5.319405211862178,7.539610491887143,8.390719666578471,3.3684653140734633,5.5750023302536516,6.404268247317032,3.6985315216368257,3.074807809488823,6.933432024855736,3.0206739722333236,,3.865694788801442,7.055436761058432,17716.609554785082,0.0,0.0,452.60245413393176,0.009313423900462962,0.061529999999999994,0.07373053000000002,4.0623,0.0,0.9583333333333334
r1r2_task_lqr_c_1_03,native_task_lqr,48,0.0,0.0,48,5.420117623212586,7.530902104124894,8.158143243409624,3.341719452121461,5.565488681357476,6.306374823612806,3.9271506678096357,3.0397970208201652,6.930711554288345,2.3368495123296973,,4.788156906997398,7.9477250036144795,18037.325207053567,0.0,0.0,443.99560585573096,0.015048860615079365,0.061465,0.07706647000000003,12.1058,9.92063492063492e-06,0.9583333333333334
r1r2_task_lqr_c_1_15,native_task_lqr,48,0.0,0.0,48,5.5567139714450065,8.573180113750487,9.922771694045965,3.3569104404510974,5.377475530705648,5.556053338165947,3.6243686908189034,3.0760209145106017,7.133491504745396,4.056000536319289,,4.429783453582543,6.007432819573091,17983.862382344807,0.0,0.0,450.4148085796904,0.014882019593253968,0.06220324999999995,0.07966,2.5278,0.0,0.9583333333333334
r1r2_task_lqr_c_0_05,native_task_lqr,48,0.0,0.0,48,5.729533459472443,8.98360157070696,9.16474776061138,4.212254683558841,7.638528810802664,8.56118662118693,3.8331902142514136,3.0794317986900044,8.424048029481845,3.3108434319047952,,5.4022422489991175,8.855305632056908,18028.36092856109,0.0,0.0,277.475366310501,0.025165728993055553,0.06198499999999999,0.09034446999999993,9.1898,0.00014756944444444445,0.9583333333333334
r1r2_task_lqr_c_0_21,native_task_lqr,48,0.0,0.0,48,5.752616476949567,8.928829352996225,10.70369727432843,3.8676717381021226,6.338098777883556,6.830716730283905,3.6535776690158905,2.9418564284736135,7.632773754166789,2.731722966485527,,4.781167701554438,6.885104669635679,17712.343591554265,0.0,0.0,377.15063493954153,0.014805676091269843,0.061825,0.07674447000000005,8.5116,2.48015873015873e-06,0.9583333333333334
r1r2_task_lqr_c_1_14,native_task_lqr,48,0.0,0.0,48,5.830875027708491,7.649009386006414,8.728027384656201,3.230943640843906,4.97770979573993,5.184027716465506,3.7291450745540486,2.980391249532634,7.039754409375178,3.328405382809255,,4.239724297740753,6.635423692908915,18036.963085245457,0.0,0.0,549.152062585409,0.00905543460648148,0.06241999999999999,0.07485347,3.4924999999999997,0.0,0.9583333333333334
r1r2_task_lqr_c_1_09,native_task_lqr,48,0.0,0.0,48,5.919622269013293,7.602216801566159,8.271331563090731,3.4394769410415704,6.84837030219749,7.679135837705957,3.8867151877891803,3.104573586024245,6.836808823259691,3.4373576080325363,,5.110444800839364,7.616957325949198,18012.87711604431,0.0,0.0,455.26552008982776,0.01477320064484127,0.061424999999999993,0.076712,9.200999999999999,2.48015873015873e-06,0.9583333333333334
r1r2_task_lqr_c_1_00,native_task_lqr,48,0.0,0.0,48,5.940093291221731,8.002872354121429,10.594735909492112,3.2091244462515873,4.824832457231255,5.567665522164885,3.5032744478718016,2.894142686326346,5.747001049155788,2.1073548060375717,,4.876253518398936,6.211408401794607,18013.534445529527,0.0,0.0,681.9452296375579,0.0026972098691239316,0.0006,0.07325899999999999,6.204,0.0,0.9583333333333334
r1r2_task_lqr_c_1_06,native_task_lqr,48,0.0,0.0,48,5.940229792743167,9.856237161598115,10.514496551597468,3.400231254745343,5.497995760381712,5.826497894737046,4.487847854819374,3.0456089464417055,6.27023768212356,3.8421074245725517,,5.497313297463068,8.393695681844328,18107.295240088617,0.0,0.0,678.1823144748722,0.0023965738514957267,0.0006,0.07266998999999992,3.5993,0.0,0.9583333333333334
r1r2_task_lqr_c_0_02,native_task_lqr,48,0.0,0.0,48,6.462006772738053,11.138386467897822,14.181818109129491,3.486105558012495,5.981320904186535,6.14986142650634,3.963205806763464,2.970918223149108,6.731167215516648,2.785208701646789,,4.561989499095435,6.374906015578208,17709.31130808414,0.0,0.0,439.8431475445682,0.008855032118055555,0.061965,0.07510653,8.6078,0.0,0.9583333333333334
r1r2_task_lqr_c_1_17,native_task_lqr,48,0.0,0.0,48,5.17781927532689,7.0342959081606296,9.519913293372785,2.9504734444273963,4.792244356314738,5.423195431846035,3.9698624258927837,2.8065035862607495,5.989255521235292,2.949720181976353,,4.303289294630309,6.027403514970439,17702.36289074067,0.0,0.0,254.2282421363474,0.024271373697916668,0.06,0.08556205999999983,7.469799999999999,6.68402777777778e-05,0.9791666666666666
r1r2_task_lqr_c_1_04,native_task_lqr,48,0.0,0.0,48,5.187055249143268,6.936773685870408,7.808131140748593,3.5776009636784494,6.0816434931779675,6.9708351149576515,3.432670988378046,3.072954904705059,6.812853056206694,2.67138588966678,,4.964404447337941,6.838874668230918,17851.997766639848,0.0,0.0,323.1791498582001,0.025542330729166663,0.06093,0.08202671000000017,11.510399999999999,2.951388888888889e-05,0.9791666666666666
r1r2_task_lqr_c_1_18,native_task_lqr,48,0.0,0.0,48,5.636344772899052,7.775441453736956,8.084635583942744,3.0611117513415373,4.509774230483623,4.919931314890901,3.5206580388157604,3.0152158572251877,6.077456974611759,3.357336602243919,,4.055723974660501,5.950912862369586,17985.976346465315,0.0,0.0,652.5559669577251,0.0025639219417735045,0.0006,0.07282599999999996,1.9062999999999999,0.0,0.9791666666666666
r1r2_task_lqr_c_1_07,native_task_lqr,48,0.0,0.0,48,5.743888374467773,9.060718719593147,9.208927545715007,2.9313877377736337,4.629824399798331,4.715103083044379,3.85735104230929,2.857712509710238,6.014353775132676,2.720632424884601,,4.672874265595192,6.4790733892046966,18027.869760516798,0.0,0.0,631.7754730786824,0.005501255050505051,0.062995,0.07443700000000003,12.7289,0.0,0.9791666666666666
r1r2_task_lqr_c_0_00,native_task_lqr,48,0.0,0.0,48,5.898199873210949,8.166325692722184,8.870933445311636,3.644197255665272,6.584558665341066,6.960005304246191,3.608896203110742,3.042384448812929,7.365478543820212,2.9635777418397793,,5.104374260826959,6.934205153368699,17708.517659578778,0.0,0.0,587.0056695552267,0.002668979033119658,0.0006,0.07260332999999998,2.0056,0.0,0.9791666666666666
r1r2_task_lqr_c_1_02,native_task_lqr,48,0.0,0.0,48,5.921175510204478,8.560883970945078,10.592860472987343,3.4938306624172486,5.497847315110102,6.200102502130467,3.8591787227958263,3.0298555160261746,7.6097275135099,3.0134018380892833,,4.665932413567528,6.516407340884085,18039.67497807138,0.0,0.0,493.1877623859885,0.008962925347222222,0.06036,0.07351941000000002,2.6604,0.0,0.9791666666666666
r1r2_task_lqr_c_1_10,native_task_lqr,48,0.0,0.0,48,5.9301394992930385,8.221695716520305,8.9021861257627,3.0648276737098086,5.118111366210372,6.054242272124427,3.755624567338925,2.8901802038460658,6.693682503140999,3.7289466845862975,,4.583163625994018,7.065022465239803,18011.086628838824,0.0,0.0,344.18278166185996,0.02550648697916667,0.060599999999999994,0.07987506000000003,14.249099999999999,2.604166666666667e-05,0.9791666666666666
r1r2_task_lqr_c_0_03,native_task_lqr,48,0.0,0.0,48,5.9437417813819104,7.378442366821325,8.637717372209845,3.85439684086332,6.3281167209181115,6.727366006826031,3.9254063226792617,3.0737333686665522,8.08949166557467,3.191093142133934,,4.852080561957786,6.567713216749759,17697.889301171832,0.0,0.0,366.97729516102567,0.015246526041666665,0.06416,0.08097700000000001,3.4219,0.0,0.9791666666666666
r1r2_task_lqr_c_1_22,native_task_lqr,48,0.0,0.0,48,5.950948308756227,7.935858400426735,8.630796379955141,3.289127900359213,5.271572321847598,5.430770081296628,4.061233922422153,3.1607067239639144,7.149708770363374,3.6303525401210623,,4.47334158005526,6.281507991767538,18045.106692453868,0.0,0.0,332.0654356137615,0.026055467708333335,0.06899999999999999,0.10483859000000005,5.4205,1.5625e-05,0.9791666666666666
r1r2_task_lqr_c_1_23,native_task_lqr,48,0.0,0.0,48,6.045489553481777,9.536679060544392,9.770920651638876,3.1675944248338257,4.795220981139108,5.954635819050779,4.268079116795108,3.2151233504925067,6.522321212775528,3.122306338297781,,4.4790733750076415,6.148148695316961,18169.613099072605,0.0,0.0,290.9119588560294,0.025003427517361107,0.06206,0.10569452999999976,5.1352,3.559027777777778e-05,0.9791666666666666
r1r2_task_lqr_c_0_14,native_task_lqr,48,0.0,0.0,48,6.062753221773492,9.356303174701578,10.709963071453222,4.037938692938198,6.684371150681253,7.21098549099399,3.6246643199286743,3.0666209399262585,6.618183905495872,3.080248573776179,,5.229332070835862,7.770436048702548,17676.03822888807,0.0,0.0,452.49246248746084,0.009299550347222222,0.06303324999999994,0.07361900000000002,12.9346,2.8935185185185184e-06,0.9791666666666666
r1r2_task_lqr_c_0_19,native_task_lqr,48,0.0,0.0,48,6.0788897399866615,8.912678120000468,11.306993496791446,4.0617386490194205,6.977985758205972,8.272600575447813,3.95016209744282,2.988066554869338,8.123469089607681,3.028292734126722,,5.582785701080763,8.523172916816769,17714.156594622636,0.0,0.0,501.2021012338148,0.005326912878787879,0.062229999999999994,0.07251353000000003,5.6408,0.0,0.9791666666666666
