method_id,family,case_count,all_safety_rate,all_catastrophic_count,all_deadline_miss_rate,overall_success_rate,nominal_case_count,nominal_success_rate,nominal_setpoint_success_rate,nominal_trajectory_success_rate,nominal_setpoint_rmse_m,nominal_trajectory_rmse_m,nominal_endpoint_position_error_m,nominal_endpoint_velocity_error_m_s,challenge_case_count,challenge_success_rate,challenge_setpoint_rmse_m,challenge_trajectory_rmse_m,challenge_rmse_m,challenge_endpoint_position_error_m,challenge_endpoint_velocity_error_m_s,strong_mean_m,strong_p90_m,orientation_rmse_rad,acquisition_time_s,physical_effort,thrust_saturation_rate,torque_saturation_rate,wrench_rate_rms,runtime_mean_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,nominal_calm_success_rate,nominal_moderate_success_rate,nominal_stochastic_success_rate
r1r3_lqi_local_006,native_full_lqr,42,1.0,0,8.928571428571429e-05,0.40476190476190477,36,0.4722222222222222,0.5,0.4444444444444444,0.7476455735221506,0.36588345366278907,0.6529275905164096,0.23881739295649063,6,0.0,1.6093054071371806,0.9302471386432895,1.2697762728902349,2.3960164260785373,0.21190718164167133,1.1642558175292077,1.9724353480537136,0.017621820317358403,4.155,16874.339690669796,0.0,0.0,1.264460375364408,0.09539809226190477,0.15466049999999998,0.23839234000000037,24.732499999999998,0.9166666666666666,0.0,0.5
r1r3_lqi_local_000,native_full_lqr,42,1.0,0,8.928571428571429e-05,0.40476190476190477,36,0.4722222222222222,0.5,0.4444444444444444,0.7502932326280954,0.3696914966057006,0.6563205286810391,0.22414794178123282,6,0.0,1.6240606668422084,0.9447399298578173,1.2844002983500127,2.450708028752946,0.20533956292404043,1.1811197436536724,2.0067685742248442,0.017030798743749482,4.2700000000000005,16874.275468558906,0.0,0.0,1.2114940941694288,0.09663125363756614,0.152985,0.22166123000000015,22.0445,0.9166666666666666,0.0,0.5
r1r3_lqi_local_012,native_full_lqr,42,1.0,0,8.928571428571429e-05,0.38095238095238093,36,0.4166666666666667,0.3888888888888889,0.4444444444444444,0.7608087217179125,0.3429387485190585,0.647095047437913,0.3953221309255977,6,0.16666666666666666,1.5298716150964857,0.8329919350453089,1.1814317750708971,2.0332539673238483,0.39781935648498584,1.061456748998596,1.7347867866279068,0.022748936792605267,3.8100000000000005,16875.345501361207,0.0,0.0,1.6730907937957051,0.09116849206349206,0.1391999999999999,0.19266928,18.8615,0.6666666666666666,0.16666666666666666,0.4166666666666667
r1r3_lqi_local_009,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.30952380952380953,36,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.7848887728962797,0.3295477094275243,0.618688471817491,0.5304806069575909,6,0.16666666666666666,1.48363800291877,0.7668441761528612,1.1252410895358156,1.7773312445938174,0.5847026184029962,1.0027296209848628,1.5972359453531195,0.02655375421835676,3.4400000000000004,16876.172762296905,0.0,0.0,1.8325403494277093,0.09246022850529101,0.14239,0.19486636000000002,17.353199999999998,0.5,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_003,native_full_lqr,42,1.0,0,9.259259259259259e-05,0.30952380952380953,36,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.7799856445223168,0.33042480441489397,0.619267595889019,0.511851374670988,6,0.16666666666666666,1.4859644849425997,0.7726960772123875,1.1293302810774934,1.8005150745369738,0.5619074035456987,1.0076603582371937,1.6124667008651816,0.0260494833791128,3.46,16876.037353158947,0.0,0.0,1.798789858066118,0.09714811474867723,0.14798524999999998,0.20559954000000008,20.932299999999998,0.5,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_001,native_full_lqr,42,1.0,0,9.259259259259259e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8112475833809032,0.33793581671715517,0.5399269315777474,0.9106348411338505,6,0.16666666666666666,1.3143974848214521,0.7819824261658175,1.048189955493635,1.5230333069538036,0.9856672575506891,0.9317118654700866,1.329429760733361,0.03334542857244301,3.1799999999999997,16877.17107590035,0.0,0.0,2.797099305303525,0.0969542099867725,0.14739025,0.20370987000000013,20.9699,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_007,native_full_lqr,42,1.0,0,0.00010582010582010582,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8188135361577777,0.3366076990243054,0.5635338134735194,0.9530864922271716,6,0.16666666666666666,1.3124597986904412,0.7749785287189912,1.043719163704716,1.5136776439489221,1.0191026206371994,0.9273774100996942,1.3148046452014865,0.034295409945380266,3.1599999999999997,16876.54561612403,0.0,0.0,2.852473125468227,0.095393458994709,0.14959474999999992,0.2293355200000004,24.078799999999998,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_015,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8373040658564725,0.32416536487287695,0.6036023246027244,0.712432948458832,6,0.16666666666666666,1.47156904405185,0.7196038353456067,1.0955864396987283,1.5802338585983942,0.8051282522878623,0.9668611666959122,1.472910430889381,0.031273336729163444,3.2,16877.57846711866,0.0,0.0,2.0786371434012487,0.09301066898148148,0.14187449999999985,0.19805818000000006,19.034,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_018,native_full_lqr,42,1.0,0,9.58994708994709e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.8592580489069793,0.3267054793552471,0.6171543269173538,0.753705412490066,6,0.16666666666666666,1.487977484614557,0.7245412407723276,1.106259362693442,1.5951368257642473,0.8289686805368488,0.9726457506231821,1.4569388041631974,0.032184028010035566,3.1799999999999997,16878.065033342133,0.0,0.0,2.185255422018736,0.09467949900793651,0.14147549999999998,0.20836349000000026,19.5367,0.4166666666666667,0.16666666666666666,0.3333333333333333
r1r3_lqi_local_004,native_full_lqr,42,1.0,0,8.597883597883597e-05,0.2857142857142857,36,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.7844908455165969,0.3249665045881305,0.7064767608187772,0.6303624604054566,6,0.16666666666666666,1.1883080789717606,0.7469915036753886,0.9676497913235745,1.5655893940104806,0.8194844420675796,0.8624129953922484,1.2225675420632247,0.02646781987630314,3.83,16881.803273624868,0.0,0.0,2.0331056747337453,0.09674775694444444,0.14778999999999998,0.20340564000000005,22.1985,0.4166666666666667,0.16666666666666666,0.3333333333333333
