sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v7d_calm_00,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,5.767659897403994,5.436995733082724,1.469072762028448,8.335919568953468,30.277339830538015,2.0,0.24999966911107085,137.52768560759182,1.0199011495066106,0.13637182156820576,[],1.5883,0.0995850622406639,0.0,not_applicable,0
v7d_moderate_00,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.26487799595221,7.07881206889802,22.78327236428853,40.707057358432735,47.41950104909576,2.0,0.2499888885000738,137.4130940625251,1.0160596666892086,0.10671188561841659,[],1.7441,0.2987551867219917,0.0,aligned,1
v7d_calm_01,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,4.368614517645312,5.228784756562787,0.9048611218847651,6.022333526759753,28.108306782658847,2.0,0.24824046147090367,137.57137231502287,1.0489178646544093,0.12221793078670685,[],1.9394,0.13692946058091288,0.0,not_applicable,0
v7d_moderate_01,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.577805318122408,7.109427728272696,23.196515359845158,41.18082040943426,48.18672754145564,2.0,0.24619766791605363,137.89111274315795,1.0228752830370436,0.11450470562575478,[],1.651,0.2987551867219917,0.0,opposed,-1
v7d_calm_02,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,8.591511351342959,5.479028888559363,2.2533924791598228,12.443016848361497,38.41149199729955,2.0,0.18951603243678034,137.8871705214066,1.0536070709927012,0.1256733440471817,[],1.5814,0.13278008298755187,0.0,not_applicable,0
v7d_moderate_02,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.748926697079668,7.055045402722224,22.69178384219105,41.405376918534564,54.13858738889442,2.0,0.19052867749060165,138.1471702134866,1.0319425322617484,0.106385703125694,[],1.5051,0.26556016597510373,0.0,aligned,1
v7d_calm_03,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,4.387080387057757,5.351920292439318,1.0245847239466677,6.224869244341138,15.72138310279736,2.0,0.13605441272393282,133.0624481646602,0.2797076789483113,0.0993592129895874,[],1.8853,0.058091286307053944,0.0,not_applicable,0
v7d_moderate_03,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.514237833043317,7.106537026484214,23.198579595295655,41.09297284917994,34.803591452198575,2.0,0.1340129799845851,133.04599162625846,0.3142700366303714,0.11354463666356908,[],1.3946,0.24481327800829875,0.0,opposed,-1
v7d_calm_04,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,7.707612606106859,5.2863198404958185,1.693369060966651,10.868518781891874,36.409917569296084,2.0,0.08160902311721996,138.37343059419695,1.0662791508613576,0.13181059610855037,[],1.6,0.14937759336099585,0.0,not_applicable,0
v7d_moderate_04,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.83971629811236,7.066896496369116,22.762561818930863,41.544100386047596,54.404989201389306,2.0,0.08194739143484742,138.14949976739703,1.0319631191014726,0.10808166706820208,[],1.5113,0.26556016597510373,0.0,aligned,1
v7d_calm_05,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,4.565258487719485,5.279194586329534,1.0060603285397767,6.3719889159352485,28.083294089556336,2.0,0.24999999999999997,137.3521718514537,1.0323132185536144,0.1289761164635132,[],1.5687,0.14937759336099585,0.004149377593360996,not_applicable,0
v7d_moderate_05,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.580868474164873,7.111463902682202,23.224567408933122,41.18672279687469,47.57370531694321,2.0,0.25,137.66239404599162,1.020156858477937,0.11511561771752966,[],1.4186,0.3029045643153527,0.004149377593360996,opposed,-1
v7d_calm_06,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,6.010745102329704,5.438861234541951,1.529194854404154,8.674768090976618,31.58569558992469,2.0,0.23312013394521594,137.93047806877163,1.038261265501105,0.1339259748763729,[],1.7934,0.12448132780082988,0.0,not_applicable,0
v7d_moderate_06,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.290194917323085,7.079594210340631,22.769298164344615,40.742035580024705,48.59996185042405,2.0,0.23413278987658187,137.83575397537732,1.0233039968548565,0.10672099001198651,[],1.4529,0.3029045643153527,0.0,aligned,1
v7d_calm_07,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,6.61199562083638,5.509596294456742,1.830435483658592,9.671271984519915,32.860562951339915,2.0,0.25,138.1144134269501,1.0357155037018575,0.13530954448098972,[],1.3812,0.1037344398340249,0.004149377593360996,not_applicable,0
v7d_moderate_07,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,25.641973979533827,7.093096187428483,23.2329590853035,41.279371544963254,49.20004719559769,2.0,0.25,138.14542896566303,1.0263903896341937,0.1128892846131354,[],1.6795,0.2987551867219917,0.004149377593360996,opposed,-1
v7d_calm_08,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,6.359290544025854,5.034364613627073,1.2134342630976325,8.745750841709585,32.667898512864035,2.0,0.1219517888863553,138.62921273029326,1.048103539416008,0.12700310625250483,[],1.1365,0.16182572614107885,0.0,not_applicable,0
v7d_moderate_08,NORMAL_CONSTANT,fxtdo_mpc,fxtdo_v10_001,True,False,,26.03118478237946,7.079429115411961,23.148610972642835,41.8397535398618,54.09170782365499,2.0,0.12296443399077336,138.12948434254326,1.0317310500839652,0.11066165942826603,[],1.0863,0.27385892116182575,0.0,opposed,1
v7d_calm_09,NORMAL_CALM,fxtdo_mpc,fxtdo_v10_001,True,False,,7.925388087066498,5.28972312584215,1.747747751036416,11.189537652207449,36.747577214996845,2.0,0.08114098745661003,138.90795853396725,1.0681046612079188,0.1309051525173517,[],1.7903,0.15352697095435686,0.0,not_applicable,0
