candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,task_success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,control_effort,ramp_peak_position_error_m,ramp_steady_state_position_error_m,gain_norm
lqr_000,8,8,4,1.0,0.5,5.2,0.14451824365899624,0.8192675171718765,0.39153508952212157,0.0,0.0,34.57428779035359
lqr_001,8,8,4,1.0,0.5,5.015000000000001,0.14509938018884627,0.7846286371490897,0.3860997518563764,0.0,0.0,35.804561999063395
lqr_002,8,8,4,1.0,0.5,7.495,0.13391642050401129,1.012280601296621,0.4906038816163834,0.0,0.0,38.91588907159814
lqr_003,8,8,5,1.0,0.625,4.91,0.13356837628799223,0.9818732867459182,0.48383208533603606,0.0,0.0,39.744267554507374
lqr_004,8,8,2,1.0,0.25,8.09,0.12980616187074864,1.3195953051496943,0.7204595242691798,0.0,0.0,43.77953198277392
lqr_005,8,8,2,1.0,0.25,7.995000000000001,0.1291436500474931,1.294538838763815,0.7054932842118508,0.0,0.0,44.32434201239207
lqr_006,8,8,0,1.0,0.0,,0.1345365521367678,1.868279983973341,1.9427509554010338,0.0,0.0,49.18467208964664
lqr_007,8,8,0,1.0,0.0,,0.1337323475395083,1.9050598241223415,2.500485814982602,0.0,0.0,49.563534799090114
lqr_008,8,8,5,1.0,0.625,3.49,0.15697662991692057,0.7340693683986199,0.35095807892584796,0.0,0.0,29.049661878763906
lqr_009,8,8,5,1.0,0.625,3.24,0.15812128739812892,0.703237755293717,0.34636318868341454,0.0,0.0,30.11803964942467
lqr_010,8,8,4,1.0,0.5,6.0825,0.14282437509233128,0.8675251228650018,0.3989823072754133,0.0,0.0,33.07575939279619
lqr_011,8,8,4,1.0,0.5,5.9225,0.14288497303826314,0.8428872556830946,0.3965362462827377,0.0,0.0,33.79781499603813
lqr_012,8,8,2,1.0,0.25,6.605,0.13355569329317146,1.0696910055464144,0.5133178844262724,0.0,0.0,37.636114095616875
lqr_013,8,8,2,1.0,0.25,6.495,0.13318541386237212,1.049869080567463,0.5088626094923813,0.0,0.0,38.09520169669411
lqr_014,8,8,2,1.0,0.25,8.19,0.13102919201576352,1.4043961113819385,0.7851360995341857,0.0,0.0,42.62740251794527
lqr_015,8,8,2,1.0,0.25,8.15,0.13009337829176632,1.378055408584542,0.7831929132586785,0.0,0.0,42.91789536422121
lqr_016,8,8,4,1.0,0.5,5.1875,0.14935889251392215,0.7810110671520274,0.3729740307811064,0.0,0.0,35.90494031849763
lqr_017,8,8,4,1.0,0.5,4.2675,0.15012349731276192,0.7491156387362302,0.3680338264344891,0.0,0.0,37.141668658049205
lqr_018,8,8,5,1.0,0.625,5.0,0.13696684055358357,0.9457148914306462,0.44389109421675277,0.0,0.0,40.42705188798997
lqr_019,8,8,5,1.0,0.625,4.89,0.136792974752188,0.9184956875147547,0.4385272966065837,0.0,0.0,41.25907948911881
lqr_020,8,8,2,1.0,0.25,6.555,0.13013495360705116,1.1994590142506607,0.5997658371119121,0.0,0.0,45.495276454712105
lqr_021,8,8,2,1.0,0.25,6.5,0.12957790005557296,1.176654277213257,0.5939876885876247,0.0,0.0,46.03463225355576
lqr_022,8,8,0,1.0,0.0,,0.13017281474725478,1.5899258693508211,1.0039710849226573,0.0,0.0,51.075195132863996
lqr_023,8,8,0,1.0,0.0,,0.1295099592964734,1.57313011094402,1.001118241771246,0.0,0.0,51.437794636345416
lqr_024,8,8,5,1.0,0.625,3.5,0.16035134192080014,0.7158190210814517,0.3456564539348027,0.0,0.0,29.758022480425485
lqr_025,8,8,5,1.0,0.625,2.5,0.1616031714925441,0.6867772186597398,0.34136970856738824,0.0,0.0,30.82094100287692
lqr_026,8,8,4,1.0,0.5,6.065,0.1453251319414079,0.8431129775264932,0.3904198934217853,0.0,0.0,33.86195647785186
lqr_027,8,8,4,1.0,0.5,5.217499999999999,0.14547181223084732,0.8192695087308215,0.3866996193325498,0.0,0.0,34.58328104845904
lqr_028,8,8,2,1.0,0.25,6.4725,0.13492721483531744,1.0241820187153805,0.481077190372166,0.0,0.0,38.5239568588284
