time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,3.0,129.8844,0.0,True,True,False
0.005,2.4271572429995657e-06,0.0005321393818254259,0.000969981822697694,0.0,0.0,0.0,0.2250012347214716,0.0,0.38999791036960924,0.225,0.0,0.38999999999999996,3.0,129.88439999999565,0.0007268115950883969,True,True,False
0.01,9.694919629456681e-06,0.002124455104836191,0.0019372304875144469,0.0,0.0,0.0,0.2250049406993463,0.0,0.38999165847995915,0.225,0.0,0.38999999999999996,3.0,129.8843999999302,0.0014657221813094035,True,True,False
0.015,2.180181229049436e-05,0.0047762526720086665,0.0029060973016416763,0.0,0.0,0.0,0.22501112403906431,0.0,0.38998124967269493,0.225,0.0,0.38999999999999996,3.0,129.88439999964407,0.0022248509226342546,True,True,False
0.02,3.8763400791311714e-05,0.008491457275687307,0.003879278837942504,0.0,0.0,0.0,0.22501979633267513,0.0,0.3899666727370832,0.225,0.0,0.38999999999999996,3.0,129.88439999886307,0.0030150237991624154,True,True,False
0.025,6.0601099118666675e-05,0.01327528722301586,0.004856389895347574,0.0,0.0,0.0,0.2250309742971136,0.0,0.38994791270660983,0.225,0.0,0.38999999999999996,3.0,129.88439999718483,0.0038419134769407176,True,True,False
0.03,8.733195878391341e-05,0.01913134680913218,0.0058363458541270405,0.0,0.0,0.0,0.22504467862202904,0.0,0.3899249620645365,0.225,0.0,0.38999999999999996,3.0,129.8843999940615,0.004709698217763725,True,True,False
0.035,0.00011896690052982649,0.0260610857552686,0.006817802293327154,0.0,0.0,0.0,0.225060933762506,0.0,0.38989782270306694,0.225,0.0,0.38999999999999996,3.0,129.8843999887806,0.0056215997264583645,True,True,False
0.04,0.00015550963316647746,0.034063461320667815,0.007799249641023824,0.0,0.0,0.0,0.22507976778960792,0.0,0.38986650713221804,0.225,0.0,0.38999999999999996,3.0,129.88439998044308,0.006580029758925341,True,True,False
0.045,0.00019695603555911235,0.043134732463562635,0.008779105982715519,0.0,0.0,0.0,0.22510121228217955,0.0,0.3898310391942515,0.225,0.0,0.38999999999999996,3.0,129.8843999679403,0.00758673454489155,True,True,False
0.05,0.0002432939795473378,0.053268374764711864,0.009755802789471678,-0.15293526770512839,0.0,3.682537352271041e-05,0.2251253022567969,0.0,0.389791454309741,0.225,0.0,0.38999999999999996,3.0,129.88494374170006,0.23241468521762226,True,True,False
0.055,0.0002945042704789373,0.06445519708596252,0.010728132454445174,-0.15293526770512839,0.0,3.682537352271041e-05,0.22515207617160013,0.0,0.3897477984865989,0.225,0.0,0.38999999999999996,3.0,129.88496266573313,0.2226158757906404,True,True,False
0.06,0.0003505601480280569,0.07668314500028371,0.011694395371986667,-0.15293526770512839,0.0,3.682537352271041e-05,0.2251815757968059,0.0,0.3897001289487133,0.225,0.0,0.38999999999999996,3.0,129.88499537379394,0.21299378845518657,True,True,False
0.065,0.0004114276672859023,0.08993751859442432,0.012653496712053952,-0.15293526770512839,0.0,3.682537352271041e-05,0.2252138462378488,0.0,0.3896485138523835,0.225,0.0,0.38999999999999996,3.0,129.88504141794968,0.203545895494737,True,True,False
0.07,0.0004770676602355101,0.1042013979524308,0.013604555015951326,-0.15293526770512839,0.0,3.682537352271041e-05,0.22524893604489213,0.0,0.3895930302247143,0.225,0.0,0.38999999999999996,3.0,129.88510034330025,0.19426959879490996,True,True,False
0.075,0.0005474367240844224,0.11945583900892415,0.014546889576828153,-0.15293526770512839,0.0,3.682537352271041e-05,0.22528689722957462,0.0,0.389533762993169,0.225,0.0,0.38999999999999996,3.0,129.8851716896062,0.185162217226306,True,True,False
0.08,0.000622488103496176,0.13568003716143964,0.01547999176688066,-0.15293526770512839,0.0,3.682537352271041e-05,0.2253277852667793,0.0,0.3894708041403443,0.225,0.0,0.38999999999999996,3.0,129.88525499282457,0.17622099580691244,True,True,False
0.085,0.0007021723958796796,0.15285144215993013,0.016403485040042118,-0.15293526770512839,0.0,3.682537352271041e-05,0.2253716590748487,0.0,0.38940425206201107,0.225,0.0,0.38999999999999996,3.0,129.88534978652044,0.16744313237240616,True,True,False
0.09,0.000786438034190146,0.17094581376659257,0.017317078753794266,-0.15293526770512839,0.0,3.682537352271041e-05,0.2254185809696046,0.0,0.38933421117949774,0.225,0.0,0.38999999999999996,3.0,129.8854556031394,0.15882581706262902,True,True,False
0.095,0.00087523152659053,0.18993721312039674,0.01822052084507779,-0.15293526770512839,0.0,3.682537352271041e-05,0.22546861658942535,0.0,0.3892607918309073,0.225,0.0,0.38999999999999996,3.0,129.8855719751281,0.15036627988581946,True,True,False
