time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.005,0.0,0.0,1.0733273954080062e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.01,0.0,0.0,2.1466547908160123e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.015,0.0,0.0,3.219982186224018e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.02,0.0,0.0,4.293309581632023e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.025,0.0,0.0,5.3666369770400276e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.03,0.0,0.0,6.439964372448032e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.035,0.0,0.0,7.513291767856037e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.04,0.0,0.0,8.586619163264042e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.045,0.0,0.0,9.659946558672047e-17,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,False,False
0.05,0.0,0.0,1.0733273954080052e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.490190744356908e-32,True,False,False
0.055,2.711868288634501e-36,0.0,1.1806601349488058e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,2.711868288634501e-36,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.221592520899987e-32,True,False,False
0.06,1.0746113977088932e-35,0.0,1.2879928744896062e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,1.0746113977088932e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.962937009202526e-32,True,False,False
0.065,2.3904165003475773e-35,0.0,1.3953256140304067e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,2.3904165003475773e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.713940377002062e-32,True,False,False
0.07,4.199273223393492e-35,0.0,1.5026583535712072e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,4.199273223393492e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.474320904461055e-32,True,False,False
0.075,6.482377591245309e-35,0.0,1.6099910931120077e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,6.482377591245309e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.243799402092797e-32,True,False,False
0.08,9.221446750540544e-35,0.0,1.7173238326528081e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,9.221446750540544e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.022099734398929e-32,True,False,False
0.085,1.239871303674643e-34,0.0,1.8246565721936086e-16,-4.751441268892011e-32,0.0,2.6833184885200127e-16,0.225,1.239871303674643e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,5.808949718431166e-32,True,False,False
