time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,1.5,129.8844,0.0,True,False,False
0.005,6.003160554136367e-07,0.0001282395300757419,0.00024009670461627952,0.000895168392884262,0.0,0.0,0.0,0.22500032675402332,0.0,0.38999949640177256,0.225,0.0,0.38999999999999996,1.5,129.88439999999852,0.00043042318414697884,True,False,False
0.01,2.3964889850760255e-06,0.0005114781128779521,0.00047784113246218413,0.0017773219859852267,0.0,0.0,0.0,0.22500130728947468,0.0,0.38999799147972747,0.225,0.0,0.38999999999999996,1.5,129.88439999997573,0.0008596543381830182,True,False,False
0.015,5.374007216046629e-06,0.0011450043645258225,0.0007127535774710064,0.0026430014367652696,0.0,0.0,0.0,0.22500294353583897,0.0,0.3899955038293712,0.225,0.0,0.38999999999999996,1.5,129.88439999987807,0.0012845215918919593,True,False,False
0.02,9.52004154733437e-06,0.002024417401856958,0.0009453189096816396,0.003494108993000431,0.0,0.0,0.0,0.22500523864185037,0.0,0.3899920509231588,0.225,0.0,0.38999999999999996,1.5,129.88439999961864,0.0017054024264695474,True,False,False
0.025,1.48234266518719e-05,0.0031456293297125767,0.0011757455648678835,0.004331056015930876,0.0,0.0,0.0,0.22500819685652312,0.0,0.3899876490680172,0.225,0.0,0.38999999999999996,1.5,129.88439999908002,0.0021229620388609743,True,False,False
0.03,2.1273561653951268e-05,0.004504526669166091,0.001404073325190798,0.005153323333566218,0.0,0.0,0.0,0.22501182353484117,0.0,0.3899823147392073,0.225,0.0,0.38999999999999996,1.5,129.88439999811547,0.0025380213809573365,True,False,False
0.035,2.8859740994523667e-05,0.0060967576180098685,0.0016302416633558329,0.00595981516556154,0.0,0.0,0.0,0.2250161251338636,0.0,0.3899760654077086,0.225,0.0,0.38999999999999996,1.5,129.88439999655066,0.002951473626902493,True,False,False
0.04,3.7570758287058186e-05,0.007917601924786574,0.0018541334032658669,0.006749083471871212,0.0,0.0,0.0,0.2250211092017908,0.0,0.3899689200470074,0.225,0.0,0.38999999999999996,1.5,129.88439999418435,0.003364231097548091,True,False,False
0.045,4.7394684735083515e-05,0.009961891722953734,0.0020756029702353293,0.00751947103559445,0.0,0.0,0.0,0.22502678436159207,0.0,0.3899608994358705,0.225,0.0,0.38999999999999996,1.5,129.88439999078923,0.0037771913932494127,True,False,False
0.05,5.8318877213781126e-05,0.012224002259504704,0.0022947101804987,0.008270390402500837,-0.016804677570101047,0.0,0.006792659898677665,0.22503316028912596,0.0,0.3899520261877212,0.225,0.0,0.38999999999999996,1.5,129.9743380568407,0.022281389463867964,True,False,False
0.055,7.026944533364702e-05,0.01470067295172556,0.0024878599990175265,0.009021355100812844,-0.016804677570101047,0.0,0.006792659898677665,0.22504024758903599,0.0,0.38994239855449475,0.225,0.0,0.38999999999999996,1.5,129.97433878872278,0.02091365471398014,True,False,False
0.06,8.318987342968405e-05,0.017393545682674302,0.002684126266786882,0.009779506217877761,-0.016804677570101047,0.0,0.006792659898677665,0.22504805765763997,0.0,0.389932095533406,0.225,0.0,0.38999999999999996,1.5,129.97433972403564,0.0195681216073909,True,False,False
0.065,9.709484809760197e-05,0.020304426383147004,0.0028832140433254715,0.010542978739185907,-0.016804677570101047,0.0,0.006792659898677665,0.2250566027233405,0.0,0.3899211105758828,0.225,0.0,0.38999999999999996,1.5,129.974340855591,0.018243671510037546,True,False,False
0.07,0.00011199754526435993,0.023434504605662286,0.003084755336895621,0.01130934745373194,-0.016804677570101047,0.0,0.006792659898677665,0.22506589578113004,0.0,0.38990943954409063,0.225,0.0,0.38999999999999996,1.5,129.97434217617572,0.016939233633281564,True,False,False
0.075,0.00012790912335870682,0.026784203891027966,0.003288318742715956,0.012075702425122924,-0.016804677570101047,0.0,0.006792659898677665,0.2250759505324541,0.0,0.3898970812919905,0.225,0.0,0.38999999999999996,1.5,129.97434367856638,0.015653794078717146,True,False,False
0.08,0.00014483835033431787,0.030353054428161063,0.003493422090533516,0.01283873126351475,-0.016804677570101047,0.0,0.006792659898677665,0.22508678132934262,0.0,0.3898840381588405,0.225,0.0,0.38999999999999996,1.5,129.97434535554,0.014386405781307728,True,False,False
0.085,0.0001627913353253094,0.03413959010987804,0.0036995470670242647,0.013594805060130341,-0.016804677570101047,0.0,0.006792659898677665,0.2250984031232624,0.0,0.3898703163688463,0.225,0.0,0.38999999999999996,1.5,129.97434719988163,0.013136198518699347,True,False,False
0.09,0.0001817713525094681,0.038141270177323064,0.003906154941730693,0.014340064998285438,-0.016804677570101047,0.0,0.006792659898677665,0.22511083141888152,0.0,0.38985592633418337,0.225,0.0,0.38999999999999996,1.5,129.9743492043882,0.011902388337649495,True,False,False
0.095,0.0002017787503908119,0.042354425668977624,0.004112702638775189,0.015070506914963899,-0.016804677570101047,0.0,0.006792659898677665,0.22512408223268734,0.0,0.38984088286188906,0.225,0.0,0.38999999999999996,1.5,129.97435136187042,0.010684285893934031,True,False,False
0.1,0.00022281094098563253,0.04677422928737167,0.004318658494537818,0.015782061429758916,-0.03402902161349068,0.0,0.012239727426554561,0.2251381720561845,0.0,0.38982520526806375,0.225,0.0,0.38999999999999996,1.5,130.04649266098022,0.03658503422268381,True,False,False
0.105,0.00024480918747539607,0.05139462636621031,0.0045035402509004145,0.016470281215592363,-0.03402902161349068,0.0,0.012239727426554561,0.22515311785512562,0.0,0.3898089857054718,0.225,0.0,0.38999999999999996,1.5,130.04649790151618,0.03442183048290326,True,False,False
0.11,0.0002677133629753053,0.056208453616296776,0.004687381829670779,0.01713173990653493,-0.03402902161349068,0.0,0.012239727426554561,0.22516893703172333,0.0,0.3897923206220443,0.225,0.0,0.38999999999999996,1.5,130.0465037336916,0.0322985399677628,True,False,False
0.115,0.00029151453834963005,0.061207412393673145,0.00486972841843894,0.017762122340908303,-0.03402902161349068,0.0,0.012239727426554561,0.22518564731627516,0.0,0.3897752427976036,0.225,0.0,0.38999999999999996,1.5,130.0465101307415,0.030217641141608426,True,False,False
0.12,0.00031620162672152825,0.06638212274987865,0.005050357078521628,0.01835821788981362,-0.03402902161349068,0.0,0.012239727426554561,0.2252032667973211,0.0,0.3897577891871774,0.225,0.0,0.38999999999999996,1.5,130.04651706536708,0.028178626111999696,True,False,False
0.125,0.00034176218505000344,0.0717223393453269,0.005229127283554644,0.01891709470722431,-0.03402902161349068,0.0,0.012239727426554561,0.22522181396484206,0.0,0.38974000008436305,0.225,0.0,0.38999999999999996,1.5,130.04652451047286,0.026180436173788898,True,False,False
