time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,3.0,129.8844,0.0,True,False,False
0.005,2.4271572429995657e-06,0.0005321393818254259,0.000969981822697694,0.003710493605684117,0.0,0.0,0.0,0.2250012347214716,0.0,0.38999791036960924,0.225,0.0,0.38999999999999996,3.0,129.88439999999565,0.0007268115950883969,True,False,False
0.01,9.694919629456681e-06,0.002124455104836191,0.0019372304875144469,0.007406381257410702,0.0,0.0,0.0,0.2250049406993463,0.0,0.38999165847995915,0.225,0.0,0.38999999999999996,3.0,129.8843999999302,0.0014657221813094035,True,False,False
0.015,2.180181229049436e-05,0.0047762526720086665,0.0029060973016416763,0.01110918880658699,0.0,0.0,0.0,0.22501112403906431,0.0,0.38998124967269493,0.225,0.0,0.38999999999999996,3.0,129.88439999964407,0.0022248509226342546,True,False,False
0.02,3.8763400791311714e-05,0.008491457275687307,0.003879278837942504,0.014830989391441205,0.0,0.0,0.0,0.22501979633267513,0.0,0.3899666727370832,0.225,0.0,0.38999999999999996,3.0,129.88439999886307,0.0030150237991624154,True,False,False
0.025,6.0601099118666675e-05,0.01327528722301586,0.004856389895347574,0.018568618376639257,0.0,0.0,0.0,0.2250309742971136,0.0,0.38994791270660983,0.225,0.0,0.38999999999999996,3.0,129.88439999718483,0.0038419134769407176,True,False,False
0.03,8.733195878391341e-05,0.01913134680913218,0.0058363458541270405,0.022315304573103323,0.0,0.0,0.0,0.22504467862202904,0.0,0.3899249620645365,0.225,0.0,0.38999999999999996,3.0,129.8843999940615,0.004709698217763725,True,False,False
0.035,0.00011896690052982649,0.0260610857552686,0.006817802293327154,0.026062857935348543,0.0,0.0,0.0,0.225060933762506,0.0,0.38989782270306694,0.225,0.0,0.38999999999999996,3.0,129.8843999887806,0.0056215997264583645,True,False,False
0.04,0.00015550963316647746,0.034063461320667815,0.007799249641023824,0.029802144531616725,0.0,0.0,0.0,0.22507976778960792,0.0,0.38986650713221804,0.225,0.0,0.38999999999999996,3.0,129.88439998044308,0.006580029758925341,True,False,False
0.045,0.00019695603555911235,0.043134732463562635,0.008779105982715519,0.0335235316529902,0.0,0.0,0.0,0.22510121228217955,0.0,0.3898310391942515,0.225,0.0,0.38999999999999996,3.0,129.8843999679403,0.00758673454489155,True,False,False
0.05,0.0002432939795473378,0.053268374764711864,0.009755802789471678,0.037217279906016434,-0.07691243044202434,0.0,0.030391369884055854,0.2251253022567969,0.0,0.389791454309741,0.225,0.0,0.38999999999999996,3.0,130.28680996247348,0.112223993381677,True,False,False
0.055,0.00029417909856267033,0.06445515975464726,0.010599086447851704,0.040874177169341934,-0.07691243044202434,0.0,0.030391369884055854,0.22515207653396843,0.0,0.3897481784960586,0.225,0.0,0.38999999999999996,3.0,130.28681789063634,0.10675774035340076,True,False,False
0.06,0.0003492616180941501,0.07668305240011014,0.011437541212762949,0.04448413175207027,-0.07691243044202434,0.0,0.030391369884055854,0.22518157737181627,0.0,0.3897016489719842,0.225,0.0,0.38999999999999996,3.0,130.2868296547739,0.10135464678043274,True,False,False
0.065,0.00040851167273378504,0.08993739249103692,0.01227010477031571,0.04803879846139451,-0.07691243044202434,0.0,0.030391369884055854,0.2252138500592891,0.0,0.3896519340020889,0.225,0.0,0.38999999999999996,3.0,130.2868451501841,0.09601333178527921,True,False,False
0.07,0.0004718949116115717,0.10420122915343527,0.013095954066408908,0.051530527557094905,-0.07691243044202434,0.0,0.030391369884055854,0.22524894331791948,0.0,0.38959911094793176,0.225,0.0,0.38999999999999996,3.0,130.28686426933118,0.09073246477464324,True,False,False
0.075,0.0005393732782886445,0.11945551437438362,0.013914489936025735,0.054952313437399876,-0.07691243044202434,0.0,0.030391369884055854,0.22528690931610282,0.0,0.38954326530932576,0.225,0.0,0.38999999999999996,3.0,130.28688690218172,0.08551074127928512,True,False,False
0.08,0.0006109058456847885,0.1356792719440377,0.014725308817854303,0.0582976758137964,-0.07691243044202434,0.0,0.030391369884055854,0.22532780367101274,0.0,0.38948448985891404,0.225,0.0,0.38999999999999996,3.0,130.28691293653125,0.08034687937566737,True,False,False
0.085,0.0006864495572935287,0.15284972464025467,0.015528164671347681,0.06156049007125395,-0.07691243044202434,0.0,0.030391369884055854,0.2253716854314582,0.0,0.38942288395036156,0.225,0.0,0.38999999999999996,3.0,130.2869422583066,0.07523963303734488,True,False,False
0.09,0.0007659597929596054,0.17094236771851393,0.016322925168799247,0.06473478495511127,-0.07691243044202434,0.0,0.030391369884055854,0.22541861703662758,0.0,0.38935855305669453,0.225,0.0,0.38999999999999996,3.0,130.28697475183478,0.0701878182858933,True,False,False
0.095,0.0008493907193438844,0.18993098194061578,0.017109526510800714,0.06781452592929538,-0.07691243044202434,0.0,0.030391369884055854,0.22546866424744777,0.0,0.38929160857058276,0.225,0.0,0.38999999999999996,3.0,130.2870103000718,0.06519034786737865,True,False,False
0.1,0.0009366954159207969,0.20978758458993724,0.017887930976895727,0.07079340165294976,-0.15720923315643232,0.0,0.05412070534072705,0.22552189604906106,0.0,0.3892221678740361,0.225,0.0,0.38999999999999996,3.0,130.60150881442672,0.18581398966179236,True,False,False
0.105,0.0010275815863315806,0.2304821729274487,0.018565849424187385,0.07366344274949237,-0.15720923315643232,0.0,0.05412070534072705,0.22557838558541024,0.0,0.3891506508190635,0.225,0.0,0.38999999999999996,3.0,130.60159818488177,0.176391797285984,True,False,False
0.11,0.0011217599832640712,0.2519825457352479,0.0192376102779707,0.07641756283301436,-0.15720923315643232,0.0,0.05412070534072705,0.22563820902668252,0.0,0.3890774845809887,0.225,0.0,0.38999999999999996,3.0,130.601699897637,0.16714013960260243,True,False,False
0.115,0.0012191866343452228,0.2742543639435766,0.01990326541212445,0.07904774895729243,-0.15720923315643232,0.0,0.05412070534072705,0.2257014443039354,0.0,0.38900280797343606,0.225,0.0,0.38999999999999996,3.0,130.60181344714655,0.15805754133201833,True,False,False
0.12,0.001319816212462601,0.2972608819851467,0.020562835739245174,0.08154519912783145,-0.15720923315643232,0.0,0.05412070534072705,0.22576817193940327,0.0,0.3889267681023224,0.225,0.0,0.38999999999999996,3.0,130.60193832527233,0.1491426639817776,True,False,False
0.125,0.0014236015570445375,0.320962712860863,0.02121631369654972,0.08390027044312003,-0.15720923315643232,0.0,0.05412070534072705,0.22583847483400235,0.0,0.38884952125357986,0.225,0.0,0.38999999999999996,3.0,130.60207402232058,0.14039433425031206,True,False,False
0.13,0.0015304932244272276,0.3453175863228762,0.021863678253405544,0.08610248198568626,-0.15720923315643232,0.0,0.05412070534072705,0.22591243803937272,0.0,0.38877123381625167,0.225,0.0,0.38999999999999996,3.0,130.60222002797693,0.13181156500437913,True,False,False
0.135,0.0016404391186811468,0.3702801157672779,0.022504921482623296,0.08814057230299019,-0.15720923315643232,0.0,0.05412070534072705,0.22599014851904875,0.0,0.38869208317836146,0.225,0.0,0.38999999999999996,3.0,130.60237583215527,0.12339356814940154,True,False,False
0.14,0.0017533842530610586,0.3958015890612997,0.023140085118996796,0.09000260843342017,-0.15720923315643232,0.0,0.05412070534072705,0.2260716949031453,0.0,0.3886122585350812,0.225,0.0,0.38999999999999996,3.0,130.60254092577628,0.11513975929600694,True,False,False
