time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,1.5,129.8844,0.0,True,False,False
0.005,6.003160554136367e-07,0.0001282395300757419,0.00024009670461627952,0.000895168392884262,0.0,0.0,0.0,0.22500032675402332,0.0,0.38999949640177256,0.225,0.0,0.38999999999999996,1.5,129.88439999999852,0.00043042318414697884,True,False,False
0.01,2.3964889850760255e-06,0.0005114781128779521,0.00047784113246218413,0.0017773219859852267,0.0,0.0,0.0,0.22500130728947468,0.0,0.38999799147972747,0.225,0.0,0.38999999999999996,1.5,129.88439999997573,0.0008596543381830182,True,False,False
0.015,5.374007216046629e-06,0.0011450043645258225,0.0007127535774710064,0.0026430014367652696,0.0,0.0,0.0,0.22500294353583897,0.0,0.3899955038293712,0.225,0.0,0.38999999999999996,1.5,129.88439999987807,0.0012845215918919593,True,False,False
0.02,9.52004154733437e-06,0.002024417401856958,0.0009453189096816396,0.003494108993000431,0.0,0.0,0.0,0.22500523864185037,0.0,0.3899920509231588,0.225,0.0,0.38999999999999996,1.5,129.88439999961864,0.0017054024264695474,True,False,False
0.025,1.48234266518719e-05,0.0031456293297125767,0.0011757455648678835,0.004331056015930876,0.0,0.0,0.0,0.22500819685652312,0.0,0.3899876490680172,0.225,0.0,0.38999999999999996,1.5,129.88439999908002,0.0021229620388609743,True,False,False
0.03,2.1273561653951268e-05,0.004504526669166091,0.001404073325190798,0.005153323333566218,0.0,0.0,0.0,0.22501182353484117,0.0,0.3899823147392073,0.225,0.0,0.38999999999999996,1.5,129.88439999811547,0.0025380213809573365,True,False,False
0.035,2.8859740994523667e-05,0.0060967576180098685,0.0016302416633558329,0.00595981516556154,0.0,0.0,0.0,0.2250161251338636,0.0,0.3899760654077086,0.225,0.0,0.38999999999999996,1.5,129.88439999655066,0.002951473626902493,True,False,False
0.04,3.7570758287058186e-05,0.007917601924786574,0.0018541334032658669,0.006749083471871212,0.0,0.0,0.0,0.2250211092017908,0.0,0.3899689200470074,0.225,0.0,0.38999999999999996,1.5,129.88439999418435,0.003364231097548091,True,False,False
0.045,4.7394684735083515e-05,0.009961891722953734,0.0020756029702353293,0.00751947103559445,0.0,0.0,0.0,0.22502678436159207,0.0,0.3899608994358705,0.225,0.0,0.38999999999999996,1.5,129.88439999078923,0.0037771913932494127,True,False,False
0.05,5.8318877213781126e-05,0.012224002259504704,0.0022947101804987,0.008270390402500837,-0.011012157111763817,0.0,0.006792659898677665,0.22503316028912596,0.0,0.3899520261877212,0.225,0.0,0.38999999999999996,1.5,129.97433693530726,0.013156383440206115,True,False,False
0.055,7.026951409668227e-05,0.014700693727728366,0.002487884034955524,0.009021485488288112,-0.011012157111763817,0.0,0.006792659898677665,0.2250402475977839,0.0,0.3899423984767214,0.225,0.0,0.38999999999999996,1.5,129.9743373956654,0.012116817096478745,True,False,False
0.06,8.31900820451758e-05,0.017393610388571436,0.0026841539458197913,0.00977966593571802,-0.011012157111763817,0.0,0.006792659898677665,0.2250480576860912,0.0,0.3899320952979666,0.225,0.0,0.38999999999999996,1.5,129.97433795515374,0.011090973755313874,True,False,False
0.065,9.709516210304074e-05,0.020304528446667094,0.002883224840143185,0.010543063952104997,-0.011012157111763817,0.0,0.006792659898677665,0.2250566027714078,0.0,0.3899211102239021,0.225,0.0,0.38999999999999996,1.5,129.97433861025314,0.010077834969782533,True,False,False
0.07,0.0001119978286597604,0.023434608698198446,0.003084730637057633,0.011309262679234912,-0.011012157111763817,0.0,0.006792659898677665,0.22506589583726017,0.0,0.3899094392344539,0.225,0.0,0.38999999999999996,1.5,129.9743393574272,0.00907642963099145,True,False,False
0.075,0.00012790915268264934,0.026784249680060282,0.0032882435550390826,0.012075370007441424,-0.011012157111763817,0.0,0.006792659898677665,0.22507595057425794,0.0,0.38989708128639605,0.225,0.0,0.38999999999999996,1.5,129.97434019312678,0.008085844943063839,True,False,False
0.08,0.00014483783692357995,0.030352962810688316,0.003493286422661342,0.012838099098189355,-0.011012157111763817,0.0,0.006792659898677665,0.2250867813251564,0.0,0.3898840387969672,0.225,0.0,0.38999999999999996,1.5,129.9743411137934,0.0071052374291651794,True,False,False
0.085,0.00016278995387936145,0.034139271448792946,0.0036993469443141703,0.013593852456157556,-0.011012157111763817,0.0,0.006792659898677665,0.22509840303450568,0.0,0.3898703180356251,0.225,0.0,0.38999999999999996,1.5,129.974342115859,0.006133843448716619,True,False,False
0.09,0.00018176877403507024,0.03814063390885462,0.00390589304832952,0.01433880658535343,-0.011012157111763817,0.0,0.006792659898677665,0.22511083120306125,0.0,0.3898559294213164,0.225,0.0,0.38999999999999996,1.5,129.9743431957454,0.005170988777171764,True,False,False
0.095,0.00020177467757236076,0.04235339071040717,0.004112388566788296,0.015068994548242927,-0.011012157111763817,0.0,0.006792659898677665,0.22512408184688767,0.0,0.3898408877258588,0.225,0.0,0.38999999999999996,1.5,129.9743443498612,0.004216096874347167,True,False,False
0.1,0.00022280514404821592,0.0467727347736215,0.004318308599358776,0.015780384102323686,-0.022287240044001275,0.0,0.012238176138865535,0.22513817146087745,0.0,0.3898252121868855,0.225,0.0,0.38999999999999996,1.5,130.04645561200516,0.021010940013412208,True,False,False
0.105,0.0002448016198178177,0.05139266333181501,0.004503205791459438,0.016468696720971048,-0.022287240044001275,0.0,0.012238176138865535,0.22515311702702953,0.0,0.3898089947406507,0.225,0.0,0.38999999999999996,1.5,130.04645839413354,0.01943247656321486,True,False,False
0.11,0.00026770404419780363,0.05620602984224858,0.004687031748018742,0.017130072357517352,-0.022287240044001275,0.0,0.012238176138865535,0.2251689359503919,0.0,0.38979233175508743,0.225,0.0,0.38999999999999996,1.5,130.04646144949905,0.017879031558460847,True,False,False
0.115,0.00029150344351974787,0.061204520587947675,0.00486940018416236,0.017760580911904727,-0.022287240044001275,0.0,0.012238176138865535,0.22518564594944052,0.0,0.3897752560589466,0.225,0.0,0.38999999999999996,1.5,130.04646476543962,0.0163523721625081,True,False,False
0.12,0.0003161890404755562,0.06637884964604017,0.005050111595071701,0.018357154930717025,-0.022287240044001275,0.0,0.012238176138865535,0.2252032651450318,0.0,0.38975780423180395,0.225,0.0,0.38999999999999996,1.5,130.04646832915904,0.014851650491385648,True,False,False
0.125,0.00034174871288823174,0.07171887068793939,0.0052290203990184424,0.018916845381615602,-0.022287240044001275,0.0,0.012238176138865535,0.22522181206366867,0.0,0.3897400161713263,0.225,0.0,0.38999999999999996,1.5,130.04647212795737,0.013376027854776505,True,False,False
