time_s,position_error_3d_m,orientation_error_deg,tip_speed_m_s,cutter_angular_speed_rad_s,ax_cmd_m_s2,ay_cmd_m_s2,az_cmd_m_s2,tip_x_m,tip_y_m,tip_z_m,target_x_m,target_y_m,target_z_m,wind_x_m_s,thrust_N,max_abs_torque_Nm,safe,task_success,anchor_active
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.005,0.0,0.0,1.0733273954080062e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.01,0.0,0.0,2.1466547908160123e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.015,0.0,0.0,3.219982186224018e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.02,0.0,0.0,4.293309581632023e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.025,0.0,0.0,5.3666369770400276e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.03,0.0,0.0,6.439964372448032e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.035,0.0,0.0,7.513291767856037e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.04,0.0,0.0,8.586619163264042e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.045,0.0,0.0,9.659946558672047e-17,0.0,0.0,0.0,0.0,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,True,True,False
0.05,0.0,0.0,1.0733273954080052e-16,0.0,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.6567034045501574e-32,True,True,False
0.055,9.618753328191058e-37,0.0,1.1806601349488058e-16,5.704769079989936e-38,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,9.618753328191058e-37,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.5614340263635285e-32,True,True,False
0.06,3.8115501411129124e-36,0.0,1.2879928744896062e-16,9.479281401265413e-39,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,3.8115501411129124e-36,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.469691238764959e-32,True,True,False
0.065,8.478592697456777e-36,0.0,1.3953256140304067e-16,1.0063722556230737e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,8.478592697456777e-36,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.381374368999409e-32,True,True,False
0.07,1.4894445081563348e-35,0.0,1.5026583535712072e-16,2.234994146600314e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,1.4894445081563348e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.296383493569993e-32,True,True,False
0.075,2.2992411280334738e-35,0.0,1.6099910931120077e-16,3.0922957242627415e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,2.2992411280334738e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.2146195864725441e-32,True,True,False
0.08,3.270764365446404e-35,0.0,1.7173238326528081e-16,3.144383747519089e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,3.270764365446404e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.1359847049251438e-32,True,True,False
0.085,4.397712189316587e-35,0.0,1.8246565721936086e-16,2.139136505300607e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,4.397712189316587e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.060382308079896e-32,True,True,False
0.09,5.673962989259958e-35,0.0,1.931989311734409e-16,1.4605393056073055e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,5.673962989259958e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,1.9877173219991642e-32,True,True,False
0.095,7.093572857366639e-35,0.0,2.0393220512752096e-16,4.845008315814403e-37,-1.68529355612149e-32,0.0,3.756645883928018e-16,0.225,7.093572857366639e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,1.9178963974561176e-32,True,True,False
0.1,8.650772408720365e-35,0.0,2.14665479081601e-16,9.86738042478268e-37,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,8.650772408720365e-35,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.9107426885707825e-32,True,True,False
0.105,1.0342501239715494e-34,0.0,2.253987530356811e-16,1.542672298610303e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,1.0342501239715494e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.8438016331583013e-32,True,True,False
0.11,1.216864929428264e-34,0.0,2.3613202698976125e-16,2.100532880322901e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,1.216864929428264e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.77686057774582e-32,True,True,False
0.115,1.4129217012367308e-34,0.0,2.468653009438414e-16,2.6591076784755406e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,1.4129217012367308e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.7099195223333394e-32,True,True,False
0.12,1.6224204395871469e-34,0.0,2.575985748979216e-16,3.2180248001108975e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,1.6224204395871469e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.642978466920858e-32,True,True,False
0.125,1.8453611446351622e-34,0.0,2.6833184885200176e-16,3.777132283429193e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,1.8453611446351622e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.576037411508377e-32,True,True,False
0.13,2.0817438165097736e-34,0.0,2.7906512280608193e-16,4.3363564962893556e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,2.0817438165097736e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.5090963560958963e-32,True,True,False
0.135,2.3315684553190816e-34,0.0,2.897983967601621e-16,4.8956574372898795e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,2.3315684553190816e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.442155300683415e-32,True,True,False
0.14,2.5948350611545725e-34,0.0,3.005316707142423e-16,5.455011505731693e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,2.5948350611545725e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.375214245270934e-32,True,True,False
0.145,2.8715436340943594e-34,0.0,3.1126494466832245e-16,6.01440387869257e-36,-2.9920110428329717e-32,-5.76238087245951e-36,7.513291767856035e-16,0.225,2.8715436340943594e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.308273189858453e-32,True,True,False
0.15,3.1616941742056683e-34,0.0,3.219982186224026e-16,6.573824777737076e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,3.1616941742056683e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.465797785119029e-32,True,True,False
0.155,3.47769248268176e-34,0.0,3.219982186224026e-16,7.169789562954199e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,3.47769248268176e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.275050748606376e-32,True,True,False
0.16,3.831163064757316e-34,0.0,3.219982186224026e-16,6.666888114062314e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,3.831163064757316e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,5.091695584277362e-32,True,True,False
0.165,4.220605949289497e-34,0.0,3.219982186224026e-16,5.079443839039329e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,4.220605949289497e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.9155101387950887e-32,True,True,False
0.17,4.644562823651437e-34,0.0,3.219982186224026e-16,2.993244055849353e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,4.644562823651437e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.746274610093101e-32,True,True,False
0.17500000000000002,5.101616573954183e-34,0.0,3.219982186224026e-16,3.984721902260308e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,5.101616573954183e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.583771768218061e-32,True,True,False
0.18,5.5903908572379995e-34,0.0,3.219982186224026e-16,8.546904807439869e-36,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,5.5903908572379995e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.427787391601975e-32,True,True,False
0.185,6.1095495298100535e-34,0.0,3.219982186224026e-16,1.4359100301580885e-35,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,6.1095495298100535e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.2781107254978035e-32,True,True,False
0.19,6.657796042662895e-34,0.0,3.219982186224026e-16,2.0849014417984594e-35,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,6.657796042662895e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,4.134534787120407e-32,True,True,False
0.195,7.2338727318777e-34,0.0,3.219982186224026e-16,2.769461459985906e-35,-4.4031123424632467e-32,-2.0363038983707312e-35,1.126993765178409e-15,0.225,7.2338727318777e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,3.9968568754710536e-32,True,True,False
0.2,7.836560013958564e-34,0.0,3.219982186224026e-16,3.460718953319668e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,7.836560013958564e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.752776569361158e-32,True,True,False
0.20500000000000002,8.460649088841184e-34,0.0,3.219982186224026e-16,4.1333170255844526e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,8.460649088841184e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.666185768809679e-32,True,True,False
0.21,9.101117890585619e-34,0.0,3.219982186224026e-16,4.7540998963643816e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,9.101117890585619e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.583438165196441e-32,True,True,False
0.215,9.757150332938138e-34,0.0,3.219982186224026e-16,5.300401282258876e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,9.757150332938138e-34,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.504391396058247e-32,True,True,False
0.22,1.0427991932629243e-33,0.0,3.219982186224026e-16,5.802656629223802e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.0427991932629243e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.4285498926827858e-32,True,True,False
0.225,1.111294524671982e-33,0.0,3.219982186224026e-16,6.197904932137453e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.111294524671982e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.356160130197219e-32,True,True,False
0.23,1.181126858213814e-33,0.0,3.219982186224026e-16,6.468948386580803e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.181126858213814e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.2870969538563604e-32,True,True,False
0.23500000000000001,1.2522243613994805e-33,0.0,3.219982186224026e-16,6.601335891994548e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.2522243613994805e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.2212405397008848e-32,True,True,False
0.24,1.3245174521535487e-33,0.0,3.219982186224026e-16,6.583172846790063e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.3245174521535487e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.1584762174733013e-32,True,True,False
0.245,1.3979387027338651e-33,0.0,3.219982186224026e-16,6.405044651823765e-35,-3.697644420874282e-32,-1.564280157760902e-35,1.126993765178409e-15,0.225,1.3979387027338651e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,2.0986942226989207e-32,True,True,False
0.25,1.4724227489786034e-33,0.0,3.219982186224026e-16,6.060390045934532e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.4724227489786034e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.6838812057065565e-32,True,True,False
0.255,1.5477766026177576e-33,0.0,3.219982186224026e-16,5.548979484688762e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.5477766026177576e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.6425932801278368e-32,True,True,False
0.26,1.6238394549988193e-33,0.0,3.219982186224026e-16,5.059700616492315e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.6238394549988193e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.6013053545491172e-32,True,True,False
0.265,1.7006113106852704e-33,0.0,3.219982186224026e-16,4.5996215637778615e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.7006113106852704e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.560017428970398e-32,True,True,False
0.27,1.778092174096808e-33,0.0,3.219982186224026e-16,4.178398966806491e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.778092174096808e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.5187295033916785e-32,True,True,False
0.275,1.8562820495153208e-33,0.0,3.219982186224026e-16,3.80894585365171e-35,-3.470603506639865e-32,2.3689206057049103e-35,1.126993765178409e-15,0.225,1.8562820495153208e-33,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.4774415778129594e-32,True,True,False
