candidate_id,stage1_rank,sample_id,safe,solver_success,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms,limiter_mismatch_max
of_ts_rmpc_001,1,calm__+x_r0.15,True,True,True,2.08,0.05385906317968944,0.2492934883111143,,,0.044909781819925554,1.0475,0.0
of_ts_rmpc_001,1,wind_1p5__+x_r0.15,True,True,False,,0.06403907309399867,0.291615104196024,,,0.07500632479468396,1.0599,0.0
of_ts_rmpc_001,1,wind_3p0__+x_r0.15,True,True,False,,0.25097004243548604,0.6643608457947435,,,0.5978049341855927,1.0533,1.3877787807814457e-17
of_ts_rmpc_001,1,calm__-x_r0.15,True,True,True,2.08,0.05385603142698768,0.2493399304041086,,,0.04491684386074561,0.8939,1.3877787807814457e-17
of_ts_rmpc_001,1,wind_1p5__-x_r0.15,True,True,False,,0.10364040006334832,0.27071359155668634,,,0.07926779712556838,1.0523,0.0
of_ts_rmpc_001,1,wind_3p0__-x_r0.15,True,True,False,,0.30236776712924474,0.6354037048287977,,,0.6244077314261629,1.0025,0.0
of_ts_rmpc_001,1,calm__+y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,0.9827,1.232595164407831e-32
of_ts_rmpc_001,1,wind_1p5__+y_r0.15,True,True,False,,0.10789501497152529,0.1526862539356492,,,0.03522159258931406,1.0364,0.0
of_ts_rmpc_001,1,wind_3p0__+y_r0.15,True,True,False,,0.28520322920939684,0.6107401247025728,,,0.5698003692476679,0.9623,0.0
of_ts_rmpc_001,1,calm__-y_r0.15,True,True,True,4.955,0.09327564472024619,0.0,,,0.004016286707764588,0.9951,1.232595164407831e-32
of_ts_rmpc_001,1,wind_1p5__-y_r0.15,True,True,False,,0.10789501497152529,0.1526862539356492,,,0.03522159258931406,1.1102,0.0
of_ts_rmpc_001,1,wind_3p0__-y_r0.15,True,True,False,,0.28520322920939684,0.6107401247025728,,,0.5698003692476679,0.9884,0.0
of_ts_rmpc_001,1,calm__+z_r0.15,True,True,True,0.99,0.029780750412311516,0.0,,,0.11217005724800687,0.9937,1.5407439555097887e-33
of_ts_rmpc_001,1,wind_1p5__+z_r0.15,True,True,False,,0.0731912673736567,0.15294788182988148,,,0.14556611192015756,1.0238,0.0
