candidate_id,beta,w_p,w_theta,R,H,sample_count,safe_sample_count,solver_success_count,solver_success_rate,task_success_count,task_success_rate,acquisition_median_s,position_rmse_3d_m,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms
of_ts_rmpc_000,0.05,40.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.015,0.16478819949163245,0.16496589333881917,0.24969163009874046,0.3952370012668521,0.9749
of_ts_rmpc_001,0.05,40.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.17496852710417804,0.17604842601064835,0.2688307728585782,0.3466976373380683,0.9568
of_ts_rmpc_002,0.05,40.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.025,0.1673966116646766,0.1677292983447054,0.2546601068050863,0.3863408651166973,1.0164
of_ts_rmpc_003,0.05,40.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.17588575770341042,0.17700432041359412,0.2705707980148074,0.34523508228186905,0.9088
of_ts_rmpc_004,0.05,80.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.06,0.16980736695885223,0.1671963869138152,0.25744830477877706,0.3963776638815085,1.034
of_ts_rmpc_005,0.05,80.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.085,0.17739078593870294,0.1770889582369052,0.272609170295131,0.34632421286656684,0.9295
of_ts_rmpc_006,0.05,80.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.075,0.17216322150636842,0.1696982417180232,0.2619286142676416,0.38763046593925193,0.9926
of_ts_rmpc_007,0.05,80.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.09,0.17827377961054866,0.17800715293620503,0.2742799878356517,0.3448774181700371,0.9417
of_ts_rmpc_008,0.05,160.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.15,0.17795007487159228,0.17026674499262842,0.26907542897676884,0.40116552784378645,1.7554
of_ts_rmpc_009,0.05,160.0,5.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.1819418291513881,0.17890072009741945,0.2794192960252396,0.34578593080761794,1.1302
of_ts_rmpc_010,0.05,160.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.16,0.17995875381063137,0.1724014577709577,0.2728748639783316,0.3920599128723967,1.6623
of_ts_rmpc_011,0.05,160.0,20.0,2.0,20,9,9,2169,1.0,5,0.5555555555555556,2.13,0.18276174502289647,0.17975313330067716,0.2809683929132823,0.34437459841371987,1.4798
of_ts_rmpc_012,0.15,40.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.0100000000000002,0.16478860147906388,0.1649662482197822,0.24969440053762598,0.3952352492757917,1.6331
of_ts_rmpc_013,0.15,40.0,5.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.1749689241663976,0.1760487314891741,0.26883365967802453,0.34669712876128045,1.6588
of_ts_rmpc_014,0.15,40.0,20.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.025,0.16739702164958994,0.1677296415387853,0.25466289902083805,0.38633937517445677,1.4941
of_ts_rmpc_015,0.15,40.0,20.0,2.0,20,9,9,2169,1.0,6,0.6666666666666666,2.08,0.17588615619508444,0.17700462210770723,0.2705736888112999,0.34523458217962877,1.1788
of_ts_rmpc_016,0.15,80.0,5.0,0.5,20,9,9,2169,1.0,5,0.5555555555555556,2.06,0.16980775998094474,0.16719671471270467,0.25745092954723614,0.3963761864975519,1.5963
