candidate_id,beta,w_p,w_theta,R,H,safe_sample_count,solver_valid_sample_count,solver_success_rate,steady_feasibility_rate,limiter_parity_rate,task_success_count,task_success_rate,position_rmse_3d_m,acquisition_median_s,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,total_solve_time_p95_ms
dr_tsrmpc_000,0.05,40.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_001,0.05,40.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_002,0.05,40.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_003,0.05,40.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_004,0.05,80.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_005,0.05,80.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_006,0.05,80.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_007,0.05,80.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_008,0.05,160.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_009,0.05,160.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_010,0.05,160.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_011,0.05,160.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_012,0.15,40.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_013,0.15,40.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_014,0.15,40.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_015,0.15,40.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_016,0.15,80.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_017,0.15,80.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_018,0.15,80.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_019,0.15,80.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_020,0.15,160.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_021,0.15,160.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_022,0.15,160.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_023,0.15,160.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_024,0.3,40.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_025,0.3,40.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_026,0.3,40.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_027,0.3,40.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_028,0.3,80.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_029,0.3,80.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_030,0.3,80.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_031,0.3,80.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_032,0.3,160.0,5.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_033,0.3,160.0,5.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_034,0.3,160.0,20.0,0.5,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
dr_tsrmpc_035,0.3,160.0,20.0,2.0,20,0,0,0.0,0.0,0.0,0,0.0,inf,,inf,inf,inf,inf
