candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters
pid_x_00,4,4,0,1.0,0.0,,1.0776034851626486,13.469622095243237,1.6798740684873466,1.8272486192437283,20.71370173590575,"{'candidate_id': 'pid_x_00', 'kp': [0.4, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_01,4,4,0,1.0,0.0,,1.083636487803545,14.0086158358319,1.7843945322974513,1.7915063065390486,20.681347308844007,"{'candidate_id': 'pid_x_01', 'kp': [0.4, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_02,4,3,0,0.75,0.0,,2.2360014708632905,18.823964638983547,4.0230204407324734,4.179214756388521,25.4672108451584,"{'candidate_id': 'pid_x_02', 'kp': [0.4, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_03,4,4,0,1.0,0.0,,2.154208202761479,16.19208272924081,4.0276540367403495,4.352436119792,24.939846642347113,"{'candidate_id': 'pid_x_03', 'kp': [0.4, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_04,4,4,0,1.0,0.0,,2.7800163671223324,18.572451838930483,4.818942520926264,5.723593624918987,28.08218232147251,"{'candidate_id': 'pid_x_04', 'kp': [0.4, 0.0, 0.0], 'kd': [6.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_05,4,4,0,1.0,0.0,,2.8040912060542857,17.884043388113035,4.847656502000157,5.632999063368976,27.592288490325203,"{'candidate_id': 'pid_x_05', 'kp': [0.4, 0.0, 0.0], 'kd': [6.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_06,4,2,0,0.5,0.0,,1.440768575796088,16.20996265862295,2.010971177321878,2.4664411605342837,22.533419991181653,"{'candidate_id': 'pid_x_06', 'kp': [0.8, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_07,4,2,0,0.5,0.0,,1.391042726098748,16.141732730012468,2.108657716421658,2.4083153141509595,22.633527835918745,"{'candidate_id': 'pid_x_07', 'kp': [0.8, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_08,4,4,0,1.0,0.0,,2.1966541374237583,16.52586237243304,4.244264725064987,3.69132348991208,26.566076179917864,"{'candidate_id': 'pid_x_08', 'kp': [0.8, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_09,4,4,0,1.0,0.0,,2.2211453341533174,16.99054976152167,4.2569399608914,3.5534459249054184,26.690379117149796,"{'candidate_id': 'pid_x_09', 'kp': [0.8, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_10,4,4,0,1.0,0.0,,2.7117855529975317,19.129803579120022,4.936397637155887,4.477676871083894,28.144953979942997,"{'candidate_id': 'pid_x_10', 'kp': [0.8, 0.0, 0.0], 'kd': [6.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_11,4,4,0,1.0,0.0,,2.651950132497667,19.244780486621245,4.905961983043337,4.411382984219372,27.98666195543071,"{'candidate_id': 'pid_x_11', 'kp': [0.8, 0.0, 0.0], 'kd': [6.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_12,4,4,0,1.0,0.0,,1.984245684083003,17.756854795034336,3.9631627492186365,3.074094084509685,26.964622859221887,"{'candidate_id': 'pid_x_12', 'kp': [1.6, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_13,4,4,0,1.0,0.0,,1.9524691431482253,17.525369484162997,3.913912853261408,3.093403654298353,26.90525050515031,"{'candidate_id': 'pid_x_13', 'kp': [1.6, 0.0, 0.0], 'kd': [2.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_14,4,4,0,1.0,0.0,,2.1803849480028763,20.432016145517014,4.736045016115338,2.639568538385419,29.8306262743326,"{'candidate_id': 'pid_x_14', 'kp': [1.6, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_15,4,4,0,1.0,0.0,,2.176149984456525,20.123176512487895,4.7923632699482095,2.654343336614007,30.007670541482952,"{'candidate_id': 'pid_x_15', 'kp': [1.6, 0.0, 0.0], 'kd': [4.0, 0.0, 0.0], 'ki': [0.1, 0.0, 0.0], 'screen_axis': 'x'}"
pid_x_16,4,4,0,1.0,0.0,,2.2385671314673754,19.28310196754689,5.16304458092082,2.3489669771141553,30.605995022553294,"{'candidate_id': 'pid_x_16', 'kp': [1.6, 0.0, 0.0], 'kd': [6.0, 0.0, 0.0], 'ki': [0.0, 0.0, 0.0], 'screen_axis': 'x'}"
