time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.005,0.0,1.0733273954080062e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.01,0.0,2.1466547908160123e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.015,0.0,3.219982186224018e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.02,0.0,4.293309581632023e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.025,0.0,5.3666369770400276e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.03,0.0,6.439964372448032e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.035,0.0,7.513291767856037e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.04,0.0,8.586619163264042e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.045,0.0,9.659946558672047e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0238,0.0
0.05,0.0,1.0733273954080052e-16,0.0,0.0,True,False,-8.266886992777517e-31,-2.608337669849254e-31,6.628706872432064e-16,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,1.3031953239818943e-30,0.0249,0.0
