time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.005,0.0,1.0733273954080062e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.01,0.0,2.1466547908160123e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.015,0.0,3.219982186224018e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.02,0.0,4.293309581632023e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.025,0.0,5.3666369770400276e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.03,0.0,6.439964372448032e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.035,0.0,7.513291767856037e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.04,0.0,8.586619163264042e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.045,0.0,9.659946558672047e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.026,0.0
0.05,0.0,1.0733273954080052e-16,0.0,0.0,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,9.005706399350373e-18,0.0199,0.0
0.055,3.260569781824416e-22,1.1806600914381831e-16,0.0,1.933805456886142e-23,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,1.7276760578500873e-25,-2.398338564110415e-27,3.2,0.225,3.260569781824416e-22,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,8.682761787871349e-18,0.0199,3.1280134173056492e-43
0.06,1.2920411604274477e-21,1.2879928673013967e-16,0.0,3.21329151872936e-24,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,7.2748417377937625e-25,-3.7365423687068633e-26,3.2,0.225,1.2920411604274477e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,8.371771630687965e-18,0.0199,1.3507550145461571e-42
0.065,2.8740775647818555e-21,1.3953256906908142e-16,0.0,3.4114056718056436e-23,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,1.738226780405479e-24,-1.868339000792659e-25,3.2,0.225,2.8740775647818555e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,8.072394666795046e-18,0.0199,3.2977511621600116e-42
0.07,5.048926393366816e-21,1.502658523702058e-16,0.0,7.576194261682246e-23,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,3.306533071077111e-24,-5.8439967377984595e-25,3.2,0.225,5.048926393366816e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.784292175026424e-18,0.0199,6.366961000407688e-42
0.075,7.793978998527569e-21,1.609991327875319e-16,0.0,1.0482279408751997e-22,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,5.5586443459224864e-24,-1.4133759299376585e-24,3.2,0.225,7.793978998527569e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.50712847654121e-18,0.0199,1.0773071595215125e-41
0.08,1.1087253295275298e-20,1.717324068927013e-16,0.0,1.0658847648763438e-22,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,8.642845283352489e-24,-2.904804949820463e-24,3.2,0.225,1.1087253295275298e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,7.24057156441067e-18,0.0199,1.67040391408604e-41
0.085,1.490738662735124e-20,1.8246567207618118e-16,0.0,7.251255552985087e-23,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,1.2727130860697653e-23,-5.335816750976307e-24,3.2,0.225,1.490738662735124e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.984294183988988e-18,0.0199,2.4310168945187677e-41
0.09,1.923362792946309e-20,1.931989268975689e-16,0.0,4.9509433941212293e-23,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,1.7997005210549852e-23,-9.027844150695715e-24,3.2,0.225,1.923362792946309e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.737974053170036e-18,0.0199,3.3857386576383823e-41
0.095,2.4045828513048373e-20,2.0393217129662076e-16,0.0,1.64236332591099e-22,True,False,5.71281646914482e-18,-1.6752145019563796e-31,7.442720252433093e-16,2.4653504635630426e-23,-1.4344863873593212e-23,3.2,0.225,2.4045828513048373e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,6.501294736280937e-18,0.0199,4.5635198564075775e-41
0.1,2.9324431288455417e-20,2.1466540669746642e-16,0.0,3.3448495185428456e-22,True,False,1.0284037506364315e-17,1.6959536062035914e-18,1.488536719040333e-15,3.2911476030260457e-23,-2.1691740350753018e-23,3.2,0.225,2.9324431288455417e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,1.3480037122107682e-17,0.0188,5.988913277404044e-41
