time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x
0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,0.0641,0.0
0.005,0.0,1.0733273954080062e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.107221894166015,129.8844,0.0,0.0641,0.0037906488810706754
0.01,2.9512932839359265e-09,1.1711769741241528e-06,0.0,4.209600127401593e-06,True,False,0.0,0.0,0.0,3.589575574722817e-09,0.0,3.2,0.22500000171174175,0.0,0.3899999975958219,0.225,0.0,0.38999999999999996,0.17588507858713023,129.8844,5.460285419775683e-06,0.0641,0.010199883400942949
0.015,1.661074425244156e-08,4.2688139297520455e-06,3.4150945850063763e-06,1.5159480111095327e-05,True,False,0.0,0.0,0.0,2.047177143808921e-08,0.0,3.2,0.22500000982366694,0.0,0.38999998660550883,0.225,0.0,0.38999999999999996,0.16077597569028515,129.8844,2.0799338874686452e-05,0.0641,0.008522190011674856
0.02,4.410118493317035e-08,6.712801998208752e-06,8.913658556096819e-06,2.326092555416961e-05,True,False,0.0,0.0,0.0,5.525937164541804e-08,0.0,3.199999999999997,0.22500002672895547,0.0,0.3899999649218379,0.225,0.0,0.38999999999999996,0.1643720601150888,129.88439999999997,3.529087206529457e-05,0.0641,0.008907256096406278
0.025,8.38579103994137e-08,9.182468036887002e-06,1.6730478313215042e-05,3.105262471232789e-05,True,False,0.0,0.0,0.0,1.0685254545607446e-07,0.0,3.199999999999989,0.2250000521135461,0.0,0.38999993430123703,0.225,0.0,0.38999999999999996,0.1409526084971088,129.88439999999977,5.1194858715614795e-05,0.0641,0.006549351591871856
0.03,1.3389444217531566e-07,1.0845207440852717e-05,2.6259612512867202e-05,3.551814387096776e-05,True,False,0.0,0.0,0.0,1.7347862775290057e-07,0.0,3.199999999999972,0.2250000853263057,0.0,0.3899998968150049,0.225,0.0,0.38999999999999996,0.12057573351433329,129.88439999999937,6.435990310368641e-05,0.0641,0.004792194456619853
0.035,1.907418553100171e-07,1.1936161570664785e-05,3.675195573747838e-05,3.762624152798974e-05,True,False,0.0,0.0,0.0,2.512924460485033e-07,0.0,3.1999999999999456,0.22500012468465458,0.0,0.3899998556525293,0.225,0.0,0.38999999999999996,0.23896506835367615,129.8843999999986,7.501510087120185e-05,0.0641,0.018825279409314246
0.04,2.6381290502871186e-07,1.7302352564132292e-05,5.007511627820979e-05,5.5128803464872886e-05,True,False,0.0,0.0,0.0,3.5192558094642465e-07,0.0,3.1999999999998985,0.22500017583278656,0.0,0.3899998033274802,0.225,0.0,0.38999999999999996,0.20516560727230299,129.88439999999713,0.00010551817561266605,0.0641,0.01387493802546736
0.045,3.594678683335004e-07,2.098078896425858e-05,6.738865190208761e-05,6.557257047484633e-05,True,False,0.0,0.0,0.0,4.841360347584137e-07,0.0,3.199999999999816,0.22500024325445997,0.0,0.3899997353409437,0.225,0.0,0.38999999999999996,0.2335701092942244,129.88439999999449,0.00013092606154483315,0.0641,0.017982405820622112
0.05,4.7638679232958407e-07,2.5815103437131892e-05,8.822006359420059e-05,7.963681758912148e-05,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,6.472722862825155e-07,0.0,3.1999999999996844,0.22500032696910036,0.0,0.38999965353848215,0.225,0.0,0.38999999999999996,0.16889711201119223,129.8847356238255,0.0007098444888472853,0.0245,0.009400770769377509
0.055,6.103584455734367e-07,2.787420793589956e-05,0.0001115572154216257,8.323655557479506e-05,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,8.370319330742726e-07,-1.2417395315432414e-24,3.200000000316362,0.22500042531858416,4.18327470498972e-24,0.3899995622311865,0.225,0.0,0.38999999999999996,0.25690297440968557,129.8847356247616,0.0006629935376422235,0.0245,0.021753117845035166
0.06,7.639993164318869e-07,3.368693726205354e-05,0.0001379022847343744,0.00010046848014438523,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,1.056779662051763e-06,-4.965762609313945e-24,3.2000000012666927,0.22500054018262317,1.6727017651563402e-23,0.3899994597244322,0.225,0.0,0.38999999999999996,0.300613079576724,129.8847356259661,0.00060081817431004,0.0245,0.029784692526589916
0.065,9.52562437032354e-07,4.1806711442999035e-05,0.00017029306739424165,0.0001253151695874804,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,1.3258868471426487e-06,-1.1170136081711196e-23,3.2000000028506177,0.22500068115409086,3.761853716154887e-23,0.38999933411389787,0.225,0.0,0.38999999999999996,0.3944987433448465,129.88473562750318,0.0005271974410269625,0.0245,0.05129534393710528
0.07,1.1977335197924405e-06,5.624227437108858e-05,0.0002129852972625107,0.00017203830682907762,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,1.672537335287937e-06,-1.9853839754159507e-23,3.2000000050680155,0.2250008622563332,6.684408807141276e-23,0.38999916868802464,0.225,0.0,0.38999999999999996,0.32855729583245774,129.88473562947522,0.0004217191776593399,0.0245,0.03557225798201158
0.075,1.502130661954312e-06,6.552311828975445e-05,0.0002659405550538988,0.0001973071622790775,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,2.102663338628963e-06,-3.1016765001819495e-23,3.2000000079187827,0.2250010873041981,1.0438887344297226e-22,0.3899989635801495,0.225,0.0,0.38999999999999996,0.3260537548223849,129.88473563190803,0.0003349985164041361,0.0245,0.03502855112535393
0.08,1.851931336512183e-06,7.446196096222775e-05,0.0003257434582329314,0.00021986059805266685,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,2.6011498760995963e-06,-4.465971356005006e-23,3.2000000114028833,0.2250013499686201,1.5023704520460055e-22,0.3899987322325134,0.225,0.0,0.38999999999999996,0.47264430597408913,129.8847356347357,0.000249349443568505,0.0245,0.07361698376059486
0.085,2.275280481745802e-06,9.486622769173195e-05,0.0003979629369922503,0.0002833875137303349,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,3.204144316273395e-06,-6.078439630274161e-23,3.2000000155200383,0.22500166820643097,2.043717086962344e-22,0.3899984527480572,0.225,0.0,0.38999999999999996,0.5784128329331375,129.88473563807568,0.00010900694521180448,0.0245,0.11024944565584902
0.09,2.8272897300887765e-06,0.00012580799148312742,0.0004934937228700257,0.0003820353325038223,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,3.983401817457153e-06,-7.939343200879309e-23,3.200000020269596,0.22500207755933638,2.667749274356959e-22,0.3899980823674956,0.225,0.0,0.38999999999999996,0.6242112199507143,129.88473564218867,8.940169712930743e-05,0.0245,0.12838339869456522
0.095,3.545661203082155e-06,0.0001613681559283659,0.0006189429089558959,0.0004920630423139481,True,False,-0.000553575132512527,-2.551621674124142e-18,2.534901253159282e-05,4.991830813393713e-06,-1.0049034611699801e-22,3.200000025650685,0.22500260544913053,3.374277234222511e-22,0.3899975951407119,0.225,0.0,0.38999999999999996,0.7489040097363197,129.8847356472709,0.00032341969688027986,0.0245,0.18478998750065878
0.1,4.482905825937841e-06,0.00021333795414149088,0.000783894401582755,0.000657411242354763,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,6.300299662635025e-06,-1.2407956946863747e-22,3.2000000316617476,0.2250032885964319,4.163100829407584e-22,0.3899969534317417,0.225,0.0,0.38999999999999996,0.7085145551262628,129.88698318431594,0.005524072019766267,0.0242,0.16534714596623742
0.105,5.660004078970245e-06,0.0002573397053265253,0.0009910120364912934,0.0007867957085331608,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,7.944191424733007e-06,-1.588810074320602e-22,3.2000000404228577,0.22500414786335965,5.327414767415043e-22,0.38999614891239726,0.225,0.0,0.38999999999999996,0.836234565330296,129.88698325371365,0.005020863831692898,0.0242,0.23032674395512362
0.11,7.10590983700374e-06,0.00032083489783105737,0.0012450408694180972,0.0009845284359904546,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,9.965115561003922e-06,-2.136070782000428e-22,3.200000054053196,0.22500520745057603,7.159983751337978e-22,0.38999516508396037,0.225,0.0,0.38999999999999996,0.8582748703545302,129.88698334314924,0.004510313793882892,0.0242,0.24257211426947722
0.115,8.876191989263749e-06,0.0003870993426874122,0.0015560412937203516,0.001184537289736766,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,1.2434120820259216e-05,-2.8825135454713734e-22,3.200000072548269,0.22500650652026694,9.65969973998325e-22,0.38999396245262985,0.225,0.0,0.38999999999999996,0.7881979436106394,129.88698345225484,0.00400428897922691,0.0242,0.204494261066739
0.12,1.0945148309713109e-05,0.00044041221328101324,0.0019159222784200778,0.0013262004008002242,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,1.5328873298706593e-05,-3.828147167885433e-22,3.200000095904892,0.2250080394669842,1.2825370229267386e-21,0.3899925728038849,0.225,0.0,0.38999999999999996,0.6961077471669935,129.88698358010802,0.0035159695960019547,0.0242,0.15942204965192844
0.125,1.3242923746877559e-05,0.0004790253914577946,0.0023071226217718046,0.0014036721172059501,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,1.8574580622896278e-05,-4.973053417455402e-22,3.2000001241223788,0.22500977459363147,1.6655718146925731e-21,0.3899910651049975,0.225,0.0,0.38999999999999996,0.604074090331762,129.88698372542072,0.003048608522164403,0.0242,0.11998626875673567
0.13,1.5700407345846265e-05,0.0005052609122695465,0.0027126541232322357,0.0014266881821538885,True,False,-0.004448583049489832,-2.0459343782330853e-17,0.000195084043023251,2.209459496908912e-05,-6.317386929407652e-22,3.200000157202188,0.225011678190213,2.1149381880084838e-21,0.38998950606536253,0.225,0.0,0.38999999999999996,0.7245536820993463,129.8869838868308,0.002602188666667093,0.0242,0.17267850361474862
