sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,method,stage2_rank
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1957562591406024,13.83328315870018,0.6098746941991544,1.7544007914834032,25.009686768610532,2.0,0.0,2.0,0.25,0.0,0.25,153.95464351585682,3.0027773332642917,0.9963921413488492,0.04585947521865889,0.0633,[],pid,pid_combo_003,pid,1
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,0.9905787577400766,16.57204206000114,0.6245647976165735,1.4386749155022447,20.88513686590695,2.0,8.140355852656379e-17,2.0,0.25,7.06595745233352e-18,0.25000000000000006,156.15738631940656,3.531719190032362,2.378395612122043,0.042828363182007494,0.0634,[],pid,pid_combo_003,pid,1
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,4.955,0.09327564791817095,0.0,0.15053207920818393,0.05567740523425909,0.004016292516711372,3.227987594949145e-14,0.03608192778197682,0.00043291505523271594,3.0500602057404892e-15,0.015,2.899732465206278e-05,129.8877291609118,0.06928926016797075,0.004141095355246396,0.04359733444398167,0.062,[],pid,pid_combo_003,pid,1
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,4.955,0.09327564791817095,0.0,0.15053207920818393,0.05567740523425909,0.004016292516711372,3.227987594949145e-14,0.03608192778197682,0.00043291505523271594,3.0500602057404892e-15,0.015,2.899732465206278e-05,129.8877291609118,0.06928926016797075,0.004141095355246396,0.03959870887130362,0.0512,[],pid,pid_combo_003,pid,1
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.95,0.027710447045507045,0.0,0.017645507423202367,0.0007280363458451724,0.23921274990503313,0.0,0.0,1.000000000000001,0.0,0.0,0.25,143.1244,0.0,0.0,0.03983594335693461,0.0558,[],pid,pid_combo_003,pid,1
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.95,0.02771044704550717,0.0,0.017645507423203283,0.0007280363458457435,0.23921274990503696,0.0,0.0,0.9999999999999989,0.0,0.0,0.25,134.9406913894439,0.0,0.0,0.03923315285297793,0.0565,[],pid,pid_combo_003,pid,1
calm_face_diagonal_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1877807063216388,13.784814178694608,0.5770547755791713,1.721952525220075,23.86257364586446,2.0,0.030324187197596993,2.0,0.25,0.01414213562373095,0.25,153.08049249957043,2.9621934690875675,1.002659678963235,0.04121870054144106,0.0536,[],pid,pid_combo_003,pid,1
calm_face_diagonal_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1449751005808821,15.156908899124314,0.590148071111777,1.6119397317414934,22.325760639976266,2.0,0.04799732180276033,2.0,0.25,0.021629277450914135,0.25,152.01515114405532,3.022252053625521,2.3013881202103184,0.041751395251978345,0.0605,[],pid,pid_combo_003,pid,1
calm_face_diagonal_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1877807063216388,13.784814178694608,0.5770547755791713,1.721952525220075,23.86257364586446,2.0,0.030324187197596993,2.0,0.25,0.01414213562373095,0.25,153.08049249957043,2.9621934690875675,1.002659678963235,0.0423054977092878,0.0531,[],pid,pid_combo_003,pid,1
calm_face_diagonal_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1449751005808826,15.156908899124314,0.590148071111777,1.6119397317414943,22.325760639976277,2.0,0.047997321802760486,2.0,0.25,0.02162927745091421,0.25,152.0151511440554,3.022252053625521,2.301388120210317,0.0428591420241566,0.0555,[],pid,pid_combo_003,pid,1
calm_face_diagonal_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.188193371999695,13.6592198325096,0.5771608091111727,1.716655875550198,24.014954066005775,2.0,0.0,2.0,0.25000000000000006,0.0,0.2500000000000001,152.44796824729775,2.958657501209552,0.9864770011201529,0.042448021657642644,0.0536,[],pid,pid_combo_003,pid,1
calm_face_diagonal_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,False,2315,False,,0.8355203693345443,41.60551127290385,0.5923360975849116,1.2901138732799315,19.01620650150865,2.0,3.611523135304981e-16,2.0,0.25,2.8619338653165904e-16,0.25,137.5155293307177,16.702643942277156,1.7094056357976493,0.039631986672219906,0.0517,['attitude'],pid,pid_combo_003,pid,1
calm_face_diagonal_06,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1078715381994033,13.10078115171387,0.579121785742457,1.5672182510902948,23.958819007995476,2.0,6.124601950304684e-18,2.0,0.25,4.799553106209331e-18,0.2500000000000001,151.14940510395297,2.98381743516253,3.862078819605625,0.03857521865889213,0.0506,[],pid,pid_combo_003,pid,1
calm_face_diagonal_07,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,False,,1.1230272809713508,14.382483679945874,0.5902677522268149,1.5820895588551607,23.803197886576076,2.0,5.198705387396192e-19,2.0,0.25,5.213590392136265e-20,0.25,152.24236533345885,3.0282167796278854,2.2685071989541084,0.03497767596834653,0.0501,[],pid,pid_combo_003,pid,1
