round,candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,parameters,calm_axis_acquired_count,competence_pass
R1R1-A,cascaded_pid_000,13,13,5,1.0,0.38461538461538464,1.5950000000000002,0.29031531716586423,0.8172557646336062,0.5111771481564694,0.9591211224177854,4.032653926070622,"{'candidate_id': 'cascaded_pid_000', 'uav_kp': [0.5237134560672846, 0.5237134560672846, 1.3846574073044566], 'uav_kd': [2.715543320252637, 2.715543320252637, 3.1353925459248084], 'uav_ki': [0.07979999709052014, 0.07979999709052014, 0.12010136300500128], 'tip_kp': [0.020027522237378456, 0.020027522237378456, 0.49197344847451957], 'tip_kd': [0.7535525476644604, 0.7535525476644604, 0.0055343660840054066], 'correction_limit_m': [0.11258351842882815, 0.11258351842882815, 0.0692459110810238], 'correction_slew_m_per_update': 0.015836846728570834, 'integral_limit': 0.2489851805576911}",,
R1R1-A,cascaded_pid_001,13,9,3,0.6923076923076923,0.23076923076923078,2.9050000000000002,3.7411494341156555,11.640047163650532,9.827895663568441,14.096516006169725,32.65288109106337,"{'candidate_id': 'cascaded_pid_001', 'uav_kp': [3.738708229425937, 3.738708229425937, 1.2397901460146614], 'uav_kd': [3.84073490540269, 3.84073490540269, 4.327797119333214], 'uav_ki': [0.29810663606399224, 0.29810663606399224, 0.34509612722271193], 'tip_kp': [1.0806657047552388, 1.0806657047552388, 0.0022829697179819544], 'tip_kd': [0.46133378863143887, 0.46133378863143887, 0.37619047446169507], 'correction_limit_m': [0.275568337668909, 0.275568337668909, 0.18106541521677358], 'correction_slew_m_per_update': 0.06787690302724601, 'integral_limit': 0.1851505163693552}",,
R1R1-A,cascaded_pid_002,13,13,3,1.0,0.23076923076923078,0.9199999999999999,2.1238677330711626,5.593216437300283,7.4419992811262965,6.930768987070732,19.81326508537004,"{'candidate_id': 'cascaded_pid_002', 'uav_kp': [2.776405805362075, 2.776405805362075, 6.31830142588732], 'uav_kd': [2.7019592242595936, 2.7019592242595936, 2.5678548512765293], 'uav_ki': [0.2718161521461329, 0.2718161521461329, 0.21424461289138708], 'tip_kp': [1.3239758851113952, 1.3239758851113952, 0.0998206179552961], 'tip_kd': [0.5204807246693405, 0.5204807246693405, 0.45651755208519185], 'correction_limit_m': [0.07522813215069254, 0.07522813215069254, 0.10264408234980321], 'correction_slew_m_per_update': 0.050191404166505756, 'integral_limit': 0.3162588696422602}",,
R1R1-A,cascaded_pid_003,13,13,3,1.0,0.23076923076923078,2.055,1.4384610732712386,2.4005875857446237,5.422189537930689,6.237685524422918,14.554020489341912,"{'candidate_id': 'cascaded_pid_003', 'uav_kp': [2.920253472750481, 2.920253472750481, 2.600900310308332], 'uav_kd': [4.0911214069134365, 4.0911214069134365, 5.519855998099836], 'uav_ki': [0.2894843942020114, 0.2894843942020114, 0.3065597142615617], 'tip_kp': [0.19607590199839875, 0.19607590199839875, 0.03841785989248189], 'tip_kd': [0.3238195409726475, 0.3238195409726475, 0.13004791034712115], 'correction_limit_m': [0.05355894624320304, 0.05355894624320304, 0.1438403033345693], 'correction_slew_m_per_update': 0.017963097799535054, 'integral_limit': 0.4692466547625396}",,
R1R1-A,cascaded_pid_004,13,13,5,1.0,0.38461538461538464,1.065,0.8753601050007974,1.0155674475982575,1.4080824381708865,4.782627984567953,10.263383297187216,"{'candidate_id': 'cascaded_pid_004', 'uav_kp': [0.9574288174445721, 0.9574288174445721, 3.9368288228991792], 'uav_kd': [4.432184646197052, 4.432184646197052, 1.9237637573300606], 'uav_ki': [0.2154392173624884, 0.2154392173624884, 0.08938810805050035], 'tip_kp': [1.1185189260379729, 1.1185189260379729, 0.6715609362685249], 'tip_kd': [0.22154573271368042, 0.22154573271368042, 0.09451623109381066], 'correction_limit_m': [0.0857038865773308, 0.0857038865773308, 0.14349203883026887], 'correction_slew_m_per_update': 0.037136730490703936, 'integral_limit': 0.35830560352233337}",,
R1R1-A,cascaded_pid_005,13,13,3,1.0,0.23076923076923078,0.9299999999999999,1.3860833362385383,2.796293230009307,5.122450505150391,5.098532551427955,13.715298651411656,"{'candidate_id': 'cascaded_pid_005', 'uav_kp': [1.995679790271386, 1.995679790271386, 4.5652561738189865], 'uav_kd': [2.785037662378844, 2.785037662378844, 3.403345980572848], 'uav_ki': [0.25073190336887297, 0.25073190336887297, 0.3127466307092456], 'tip_kp': [1.2536122025036582, 1.2536122025036582, 0.38136253022909755], 'tip_kd': [0.11717389990405913, 0.11717389990405913, 0.23379131964613764], 'correction_limit_m': [0.06716483145671766, 0.06716483145671766, 0.08596115463754919], 'correction_slew_m_per_update': 0.02932524137955301, 'integral_limit': 0.4034694752212464}",,
R1R1-A,cascaded_pid_006,13,7,3,0.5384615384615384,0.23076923076923078,1.005,2.607369460581962,8.210490635038315,8.12836927695415,8.946065075423183,25.394383591004626,"{'candidate_id': 'cascaded_pid_006', 'uav_kp': [2.5879683224846652, 2.5879683224846652, 5.8534544867206275], 'uav_kd': [2.2725964491537773, 2.2725964491537773, 1.4977912420931956], 'uav_ki': [0.19924657776908514, 0.19924657776908514, 0.267386174318205], 'tip_kp': [1.0579287159216022, 1.0579287159216022, 0.4343362656657962], 'tip_kd': [0.415137598702907, 0.415137598702907, 0.266601803715805], 'correction_limit_m': [0.12912041432235857, 0.12912041432235857, 0.03197502517725018], 'correction_slew_m_per_update': 0.07132896403086411, 'integral_limit': 0.2207411889634988}",,
R1R1-A,cascaded_pid_007,13,13,3,1.0,0.23076923076923078,2.8200000000000003,1.4582081155326772,5.173017413655382,5.137170112905133,5.192739104788879,17.23050243354246,"{'candidate_id': 'cascaded_pid_007', 'uav_kp': [2.074558397280198, 2.074558397280198, 5.0516472138964055], 'uav_kd': [1.848644409722717, 1.848644409722717, 1.100996897999509], 'uav_ki': [0.021848891505599714, 0.021848891505599714, 0.15330851352930852], 'tip_kp': [0.3511834133830163, 0.3511834133830163, 0.895387658754607], 'tip_kd': [0.4322636026042789, 0.4322636026042789, 0.03351825104169077], 'correction_limit_m': [0.12692003025573756, 0.12692003025573756, 0.1255040084683584], 'correction_slew_m_per_update': 0.0763928073054511, 'integral_limit': 0.23887811278931043}",,
R1R1-A,cascaded_pid_008,13,13,3,1.0,0.23076923076923078,0.7949999999999999,2.047301981526301,8.197497533275977,7.784322264304205,6.620967651281028,23.582344855754652,"{'candidate_id': 'cascaded_pid_008', 'uav_kp': [2.6803249710257826, 2.6803249710257826, 7.5614901564209145], 'uav_kd': [3.4251646787810186, 3.4251646787810186, 4.573857067458878], 'uav_ki': [0.14717394322502939, 0.14717394322502939, 0.19856932845711717], 'tip_kp': [0.6288317568757037, 0.6288317568757037, 0.7515277095049462], 'tip_kd': [0.27029311059816896, 0.27029311059816896, 0.5818776693651446], 'correction_limit_m': [0.23227442892348182, 0.23227442892348182, 0.03704126332788116], 'correction_slew_m_per_update': 0.08516645485532065, 'integral_limit': 0.4381058741175451}",,
R1R1-A,cascaded_pid_009,13,13,3,1.0,0.23076923076923078,0.8500000000000001,0.9146699406598834,1.766326168181179,1.5914158100532154,5.036708798997602,10.022880239963069,"{'candidate_id': 'cascaded_pid_009', 'uav_kp': [1.347911365315837, 1.347911365315837, 7.392810586377576], 'uav_kd': [2.954596100907599, 2.954596100907599, 2.8821318407537184], 'uav_ki': [0.17417938261588964, 0.17417938261588964, 0.33647507820746897], 'tip_kp': [0.08268724030074226, 0.08268724030074226, 0.29219199816141883], 'tip_kd': [0.3836522053216871, 0.3836522053216871, 0.421311934605704], 'correction_limit_m': [0.20551044133644275, 0.20551044133644275, 0.18797108155620293], 'correction_slew_m_per_update': 0.08114541908054677, 'integral_limit': 0.07232182878620994}",,
