sample_id,scenario,wind_kind,wind_speed_m_s,seed,sample_count,safe,safe_sample_count,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_ax_m_s2,max_abs_ay_m_s2,max_abs_az_m_s2,max_ax_step_m_s2,max_ay_step_m_s2,max_az_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,solve_time_mean_ms,solve_time_p95_ms,safety_failure_reasons,controller,candidate_id,d_raw_norm_max,d_hat_norm_max,d_projected_norm_max,d_rejected_norm_max,steady_state_residual_max,steady_task_residual_max,limiter_mismatch_max,qp_iterations_max,qp_statuses,solver_valid,limiter_parity_valid
calm_axis_00,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.04,0.0523127852185934,0.2965863711753297,0.14104596733063393,0.0002183129111445627,0.12044396938241142,0.6581414287908437,1.0079977976400204e-14,0.06515591824809774,0.25,6.3420324705625704e-15,0.02581031738475323,130.63806860088656,0.7795626504061295,0.09436969438867192,0.6968456476468139,0.9721,[],self_dr_tsrmpc,self_a_034,0.11078173511596835,0.076928008925136,0.07684411216197366,0.00360675768557828,9.553490973631046e-17,1.1905894830378784e-09,2.0102678379707584e-06,75,['solved'],True,True
calm_axis_01,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.04,0.052292779063308766,0.2955232451314703,0.1409337936558645,0.0002163375911380374,0.12092079717920214,0.6583722485066744,9.86971655207506e-15,0.08233857549223256,0.25,6.283581410778916e-15,0.0334617708931631,130.9756044938475,0.782498009865157,0.09502427666049279,0.6547271553519367,0.9402,[],self_dr_tsrmpc,self_a_034,0.10990869403650586,0.07640637321720722,0.07632308162963203,0.00358997042038964,9.201323110765484e-17,1.1877380404651942e-09,2.0102678384148476e-06,75,['solved'],True,True
calm_axis_02,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.31,0.05856330569941777,2.2070019713373136e-05,0.15507983418775442,7.939959345466372e-06,0.27575150103781065,3.9243169268242635e-05,0.7607672332678947,0.0049416091408877654,8.607197548747306e-06,0.25,0.0007806653715370087,129.90786680423733,0.7880942335092316,0.012562101259565321,0.6697363182007497,0.9634,[],self_dr_tsrmpc,self_a_034,0.00018404386188700236,0.00016709833443767988,0.0001670983344376799,4.875705132051672e-12,2.0326286819177715e-19,2.6911905376553867e-13,8.318434548404419e-07,75,['solved'],True,True
calm_axis_03,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,2.31,0.05856330569941777,2.2070019713373136e-05,0.15507983418775442,7.93995934546156e-06,0.275751501037811,3.9243169269309795e-05,0.7607672332678947,0.00494160914089167,8.607197548819202e-06,0.25,0.0007806653715435254,129.90786680423736,0.788094233509231,0.012562101259565318,0.671203123698459,0.9518,[],self_dr_tsrmpc,self_a_034,0.00018404386188712997,0.0001670983344376709,0.0001670983344376709,4.875705130001159e-12,2.1704823599165425e-19,2.691190029016218e-13,8.318434553955534e-07,75,['solved'],True,True
calm_axis_04,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.845,0.028761576167556868,0.0068277206925824235,0.022533169543949842,2.54955959948529e-07,0.16803643707138322,0.024326251130897474,1.702273387931425e-16,0.8236553433017613,0.014652867765495611,1.3985400589813526e-16,0.25,140.78966823773877,0.031325878937667376,0.0020772406692083985,0.7076348188254893,0.9626,[],self_dr_tsrmpc,self_a_034,0.0037738705598814194,0.002686568828174298,0.002683567105100156,0.00012696322673197167,3.614484936540443e-18,4.71507448772742e-11,5.372698321237657e-06,75,['solved'],True,True
calm_axis_05,CALM_3D_SETPOINT,calm,0.0,-1,2401,True,2401,True,0.845,0.028761106959411243,0.00679227889396436,0.02253311292638029,3.1774272159477643e-07,0.16808515043537373,0.024463204708098117,3.8828402393402176e-16,0.8237380793269244,0.014652867765495636,1.9830506568179898e-16,0.25000000000000006,134.05117137591097,0.031407417624171936,0.002128595105541333,0.7162349854227406,0.9924,[],self_dr_tsrmpc,self_a_034,0.003789888768033978,0.002719833660302211,0.0027168022539750276,0.00012837699369097223,3.410654283132516e-18,4.9549960008611734e-11,5.373174221168231e-06,75,['solved'],True,True
constant_3_face_diagonal_00,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.3,0.08327008544185198,0.7488784185545699,0.21469908327447187,0.0024294674073099616,1.1871192497469287,1.1592538884155523,0.7180484833433125,0.18511757782532492,0.25,0.25,0.07542257898245378,132.30030912687857,0.995686947157728,0.1407206967623031,0.7181586005830904,0.9675,[],self_dr_tsrmpc,self_a_034,0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,7.107026632757751e-07,75,['solved'],True,True
constant_3_face_diagonal_01,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.37,0.08147570980382733,0.7552342546279589,0.2009945753559074,0.0016495057877709638,1.1894135532512502,1.1592538884155523,0.7201554352266063,0.18511757782532492,0.25,0.25000000000000006,0.07542257898245378,132.30030912687857,0.995686947157728,0.1407206967623031,0.7203331528529778,1.0029,[],self_dr_tsrmpc,self_a_034,0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,7.107026632757751e-07,75,['solved'],True,True
constant_3_face_diagonal_04,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,1.9050000000000002,0.06798793511833665,0.7543386577623113,0.20472075848486757,0.002416635039149474,1.1311140167520617,1.1592538884155523,1.0854554256352821e-14,0.8022320754845038,0.25,5.6107451772993e-15,0.25,140.41880622099518,0.995686947157728,0.1407206967623031,0.745970970428988,1.0084,[],self_dr_tsrmpc,self_a_034,0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,7.107026632757751e-07,75,['solved'],True,True
constant_3_face_diagonal_05,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.0,0.06545816555027782,0.7581220025402013,0.19721137089799445,0.001523880300153031,1.139178272886177,1.1592538884155523,1.0854554256352821e-14,0.8166093203012068,0.25,5.967577477472047e-15,0.25,135.03581583641423,0.995686947157728,0.1407206967623031,0.7280953352769679,0.984,[],self_dr_tsrmpc,self_a_034,0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,7.107026632757751e-07,75,['solved'],True,True
constant_3_face_diagonal_08,WIND_3D_SETPOINT,constant,3.0,-1,2401,True,2401,True,2.2800000000000002,0.07114300983444927,0.7055462056514018,0.20096204026862935,0.002091456044625267,1.2500435568940258,1.1592538884155523,0.7372326259874856,0.7784989475067292,0.25,0.25,0.25,140.19974101480386,0.995686947157728,0.1407206967623031,0.7098681799250312,0.9894,[],self_dr_tsrmpc,self_a_034,0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,7.107026632757751e-07,75,['solved'],True,True
