time,position_error_3d_m,tip_speed_m_s,orientation_error_deg,angular_speed_rad_s,safe,task_success,ax,ay,az,raw_ax,raw_ay,raw_az,integral_x,integral_y,integral_z,saturated,slew_limited,roll_deg,pitch_deg,uav_x,uav_y,uav_z,tip_x,tip_y,tip_z,target_x,target_y,target_z,wind_x,thrust_raw_N,max_abs_torque_Nm,solve_time_ms,force_total_x,qp_status,qp_iterations,limiter_mismatch,steady_state_residual,steady_task_residual,d_raw_norm,d_hat_norm,d_projected_norm,d_rejected_norm
0.0,0.0,0.0,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,1.0733273954080062e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,2.1466547908160123e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.0,3.219982186224018e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,4.293309581632023e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025,0.0,5.3666369770400276e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,6.439964372448032e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.0,7.513291767856037e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,8.586619163264042e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045,0.0,9.659946558672047e-17,0.0,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,0.0,1.6197,0.0,solved,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,1.0733273954080052e-16,0.0,0.0,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,0.0,-0.0,0.0,0.0,3.2,0.225,0.0,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.3251632408580798e-18,0.6903,0.0,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.055,1.2038952084377722e-22,1.1806601188834446e-16,0.0,7.140160399481787e-24,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,2.4547552239724116e-21,-0.0,6.379071962736993e-26,-8.855348896616685e-28,3.2,0.225,1.2038952084377722e-22,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.2059228944260987e-18,0.6903,4.264410269601711e-44,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.06,4.770583874063356e-22,1.28799287183551e-16,0.0,1.1864387275896164e-24,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,9.727481371514288e-21,-0.0,2.6860787213001843e-25,-1.3796378404358295e-26,3.2,0.225,4.770583874063356e-22,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,3.0910964729241215e-18,0.6903,1.8414798107574e-43,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.065,1.0611912765085254e-21,1.3953256423355668e-16,0.0,1.2595881140922442e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,2.163905121522508e-20,-0.0,6.418028234738278e-25,-6.898439600985244e-26,3.2,0.225,1.0611912765085254e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.980557973071601e-18,0.6903,4.495813171613342e-43,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.07,1.864207393018352e-21,1.5026584163881264e-16,0.0,2.79734665417177e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,3.801550849411912e-20,-0.0,1.2208661636382342e-24,-2.157770003700259e-25,3.2,0.225,1.864207393018352e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.8741823293688768e-18,0.6903,8.680056717812621e-43,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.075,2.877758980438608e-21,1.609991179792473e-16,0.0,3.8703560414977756e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,5.868802289414141e-20,-0.0,2.0524097753618043e-24,-5.218586392996066e-25,3.2,0.225,2.877758980438608e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.7718455996294098e-18,0.6903,1.4686892611017362e-42,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.08,4.093729627049775e-21,1.7173239198896584e-16,0.0,3.935550063539298e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,8.349284054235358e-20,-0.0,3.1911845843320423e-24,-1.0725367019902954e-24,3.2,0.225,4.093729627049775e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.673425197441188e-18,0.6903,2.277256090463658e-42,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.085,5.504231631857751e-21,1.8246566270437855e-16,0.0,2.677370030441604e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,1.1227121794165666e-19,-0.0,4.699219119849946e-24,-1.970135482220493e-24,3.2,0.225,5.504231631857751e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.5788002910703732e-18,0.6903,3.314197232405282e-42,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.09,7.101603110668357e-21,1.9319892959353743e-16,0.0,1.8280292801231508e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,1.4486934952578553e-19,-0.0,6.64500678991361e-24,-3.333337128959327e-24,3.2,0.225,7.101603110668357e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.4878518847863733e-18,0.6903,4.6157662310339464e-42,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.095,8.878404593928793e-21,2.039321926340483e-16,0.0,6.064073063796958e-23,True,False,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,2.1093345133191642e-18,2.1830400767190666e-30,5.951005852024168e-16,0.0,0.0,0.0,False,False,1.811382850475277e-19,-0.0,9.102775922012732e-24,-5.2965322132011456e-24,3.2,0.225,8.878404593928793e-21,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.8844,2.4004631415282315e-18,0.6903,6.221431415073119e-42,solved,25,0.0,4.069430944715155e-32,3.1641733816522796e-28,1.0733273954080052e-16,3.2199821862240156e-17,3.2199821862240156e-17,2.7696038525222225e-32
0.1,1.0827415047249949e-20,2.1466545235154496e-16,0.0,1.2350136871255618e-22,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,2.209338359685482e-19,-0.0,1.2151854107313341e-23,-8.009208211449663e-24,3.2,0.225,1.0827415047249949e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.519819947786568e-18,0.6169,8.164665516656905e-42,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
0.105,1.3094183785888572e-20,2.146654338380173e-16,0.0,3.420358676756759e-22,True,False,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,4.775719838918977e-18,7.6500972086093e-19,1.400409511987118e-15,0.0,0.0,0.0,False,False,2.672195229232423e-19,-0.0,1.595675937331324e-23,-1.1264220850930697e-23,3.2,0.225,1.3094183785888572e-20,0.38999999999999996,0.225,0.0,0.38999999999999996,0.0,129.88440000000003,6.288479465008589e-18,0.6169,1.2188254191330203e-41,solved,25,0.0,8.240985437566479e-32,1.5910307724073434e-27,1.3716586437521045e-16,6.368134262739175e-17,6.368134258406036e-17,2.349212590406231e-21
