candidate_id,sample_count,safe_sample_count,task_success_count,safety_rate,success_rate,acquisition_median_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,solve_time_p95_ms,parameters,d_raw_norm_max,d_hat_norm_max,d_projected_norm_max,d_rejected_norm_max,steady_state_residual_max,steady_task_residual_max,limiter_mismatch_max,qp_iterations_max,solver_valid_rate,limiter_parity_rate
self_a_034,14,14,14,1.0,1.0,2.1525,0.05813546279705854,0.4028461060504324,0.21469908327447187,0.01870326820109791,0.6335641199661142,1.0084,"{'candidate_id': 'self_a_034', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 8, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 40.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.2154046168159796,0.15189863437123605,0.15175424348938032,0.006843147378388266,2.0511807392313583e-16,6.347813404223829e-09,5.373174221168231e-06,75.0,1.0,1.0
self_a_046,14,14,14,1.0,1.0,2.165,0.05828800175870901,0.39816663677815045,0.21268919192384855,0.019414131261546955,0.6317409477530658,1.3032,"{'candidate_id': 'self_a_046', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 12, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 40.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.21544584136236095,0.15192694504482387,0.15178220232938142,0.006819849874008063,1.9016034885530243e-16,6.341487126805826e-09,8.589567124017705e-06,175.0,1.0,1.0
self_a_035,14,14,14,1.0,1.0,2.3075,0.05909294160324486,0.3923794640022363,0.20946657895356235,0.021059469138723027,0.6251317897978387,1.0083,"{'candidate_id': 'self_a_035', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 8, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.20966186055619748,0.1484785884136974,0.14833708574745647,0.006643807484985901,1.8773783664760906e-16,6.322541128025301e-09,1.6212866779885537e-05,125.0,1.0,0.8571428571428571
self_a_030,14,14,14,1.0,1.0,2.1550000000000002,0.05981265543748983,0.40167752064875106,0.21268121300152582,0.025040408267162927,0.5706754087883747,1.0454,"{'candidate_id': 'self_a_030', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 8, 'residual_beta': 0.15, 'residual_clip_norm': 0.2, 'task_position_weight': 40.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.16194558768816347,0.06995522404266818,0.06989654903135287,0.003053491003633228,9.634584197775422e-17,5.8522530180274374e-09,1.1663295746977553e-05,100.0,1.0,0.9285714285714286
self_a_042,14,14,14,1.0,1.0,2.1650000000000005,0.05999086168389139,0.3962003943339159,0.2110618333448287,0.026054907479740427,0.5691801940910434,1.2857,"{'candidate_id': 'self_a_042', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 12, 'residual_beta': 0.15, 'residual_clip_norm': 0.2, 'task_position_weight': 40.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.15967281241135567,0.06887639392955296,0.06881873844015113,0.0030143872432913496,9.53494362416691e-17,5.833353063387652e-09,9.192122452039708e-06,150.0,1.0,1.0
self_a_047,14,14,14,1.0,1.0,2.4925,0.060373724996619894,0.38132725409440493,0.20742027322187032,0.02361606242602086,0.6029230089370469,1.2813,"{'candidate_id': 'self_a_047', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 12, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.2020037354701955,0.14284121495292193,0.14270427699554655,0.006293304373097363,1.7721671779889824e-16,6.278100342542866e-09,1.7507292256413454e-05,125.0,1.0,0.8571428571428571
self_a_031,14,14,14,1.0,1.0,2.3175,0.06090402168058744,0.3910060886877981,0.2147720918127051,0.02818121630894248,0.5651703489292914,1.0373,"{'candidate_id': 'self_a_031', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 8, 'residual_beta': 0.15, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.1580373681146987,0.06808567479967774,0.06802909908406499,0.002996799027763322,8.928579174398328e-17,5.841008220733982e-09,1.6212866779441448e-05,175.0,1.0,0.8571428571428571
self_a_023,14,14,14,1.0,1.0,2.6875000000000004,0.06197141039016602,0.5125210846618887,0.2543941275132166,0.020382013866158313,0.539394501475189,1.3365,"{'candidate_id': 'self_a_023', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'horizon_updates': 12, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.13068782905732393,0.0884822347005368,0.08838774809034126,0.004200720169984742,1.3330416683004053e-16,6.2715005536872985e-09,1.568537899299116e-05,100.0,1.0,0.7142857142857143
self_a_011,14,14,14,1.0,1.0,3.04,0.06214498518866595,0.5776602396724699,0.2639498987238872,0.020911846475262782,0.5812751193967968,1.0531,"{'candidate_id': 'self_a_011', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'full_lqr_048', 'K': [[11.036584322215683, 11.310904011180716, -3.3382746201713446e-15, -8.900660521397779e-15, -2.813693586093646e-14, -7.702111236651157e-15, 9.43936776743195e-14, 6.670365950885416e-14, 38.92879933660244, 5.337925253878614, -6.084194990838757, 2.6552404127018474, 5.049987482087981, 4.054220960707486, 2.1552594949150667, 2.421714511887743, 1.8621453147926068, 1.3063611555841352, 0.8137787428199841, 0.39238394271376303], [-1.3843466819219791e-14, 1.3088100374485791e-15, 11.48860306524821, 18.054936155037538, 7.430432799965661e-14, -2.4301417079340863e-15, -120.91305218846745, -48.636929055587366, 3.531532371149011e-14, -2.0083309488338833e-14, 6.662545540611083e-15, 3.232478864911196e-14, 1.3307115298253875e-14, 6.870369222023325e-15, 2.059586930277579e-15, -1.6999248458841583e-14, -1.309594304027873e-14, -9.768835157730358e-15, -6.492671181353986e-15, -3.378918146639703e-15], [1.3007162627811421e-14, 2.7204972495731044e-15, -4.370670440126095e-14, -6.58706878745623e-14, 10.616806342051534, 6.175848022506019, 3.6195331793642125e-13, 3.7060348104404046e-14, -6.276219857346146e-14, -3.8246708005970864e-14, 1.855291104216411e-14, -1.223229949284984e-14, -1.5692566731957858e-15, -2.0877671437387673e-14, 7.093091280379269e-16, -3.1028263610950764e-14, -2.4794074093094014e-14, -1.833584254166759e-14, -1.2415140458440736e-14, -6.3561588612490095e-15]], 'horizon_updates': 8, 'residual_beta': 0.3, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.13652458059554043,0.09383450562056525,0.09374743654744148,0.004458179324983124,1.344311030264318e-16,6.356210016789782e-09,1.3482656084473632e-05,175.0,1.0,0.8571428571428571
self_a_043,14,14,14,1.0,1.0,2.5050000000000003,0.062282473686290495,0.37957222100298454,0.22048083156424286,0.03145094959267088,0.5480093918328323,1.2965,"{'candidate_id': 'self_a_043', 'architecture_version': '3D-DR-TSRMPC-A1', 'backbone': 'task_lqr_009', 'K': [[11.106224542625887, 17.470461831616884, 1.5464732862818248e-14, 2.1189042483751587e-14, 0.1240911368666274, 0.053225292614218614, -2.213542853291988e-13, -8.30929039540339e-14, 82.13780742046619, 2.4462349502545297, 16.992313302552652, 26.517252814291908, 23.831339754705283, 16.643233515578263, 8.590534789312795, -0.6559215388080796, -0.5078837524212465, -0.44241609392503867, -0.35154266344494484, -0.2164631739648866], [1.3253591901411076e-13, 7.54734982094088e-14, 11.574193706905334, 22.45240034031052, -3.463419877388124e-15, -1.5607674872768699e-15, -159.19877420389403, -55.731161089440235, -8.503988784847722e-15, -6.495585279504552e-14, -1.1067331944955502e-13, -7.096162338518517e-14, -3.825166072386517e-14, -7.24422237939566e-15, -4.6309653397621534e-14, -6.234794889101343e-14, -4.905533961615558e-14, -3.619346140684544e-14, -2.3843425435012598e-14, -1.2779851247954108e-14], [-0.15612834684476892, -0.2723658073901805, -2.3461453449558822e-14, 3.4888932054755463e-15, 10.58063604854578, 6.934249777165041, -1.0275061801225476e-13, 2.4113620783051717e-14, -4.035845280971266, -1.9213628276947188, -1.0648439074700375, -0.8088861241462306, -0.020887699155186682, 0.4279399231661433, -0.3070715482840982, -1.7650667713177126, -1.4552411581309423, -1.1262673861875168, -0.7820819941339575, -0.4335597353161311]], 'horizon_updates': 12, 'residual_beta': 0.15, 'residual_clip_norm': 0.2, 'task_position_weight': 120.0, 'task_velocity_weight': 2.0, 'orientation_weight': 1.0, 'angular_velocity_weight': 0.2, 'residual_correction_weight': 0.2, 'command_rate_weight': 1.0}",0.15197053039600295,0.06519713796352393,0.06514371399526925,0.0029152588071524933,8.890787066635055e-17,5.788218312294604e-09,1.7507292256357943e-05,100.0,1.0,0.8571428571428571
