sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction
dev_calm_00,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.25305616502095846,0.3136006551851996,0.17999999999999997,0.3136885097507703,7.131121969551161,2.0,0.25,133.19448067749772,2.350393338423599,0.1472075078692012,[],0.0796,0.0912863070539419,0.004149377593360996
dev_constant_2p0_00,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.265042955994399,0.36982125923365156,0.26122403238866887,0.3135148601884762,7.242231802180465,2.0,0.25,133.2402527909132,2.3503968425169,0.14729908867000796,[],0.0754,0.0912863070539419,0.004149377593360996
dev_strong_preexisting_00,STRONG_PREEXISTING,corrected_pid,hybrid_x007_y041_z041,True,False,,0.4361337385704107,1.2754716107172894,0.4882987922893625,0.523265918956183,8.261893832463935,2.0,0.25,133.4036189095613,2.3485878061334464,0.14781437172164025,[],0.0779,0.0912863070539419,0.004149377593360996
dev_strong_simultaneous_00,STRONG_SIMULTANEOUS,corrected_pid,hybrid_x007_y041_z041,True,False,,0.3829746287428624,1.2593248706719793,0.46664210506813386,0.5126789287634663,8.021694713907795,2.0,0.25,133.19450926496629,2.350389827355391,0.15185958841631084,[],0.0796,0.0912863070539419,0.004149377593360996
dev_strong_post_target_00,STRONG_POST_TARGET,corrected_pid,hybrid_x007_y041_z041,True,False,,0.5275919213216618,1.4229796929902843,0.40441675788381637,0.7497626351340528,15.039890700610647,2.0,0.25000000000000006,134.97314510883368,4.078184925040704,0.19583625981339783,[],0.0705,0.21991701244813278,0.04149377593360996
dev_ramp_target_00,RAMP_STRONG,corrected_pid,hybrid_x007_y041_z041,True,False,,0.3006167632941755,0.47176327850743593,0.19377289801762798,0.43290732311126084,7.615680747069326,2.0,0.25,133.19526213494188,2.3508445164950023,0.14723213850344466,[],0.0722,0.0912863070539419,0.004149377593360996
dev_calm_01,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,3.0150000000000006,0.19648332333581914,0.30721570682351873,0.18,0.24015163717055088,4.692772535272072,1.913173347575167,0.25,131.20834101147523,1.8097592265085418,0.1200801416220993,[],0.0748,0.0,0.004149377593360996
dev_constant_2p0_01,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.21174728765592107,0.3631530738118515,0.2613619176490407,0.23991385268772886,4.80416114909044,1.9137737238563532,0.25,131.18568654156726,1.8101534346184633,0.12001397988914496,[],0.0792,0.0,0.004149377593360996
dev_strong_preexisting_01,STRONG_PREEXISTING,corrected_pid,hybrid_x007_y041_z041,True,False,,0.4053289209541023,1.2497280507973252,0.48856534510732363,0.4723772600515971,5.818113770687316,1.9150870897740446,0.25,131.16459328763565,1.810279481015256,0.13293081269824256,[],0.0721,0.0,0.004149377593360996
dev_strong_simultaneous_01,STRONG_SIMULTANEOUS,corrected_pid,hybrid_x007_y041_z041,True,False,,0.3468991402620165,1.2317402536359816,0.4537006338162543,0.4603987416445165,5.574798445843374,1.9139640385704224,0.25,131.2511628856262,1.810867040855712,0.13491345686918413,[],0.0793,0.0,0.004149377593360996
dev_strong_post_target_01,STRONG_POST_TARGET,corrected_pid,hybrid_x007_y041_z041,True,False,,0.45812075553998555,1.4204591587172914,0.40217450417873263,0.6405066476432018,12.573459760456096,2.0,0.25,133.34244985775112,3.6276734859764725,0.1873435185866847,[],0.0743,0.13692946058091288,0.02074688796680498
dev_ramp_target_01,RAMP_STRONG,corrected_pid,hybrid_x007_y041_z041,True,False,,0.25497910978818233,0.4676966930980221,0.19456657335281427,0.3764370433108988,5.177451785875908,1.9158665569215103,0.25,131.20776438038,1.8111555577563543,0.12005024061389782,[],0.0449,0.0,0.004149377593360996
dev_calm_02,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,3.125,0.2114459640422755,0.3060549926309082,0.18,0.2585156981863491,5.586010167968228,2.0,0.25,134.70992041583793,1.9994870253000838,0.13081550219145108,[],0.069,0.03734439834024896,0.004149377593360996
dev_constant_2p0_02,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.22553324075338718,0.37386748910434003,0.25977204586019803,0.2581723036265425,5.697396354615195,2.0,0.25,134.74686074564042,2.000020952252043,0.13082767281290145,[],0.0694,0.03734439834024896,0.004149377593360996
dev_strong_preexisting_02,STRONG_PREEXISTING,corrected_pid,hybrid_x007_y041_z041,True,False,,0.41261163001945644,1.282285156678046,0.48583076748004744,0.48485677057343163,6.717216417248657,2.0,0.25,134.89841369515483,2.000346509848988,0.13293081269824256,[],0.046,0.03734439834024896,0.004149377593360996
dev_strong_simultaneous_02,STRONG_SIMULTANEOUS,corrected_pid,hybrid_x007_y041_z041,True,False,,0.3565875814452898,1.2650119097921344,0.46197032466638127,0.47384524790471655,6.477645047113724,2.0,0.25,134.8202513348832,2.000910480575609,0.13638566579381117,[],0.0707,0.03734439834024896,0.004149377593360996
dev_strong_post_target_02,STRONG_POST_TARGET,corrected_pid,hybrid_x007_y041_z041,True,False,,0.4794522464563775,1.4203486442944735,0.40244417168275154,0.6726037230210661,13.510761454465221,2.0,0.25,134.70992041583793,3.7820715698926475,0.19102373498136627,[],0.0452,0.17427385892116182,0.024896265560165973
dev_ramp_target_02,RAMP_STRONG,corrected_pid,hybrid_x007_y041_z041,True,False,,0.26657650672040883,0.4683962266689559,0.19388274662000596,0.39043631175604815,6.070755837269478,2.0,0.25,134.7105170295921,2.0012647526782827,0.13082006443660166,[],0.0708,0.03734439834024896,0.004149377593360996
dev_calm_03,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,4.13,0.13204453901529292,0.41792288002166145,0.18000000000000002,0.15902378558826014,1.684922957320493,1.1400711041774745,0.25,134.6327569319351,1.0912654472949428,0.07268891284690157,[],0.0462,0.0,0.004149377593360996
dev_constant_2p0_03,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,True,4.365,0.13842915191706606,0.7776725702036955,0.1372437840134541,0.16129003645533713,1.8021920132190135,1.1400773041380685,0.25,134.64743974788752,1.0911476873378108,0.07239920127548123,[],0.0468,0.0,0.004149377593360996
