sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum
v5d_calm_00,NORMAL_CALM,paper_incremental_mpc,paper_b_001,True,False,,7.920857253430843,5.251010679753438,1.6404105240194886,11.109146386044168,36.789240639860346,2.0,0.14977287787526364,138.98923950307062,1.1002656017982695,0.14228695437028024,[],0.7872,0.22406639004149378,0.0,not_applicable
v5d_moderate_00,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_001,True,False,,23.031196551889643,6.955983590982575,18.89144213426654,37.025729750488544,53.303562133084654,2.0,0.14950610020510796,138.5683292832034,1.0807789101909684,0.13554226053528592,[],0.7759,0.43983402489626555,0.0,aligned
v5d_calm_01,NORMAL_CALM,paper_incremental_mpc,paper_b_001,True,False,,5.734569563515405,5.493946184582732,1.6298634941007293,8.379291024030557,28.210077702873154,2.0,0.2196441658465821,136.2248047864909,1.0320889929133061,0.14598063579530168,[],0.7924,0.21161825726141079,0.0,not_applicable
v5d_moderate_01,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_001,True,False,,22.764650405557305,7.026530228994065,19.68545376442222,36.731954246837915,43.50253085264894,2.0,0.21886245587382408,136.3457169869591,1.0798865449533914,0.14194149906255954,[],0.7882,0.3983402489626556,0.0,opposed
v5d_calm_02,NORMAL_CALM,paper_incremental_mpc,paper_b_001,True,False,,6.626193596002172,5.317955383051834,1.4163113916199932,9.248322737816043,34.78948209770417,2.0,0.16211506551956767,138.44720824121526,1.0999891941401956,0.14977885204878366,[],0.7544,0.22406639004149378,0.0,not_applicable
v5d_moderate_02,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_001,True,False,,22.572730214136694,6.968054331649594,18.84806625264958,36.35966446615839,51.00806324514332,2.0,0.16184828784941185,138.43318422847392,1.0831160340758677,0.13536312887335747,[],0.8109,0.3983402489626556,0.0,aligned
v5d_calm_03,NORMAL_CALM,paper_incremental_mpc,paper_b_001,True,False,,11.339385070064727,5.354745730998207,2.978739887698273,16.532532467030826,41.80166390191008,2.0,0.08658015409557551,139.06156731257684,1.082161745053609,0.13330454463485042,[],0.7638,0.21161825726141079,0.0,not_applicable
v5d_moderate_03,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_001,True,False,,24.714317653855705,6.9647837099211,19.835959251086344,39.59908170161423,56.8195606812063,2.0,0.08826427208751353,138.36174862373227,1.0473600219982335,0.1363804853706011,[],0.7819,0.34854771784232363,0.0,opposed
v5d_calm_04,NORMAL_CALM,paper_incremental_mpc,paper_b_001,True,False,,10.248261796064261,5.190716680343898,2.4631327873614617,14.759848691133998,39.339805658814065,2.0,0.08759365994165624,139.11265504674193,1.077694669164449,0.12294758427685346,[],0.7665,0.23651452282157676,0.0,not_applicable
v5d_moderate_04,NORMAL_CONSTANT,paper_incremental_mpc,paper_b_001,True,False,,23.94667544021432,6.934409135223286,18.999924262414442,38.38637937475697,55.88140611146733,2.0,0.08962185228704844,138.58113451579663,1.056249553000894,0.1369505328093324,[],0.7632,0.3775933609958506,0.0,aligned
