sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v5d_calm_00,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.13,0.060528396700834736,0.3236284266960854,0.1800000000000006,0.00266568403271127,0.23989153552370465,0.7337082827644492,0.25000000000000006,137.28807401336914,0.7647848937757269,0.09152687913482235,[],4.4269,0.0,0.008298755186721992,not_applicable,0
v5d_moderate_00,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,3.075,0.06097811077143886,0.5282094363216225,0.16177550988158826,0.016501706897138174,0.44231052120565173,0.6969902028966066,0.25,137.177476559151,0.7749490067196213,0.09884426966464757,[],3.9931,0.0,0.012448132780082987,aligned,1
v5d_calm_01,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.33,0.0733684873892254,0.52347885804371,0.23,0.0017449481814083704,0.3736548026757863,0.932698102565481,0.25000000000000006,139.5762385605483,0.7765042527343549,0.12495024567571442,[],3.5971,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_01,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.3500000000000005,0.08705659165141363,0.47278478150058234,0.2521612303357966,0.014437106390333255,0.38567331386911197,0.8713987240741612,0.25000000000000006,139.65320223280455,0.7840157755575762,0.10443911416021553,[],3.8005,0.0,0.012448132780082987,opposed,-1
v5d_calm_02,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.1550000000000002,0.05853447654733813,0.3526645504005751,0.17999999999999966,0.0017669392846843626,0.22881476480245486,0.7499999999999984,0.25000000000000006,137.91343994645396,0.7845438840987644,0.09667937438529108,[],3.7884,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_02,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,3.13,0.058948200310291715,0.5594823061415336,0.16031928321558006,0.01655831096360173,0.440970066268788,0.7413387848636832,0.25,137.80164611339052,0.7711935178150662,0.10439114470212416,[],2.7481,0.0,0.012448132780082987,aligned,1
v5d_calm_03,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.6900000000000004,0.08545494352133855,0.3840620584553522,0.23657837500466491,0.0051863721991971335,0.4038829959289954,0.7785632628293069,0.25,130.82606255807016,0.8435055938978414,0.10608295980465836,[],2.6801,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_03,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.875,0.09637871570178347,0.40423987883245804,0.2484749657339866,0.015938474072315814,0.45643670349647425,0.7790575766449832,0.25,130.66262629064914,0.8128006437455177,0.08473257729793698,[],2.5839,0.0,0.012448132780082987,opposed,-1
v5d_calm_04,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.615,0.06894579420940072,0.22046869392876653,0.1857752579392622,0.005599971925795678,0.24607915904164776,0.7093877660988563,0.25000000000000006,130.59634177629528,0.7551061610846231,0.06624639107381097,[],2.7434,0.0,0.008298755186721992,not_applicable,0
v5d_moderate_04,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,3.045,0.06987215213821547,0.426805463027276,0.17651102052929865,0.016587344513935075,0.4284828050262575,0.7092130233123606,0.25,130.8070187852102,0.7548280297690628,0.08170535402403528,[],2.9607,0.0,0.008298755186721992,aligned,1
v5d_calm_05,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.4750000000000005,0.07642009435520876,0.3057727561915535,0.23000000000000087,0.004651291718944384,0.4328740862606204,0.8362735795731138,0.25,133.8580156792556,0.8050480289054277,0.09309493863665931,[],2.7737,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_05,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.7800000000000002,0.08729931311870628,0.37152957053127666,0.24611101537227373,0.015704166738182895,0.5115181630882709,0.8389071882805006,0.25,134.1059026748635,0.8053055380678867,0.07383319073554977,[],3.2302,0.0,0.012448132780082987,opposed,-1
v5d_calm_06,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.1399999999999997,0.06235742392567719,0.33231261798982115,0.17999999999999927,0.0029231340171727268,0.2341355480205,0.728043323787042,0.25000000000000006,132.24987460773517,0.8356116817597451,0.09793736580070327,[],2.7467,0.0,0.008298755186721992,not_applicable,0
v5d_moderate_06,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.4699999999999998,0.07536638181043763,0.38407580801546676,0.20092126715869557,0.01490190771419217,0.30230130372749997,0.679460416827297,0.25000000000000006,132.10871238578477,0.7182856793187614,0.07820750897930936,[],2.6856,0.0,0.008298755186721992,opposed,1
v5d_calm_07,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,1.9450000000000003,0.05835861357745038,0.2961608199245301,0.22999999999999984,0.0012231142851227342,0.434421044888429,1.1066681310422133,0.25000000000000006,136.61940171307057,0.8113146600564026,0.09631007491480116,[],2.7118,0.0,0.016597510373443983,not_applicable,0
v5d_moderate_07,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.91,0.059543612494542625,0.5009222838930677,0.21751712892324124,0.016122590076409912,0.6404207362412193,1.1028844515055511,0.25,136.81627968058615,0.8921517661110572,0.10554793100420877,[],3.5076,0.0,0.02074688796680498,aligned,-1
v5d_calm_08,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.05,0.05460167145231942,0.30365767214475614,0.18000000000000022,0.0013101138064078844,0.2233464824235421,0.7284945611734366,0.25000000000000006,139.57232424769765,0.6785349075176974,0.08369124856490459,[],3.8822,0.0,0.008298755186721992,not_applicable,0
v5d_moderate_08,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,2.34,0.06858259372829431,0.3721870302482686,0.20051792295010296,0.01448123311184407,0.30315650447738846,0.7250057859362427,0.25000000000000006,139.5874548819335,0.6408840973027362,0.06383057645317211,[],2.7309,0.0,0.008298755186721992,opposed,1
v5d_calm_09,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,2.38,0.08292803998967313,0.46422687010568736,0.2339082960349018,0.004074896050183641,0.3732391378313072,0.8337102312551117,0.25000000000000006,132.7816315939391,0.8226553280811417,0.11908550572296812,[],4.5947,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_09,NORMAL_CONSTANT,satc_ofmpc,ablation_shock_only,True,True,3.3550000000000004,0.08294334718344142,0.6856976781148518,0.22067155751549852,0.017517236731707513,0.6579370616453082,0.8905937622465517,0.25,132.77450484557778,0.8956796454620415,0.1332800344718636,[],3.8939,0.0,0.02074688796680498,aligned,-1
v5d_calm_10,NORMAL_CALM,satc_ofmpc,ablation_shock_only,True,True,1.745,0.04689000273509887,0.22816252326436495,0.17999999999999972,0.0012622662947755843,0.2906746952207239,0.9401477464591785,0.25000000000000006,135.2451163489549,0.7023981458610332,0.07387189206503045,[],3.332,0.0,0.012448132780082987,not_applicable,0
