sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign,residual_clip_fraction_mean,residual_clip_fraction_p95,residual_clip_fraction_max,trust_mean,trust_p95,trust_max,residual_unrepresented_norm_mean,residual_unrepresented_norm_p95,residual_unrepresented_norm_max,residual_debt_norm_mean,residual_debt_norm_p95,residual_debt_norm_max,steady_equality_residual_mean,steady_equality_residual_p95,steady_equality_residual_max,steady_task_residual_mean,steady_task_residual_p95,steady_task_residual_max,requested_steady_input_max_abs_mean,requested_steady_input_max_abs_p95,requested_steady_input_max_abs_max,feasible_steady_input_max_abs_mean,feasible_steady_input_max_abs_p95,feasible_steady_input_max_abs_max,backbone_norm_mean,backbone_norm_p95,backbone_norm_max,qp_correction_norm_mean,qp_correction_norm_p95,qp_correction_norm_max,limiter_mismatch_mean,limiter_mismatch_p95,limiter_mismatch_max,steady_infeasibility_fraction,steady_constraint_activity_fraction,reachable_constraint_activity_fraction,solver_success_rate,qp_iterations_max
v5d_calm_00,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.162684888131805,0.4526032429605812,0.17999999999999997,0.19871693038946592,2.794800755351245,1.4791222053986062,0.25,133.19455214092523,1.4092818997953982,0.09370042140838804,[],0.0905,0.0,0.004149377593360996,not_applicable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_moderate_00,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.16719497814990397,0.800197624755653,0.1372437840134541,0.2006292350196346,2.912194041110103,1.479126759398393,0.25,133.21210086645385,1.409127547868338,0.09345361141521333,[],0.086,0.0,0.004149377593360996,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_calm_01,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,4.09,0.1000345784044867,0.7079278658687822,0.23000000000000004,0.0766254184558951,0.08915720579189335,0.35395603346132914,0.25,134.57202890235226,0.1850684854746129,0.03866604367378228,[],0.0775,0.0,0.004149377593360996,not_applicable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_moderate_01,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,True,6.279999999999999,0.13663786038403478,0.40509921605833304,0.338443624745825,0.05819392874840898,0.18021952374482464,0.35389625616740145,0.25,134.59647533844873,0.13853215476009118,0.041633857166187796,[],0.0833,0.0,0.004149377593360996,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_calm_02,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,True,4.23,0.11616596807017823,0.49260442975029506,0.18,0.13560861526152257,0.9888996553091747,0.8684064419747072,0.25,133.22238385213484,0.8343843196258174,0.056665874832444535,[],0.0748,0.0,0.004149377593360996,not_applicable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_moderate_02,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,True,4.42,0.12233811545038435,0.8201422966654549,0.1372437840134541,0.14080102440467132,1.1054640903808304,0.8684143617315301,0.25,133.23484844350241,0.83430631644525,0.05618605905999209,[],0.0766,0.0,0.004149377593360996,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_calm_03,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.30641876526540385,0.5327855019769645,0.23077237263054937,0.38452771842861183,8.394674377684751,2.0,0.24912266664322713,131.15631222564164,2.558168634832262,0.15821483226400138,[],0.0723,0.12033195020746888,0.0,not_applicable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_moderate_03,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.31834630643466993,0.37823026861237385,0.3237973668614412,0.3804271416195064,8.495690676580175,2.0,0.24890923492151362,131.15320763321495,2.559590814959685,0.15814631494347162,[],0.0759,0.12033195020746888,0.0,opposed,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_calm_04,NORMAL_CALM,corrected_pid,hybrid_x007_y041_z041,True,False,,0.265470729123167,0.34743643563312515,0.18058836279063553,0.33099415950277544,7.434815467819944,2.0,0.2415403231248019,130.98595752128324,2.4084194685111333,0.15013164646448965,[],0.0787,0.0954356846473029,0.0,not_applicable,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v5d_moderate_04,NORMAL_CONSTANT,corrected_pid,hybrid_x007_y041_z041,True,False,,0.2695262369878244,0.7197578765342664,0.15551152271561783,0.33185775306949555,7.551440591575017,2.0,0.24151903039675204,130.98446580246568,2.408105017792962,0.1501136322100361,[],0.0809,0.0954356846473029,0.0,aligned,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
