sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v5d_calm_00,NORMAL_CALM,satc_ofmpc,satc_a_001,True,True,3.08,0.06071047284577777,0.5461830022528223,0.18000000000000066,0.0036025979415573125,0.3963663588890798,0.9999999999999969,0.25,136.5162759084099,0.9534663637483379,0.12956094109380564,[],3.3078,0.0,0.03319502074688797,not_applicable,0
v5d_moderate_00,NORMAL_CONSTANT,satc_ofmpc,satc_a_001,True,True,3.7650000000000006,0.07279404930168594,0.8170183951505595,0.16401377808115147,0.02326660105183569,0.6759223883788863,1.05409640002767,0.25,136.40086984747214,0.9899277852800313,0.14686005511021716,[],3.1889,0.0,0.04979253112033195,aligned,1
v5d_calm_06,NORMAL_CALM,satc_ofmpc,satc_a_001,True,True,3.075,0.062296978690078685,0.550226768104006,0.17999999999999924,0.0035937513220666143,0.42080759682670343,0.9816692016396402,0.25000000000000006,131.38676019177402,0.9507900136794575,0.1353106239961951,[],3.2109,0.0,0.029045643153526972,not_applicable,0
v5d_moderate_06,NORMAL_CONSTANT,satc_ofmpc,satc_a_001,True,True,2.2350000000000003,0.07371128155753869,0.43310732432630844,0.19811538502960885,0.020157386203622212,0.39924735730290273,0.8442451891123313,0.25000000000000006,131.41934200700575,0.8836049097654085,0.09551531130742205,[],3.4022,0.0,0.02074688796680498,opposed,1
v5d_calm_12,NORMAL_CALM,satc_ofmpc,satc_a_001,True,True,2.035,0.054607871670150514,0.020903758574877515,0.1800000000000008,0.0002194925102845367,0.47272328450353607,0.9507493282563462,0.25,132.98966109815927,1.0711008606099615,0.014107008414822316,[],3.3812,0.0,0.012448132780082987,not_applicable,0
v5d_moderate_12,NORMAL_CONSTANT,satc_ofmpc,satc_a_001,True,True,2.3100000000000005,0.06244005436523305,0.3098921485760928,0.18199931603801117,0.020621028010132623,0.5864692454457257,0.9279220546257414,0.25,132.87590991355964,1.0440075267673676,0.041561758756678654,[],3.8336,0.0,0.012448132780082987,cross,1
v5d_strong_preexisting_aligned_00,STRONG_PREEXISTING,satc_ofmpc,satc_a_001,True,False,,0.15544037484089362,1.638589421688992,0.34213241674432193,0.07785719228577088,1.980217664708368,1.252709130944127,0.25,136.25008119155893,1.0202718963703965,0.16351782412793364,[],3.8901,0.0,0.06639004149377593,aligned,1
v5d_strong_preexisting_aligned_01,STRONG_PREEXISTING,satc_ofmpc,satc_a_001,True,False,,0.16880758874389026,1.85317182791511,0.39627213055848703,0.07786688328579841,2.324630952361146,1.6489446103239298,0.25000000000000006,132.54596375725816,1.3473583089349614,0.21060575935645243,[],3.2436,0.0,0.12033195020746888,aligned,-1
v5d_strong_preexisting_opposed_00,STRONG_PREEXISTING,satc_ofmpc,satc_a_001,True,False,,0.14173412421950685,0.9969486686292608,0.30482537451325503,0.06732159206223451,1.3966615968276654,0.81476119290374,0.25,131.38827705045992,0.6952628721171256,0.1326874663710816,[],3.415,0.0,0.008298755186721992,opposed,1
v5d_strong_preexisting_opposed_01,STRONG_PREEXISTING,satc_ofmpc,satc_a_001,True,False,,0.13811608448801346,0.9884578490839468,0.32705069486579486,0.06740147632036453,1.4795650901093376,1.0199330455296909,0.2500000000000001,143.49617482672463,0.6536678163674141,0.132876875322403,[],2.8758,0.0,0.029045643153526972,opposed,-1
