sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v6d_calm_00,NORMAL_CALM,yu2026,yu_b_001,False,False,,2.1488760992973175,68.6149936750233,2.4837647354038483,3.443663921093391,64.52577558030104,2.0,0.2500000000000001,142.18976285023686,39.499275430314654,2.6657450092231767,"['attitude', 'uav_height']",0.0621,0.6016597510373444,0.3029045643153527,not_applicable,0
v6d_moderate_00,NORMAL_CONSTANT,yu2026,yu_b_001,False,False,,3.8639785883878695,67.56588709626023,6.445299172481723,4.318846799073441,91.25211142392993,2.0,0.2500000000000001,145.9165600979508,45.069796042970374,3.8659958404526837,"['attitude', 'uav_height']",0.0617,0.7551867219917012,0.22406639004149378,aligned,1
v6d_calm_01,NORMAL_CALM,yu2026,yu_b_001,False,False,,4.416934607675524,50.5883435340539,4.00618248025096,6.871283274695875,56.773827461581504,2.0,0.2500000000000001,147.38137674869512,20.80632039726384,12.658642525718381,"['attitude', 'joint_angle', 'uav_height']",0.0596,0.5975103734439834,0.4066390041493776,not_applicable,0
v6d_moderate_01,NORMAL_CONSTANT,yu2026,yu_b_001,True,False,,8.036741966486492,14.005707783762368,6.11249420551637,11.132226320264401,62.51183329721155,2.0,0.2500000000000001,153.05687357137003,4.464104434690206,4.944150524394211,[],0.0623,0.6804979253112033,0.36929460580912865,opposed,-1
v6d_calm_02,NORMAL_CALM,yu2026,yu_b_001,False,False,,1.9177132875626046,69.69684175479,2.4629852525397826,3.0355906976636358,64.17283855277827,2.0,0.2500000000000001,140.77825815343627,43.32500521507118,2.7075533039611415,"['attitude', 'uav_height']",0.0579,0.6016597510373444,0.3029045643153527,not_applicable,0
v6d_moderate_02,NORMAL_CONSTANT,yu2026,yu_b_001,False,False,,3.7358213045493476,67.64133962682297,6.44350167457306,3.996177707312944,91.22212863004674,2.0,0.25000000000000006,145.97083051034207,45.0711991519167,4.159880040707237,"['attitude', 'uav_height']",0.054,0.7551867219917012,0.23236514522821577,aligned,1
v6d_calm_03,NORMAL_CALM,yu2026,yu_b_001,False,False,,4.059486007021977,53.74837704995182,4.664818694554184,6.288664863665632,55.44007429765155,2.0,0.2500000000000001,149.9478402096489,20.77652498964831,10.576754310806567,"['attitude', 'joint_angle', 'uav_height']",0.0543,0.5850622406639004,0.38589211618257263,not_applicable,0
v6d_moderate_03,NORMAL_CONSTANT,yu2026,yu_b_001,False,False,,7.941818892669352,14.02595444930712,6.1261680044934055,10.671095608201444,62.0862938103439,2.0,0.25,152.5202281945889,4.504680664527934,4.750950971632273,['attitude'],0.0609,0.6763485477178424,0.3236514522821577,opposed,-1
v6d_calm_04,NORMAL_CALM,yu2026,yu_b_001,False,False,,3.9104366683845617,26.995033071266935,4.372758103804401,6.175182592758321,57.69221686313638,2.0,0.2500000000000001,148.43215867754833,20.694718883593517,7.034004869045003,"['attitude', 'joint_angle', 'uav_height']",0.0563,0.5933609958506224,0.37344398340248963,not_applicable,0
v6d_moderate_04,NORMAL_CONSTANT,yu2026,yu_b_001,False,False,,4.385540205010742,66.50328700885999,6.026756637496408,5.814768055522683,78.94295032668381,2.0,0.2500000000000001,150.99603709885577,36.487631438572144,7.056748515063555,"['attitude', 'joint_angle', 'uav_height']",0.0621,0.7344398340248963,0.35269709543568467,aligned,1
