sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v7d_calm_00,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.1067081781233089,0.8957499844333054,0.17069488915446498,0.12930358732301164,0.7242381345523649,0.9411383351398149,0.07222634181025431,130.0773913899099,0.8663249743306403,0.09260215301487934,[],0.0843,0.0,0.0,not_applicable,0
v7d_moderate_00,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.16621420893356526,1.991337692789762,0.23890611966698283,0.2048732738475406,1.1263162736718288,0.9402275426905927,0.07329776703761666,130.1138082045037,0.8644141658570167,0.1693035381451047,[],0.0763,0.0,0.0,aligned,1
v7d_calm_01,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.13591719172313688,1.4731669191534378,0.20946295467074433,0.16808337691879865,0.9735981514720979,1.0537832884002236,0.11024463873218142,130.80699133603753,0.9703131424343985,0.1337738197030134,[],0.0831,0.0,0.0,not_applicable,0
v7d_moderate_01,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.19783696201890685,0.871735075365879,0.3095210366762036,0.21498820882752634,1.0471531959139069,1.054954084254449,0.10916162334108842,130.82617245788867,0.9715780472013279,0.06897814563547382,[],0.0795,0.0,0.0,opposed,-1
v7d_calm_02,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.32173993835207987,1.6270462876080178,0.24036203725211655,0.4490939976378454,4.8530851897643315,2.0,0.12929937155777904,130.96065630705888,2.8945552490651947,0.17687339264255358,[],0.0839,0.04149377593360996,0.0,not_applicable,0
v7d_moderate_02,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.34836068903125245,2.8593865392585034,0.2627689255986651,0.4992308449636621,5.377537347346076,2.0,0.1287479371820115,131.04215024099508,2.8734241988694693,0.22845847831639687,[],0.0798,0.04149377593360996,0.0,aligned,1
v7d_calm_03,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.0937541360206093,1.3448646359973373,0.16963781589083196,0.09354406863490264,0.13055393871251786,0.3060868314394849,0.10402044513159028,130.52219556275261,0.35642864912582095,0.11269155577545975,[],0.0822,0.0,0.0,not_applicable,0
v7d_moderate_03,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.172361744996395,0.8688639109416065,0.2796313639714131,0.1579080130758072,0.226701691217845,0.2463080242883065,0.10293742974049727,130.55814528542535,0.1903899962854093,0.06222523256950911,[],0.0821,0.0,0.0,opposed,-1
v7d_calm_04,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.33518904251436993,1.4465362911644055,0.21714393742947574,0.47055312290889334,5.070020945166903,2.0,0.1363652895702243,131.03161271546475,2.9858862417626346,0.16816434462368343,[],0.0795,0.04149377593360996,0.0,not_applicable,0
v7d_moderate_04,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.3567877767136041,2.5245798246744378,0.24848759138293436,0.5122391558687597,5.525114017116938,2.0,0.1358119772406312,131.13413462459602,2.9816534040847618,0.22763418478886774,[],0.0814,0.04149377593360996,0.0,aligned,1
v7d_calm_05,NORMAL_CALM,kang2026,kang_a_001,True,False,,0.1435166772894757,1.6748958035548378,0.23945434658198037,0.16877163305284643,0.850575508982389,0.9361407137787333,0.12503132989441235,130.88572684747476,0.861194755125178,0.1440048648554832,[],0.0837,0.0,0.0,not_applicable,0
v7d_moderate_05,NORMAL_CONSTANT,kang2026,kang_a_001,True,False,,0.20289127342155666,0.8832817755707234,0.3387614328813842,0.20869023813104026,0.8873382339829626,0.9376593710006581,0.12394831450331936,130.91656341814559,0.8633057906360283,0.06444436705518063,[],0.081,0.0,0.0,opposed,-1
v7d_strong_before_aligned_00,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.3094151844708422,2.079789106100442,0.4747896149468001,0.421503569710905,1.910877019417649,0.9348186938494184,0.06738521665649722,130.19666583884916,0.8583588424859573,0.1368098847147553,[],0.0776,0.0,0.0,aligned,1
v7d_strong_before_aligned_01,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.30096069939548503,2.0122164234750284,0.44304064348124683,0.42095288641068457,2.079163010962865,1.059864824629544,0.08726976284124172,130.18399157054932,0.9712825874469037,0.13690056507550152,[],0.0887,0.0,0.0,aligned,-1
v7d_strong_before_aligned_02,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.4138922825933175,2.008156642533511,0.44874395895564057,0.6388424229926785,5.908762773542882,2.0,0.12878598749802084,131.06247278624687,2.8913822883736255,0.1368098847147553,[],0.0831,0.04149377593360996,0.0,aligned,1
v7d_strong_before_aligned_03,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.2884643033531218,2.027954079990075,0.44510795885080456,0.39149979167273347,1.2500748314656076,0.5930978327060733,0.0810455692406506,130.17018263571418,0.47081204782761243,0.13690056507550152,[],0.0827,0.0,0.0,aligned,-1
v7d_strong_before_aligned_04,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.42900873967995634,2.0136941938308657,0.4624645352499402,0.663783480134922,6.153202926309943,2.0,0.13578265185110205,131.1578201865013,2.971201956876164,0.1368098847147553,[],0.0789,0.04149377593360996,0.0,aligned,1
v7d_strong_before_aligned_05,STRONG_NEAR_SIMULTANEOUS,kang2026,kang_a_001,True,False,,0.29624925332098623,1.9974811910995132,0.4280885443792377,0.41192460501828315,1.9156049210140842,0.9414788964099986,0.10205645400347269,130.16098961043798,0.8637341845802896,0.13690056507550152,[],0.0831,0.0,0.0,aligned,-1
v7d_stochastic_8000,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,False,,0.3211325516531616,1.5624772594237846,0.23410019203298657,0.4538965099659887,4.823042169508019,2.0,0.1293947643591491,130.9300438497069,2.8941705050147046,0.15645334927889,[],0.0829,0.04149377593360996,0.0,aligned,1
v7d_stochastic_8001,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,False,,0.16784203809348375,2.092053430199883,0.2337558797158949,0.2144821664100579,1.4475998933942553,1.255843444731361,0.08636172918930353,130.16413456653035,1.1600359401332927,0.1743689261365662,[],0.0807,0.0,0.0,opposed,-1
v7d_stochastic_8002,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,False,,0.4654533431055467,0.8123063405357935,0.2503303721576236,0.6529513490633608,7.0221823624257595,2.0,0.17917622222105378,132.2672209807445,3.5881790887611165,0.13362752051741572,[],0.0836,0.04979253112033195,0.0,opposed,1
v7d_stochastic_8003,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,False,,0.5776433411682363,0.5987293194014346,0.2972529502399394,0.8116548962957504,9.0064659327801,2.0,0.2078436734894622,132.89753399334964,4.0365279074831735,0.18574250099376724,[],0.0796,0.05394190871369295,0.0,cross,-1
v7d_stochastic_8004,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,False,,0.459969121483935,1.7184565106923662,0.2625142877670839,0.6555810052818769,7.083470589763974,2.0,0.17649032079922944,132.37421400053344,3.5479884746922763,0.1836976318813791,[],0.078,0.04979253112033195,0.0,cross,1
v7d_stochastic_8005,NORMAL_STOCHASTIC,kang2026,kang_a_001,True,True,3.7750000000000004,0.05894764539883735,0.4093452569735422,0.17234450472087012,0.02919417718388277,0.017296359157411685,0.12843460175257498,0.10167440329881258,130.52116965247777,0.15079227082581292,0.05194077098694322,[],0.0812,0.0,0.0,opposed,-1
v7d_calm_00,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.13626446197201825,1.7697244564106112,0.17069488915446498,0.18444279717582543,1.2095001604611328,1.1541386762666797,0.07222634181025431,130.15159734302128,1.0614224546509161,0.17648218656585918,[],0.0839,0.0,0.0,not_applicable,0
v7d_moderate_00,NORMAL_CONSTANT,kang2026,kang_a_002,True,False,,0.30769291023886836,4.729882043677834,0.30240707343437473,0.44558759617009824,2.830824713573881,1.1491299301671398,0.0966196994739662,130.91405068793722,1.1453301208982543,0.3173325169803891,[],0.0833,0.0,0.0,aligned,1
v7d_calm_01,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.2002290552525269,2.8877101476661884,0.20946295467074433,0.2767362367930955,1.851146541149188,1.300020422570371,0.11024463873218142,130.80673039463875,1.189064669549222,0.21394906021594198,[],0.0871,0.0,0.0,not_applicable,0
v7d_moderate_01,NORMAL_CONSTANT,kang2026,kang_a_002,True,False,,0.22378408053794707,2.2815181950664094,0.29600482572941067,0.2729299812849399,2.093079684386181,1.308863389814676,0.1083671610947822,130.79152683553954,1.2017515400536332,0.24216709314123894,[],0.0813,0.0,0.0,opposed,-1
v7d_calm_02,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.4057425193665846,3.1830745956531534,0.26383274312883304,0.5916563713411152,6.378627545237714,2.0,0.15746437187778084,131.3029533697317,3.1907935688547138,0.23649884056022272,[],0.082,0.04564315352697095,0.0,not_applicable,0
v7d_moderate_02,NORMAL_CONSTANT,kang2026,kang_a_002,True,False,,0.4801820135045591,5.159245230198155,0.35722870818257163,0.7139305262122234,7.815118833871502,2.0,0.1573717101855523,131.22732629623758,3.1821573121127966,0.3518618147838186,[],0.0857,0.04564315352697095,0.0,aligned,1
v7d_calm_03,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.15252729724636832,2.636894093557066,0.16963781589083196,0.19381990588700523,0.6103710491107837,0.718083806932956,0.10402044513159028,130.52144642985547,0.7732392085923502,0.20223171958658487,[],0.0827,0.0,0.0,not_applicable,0
v7d_moderate_03,NORMAL_CONSTANT,kang2026,kang_a_002,True,False,,0.1963159831677069,2.3129626313922476,0.2828127949966615,0.21201717818460433,0.9610758349867823,0.8519547973258261,0.10214296749419105,130.5466334720085,0.6210300475315258,0.24005280927469158,[],0.0822,0.0,0.0,opposed,-1
v7d_calm_04,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.4120230464223826,2.8820542219284753,0.25927960476563106,0.5972014412433476,6.549084583263459,2.0,0.1650490595741847,131.46627614185476,3.295366661351096,0.2376722872082236,[],0.0797,0.04564315352697095,0.0,not_applicable,0
v7d_moderate_04,NORMAL_CONSTANT,kang2026,kang_a_002,True,False,,0.49130486373521376,5.089236679093665,0.34531430788741757,0.7363424251048424,8.053791896553191,2.0,0.1636109312367091,131.41214423101613,3.277480364614247,0.34775847478699007,[],0.0812,0.04979253112033195,0.0,aligned,1
v7d_calm_05,NORMAL_CALM,kang2026,kang_a_002,True,False,,0.2283390701866527,3.296114401958363,0.23945434658198037,0.30876857901300686,1.8074668721907643,1.1477720330005916,0.12503132989441235,130.88542492685443,1.0442814104787848,0.23636772063624092,[],0.0812,0.0,0.0,not_applicable,0
