sample_id,cohort,controller,candidate_id,safe,task_success,acquisition_time_s,position_rmse_3d_m,orientation_rmse_deg,ramp_peak_position_error_m,ramp_steady_state_position_error_m,total_acceleration_effort,max_abs_command_m_s2,max_command_step_m_s2,max_thrust_N,max_abs_torque_Nm,max_cutter_angular_speed_rad_s,safety_failure_reasons,solve_time_p95_ms,amplitude_saturation_fraction,slew_activity_fraction,directional_stratum,wind_direction_sign
v7d_calm_00,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.113446957447117,45.81975908683108,5.608007101477752,3.7582351013006123,77.20938741610689,2.0,0.25,155.6855578836036,48.597854324515936,7.658315555758558,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.1927,0.7510373443983402,0.5892116182572614,not_applicable,0
v7d_moderate_00,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.7877489966871645,37.65207182521581,6.961847298736414,3.1069567737445363,103.0895750334914,2.0,0.25,158.75908278352858,22.30694758603523,6.839800039212685,"['attitude', 'joint_angle', 'uav_height']",0.2314,0.966804979253112,0.48132780082987553,aligned,1
v7d_calm_01,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.913679412969224,42.520853485404565,5.344737003873125,3.1158157243538036,78.90371294017666,2.0,0.25,156.40637469652282,49.86424273460662,6.562681539694787,"['attitude', 'joint_angle', 'uav_height']",0.1829,0.7510373443983402,0.5435684647302904,not_applicable,0
v7d_moderate_01,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.855473874529592,47.3350451156392,7.701685274679749,1.3280181746872732,95.49694166594911,2.0,0.25,157.3915138180483,53.38835314592252,10.197999649224663,"['attitude', 'joint_angle', 'uav_height']",0.233,0.966804979253112,0.6224066390041494,opposed,-1
v7d_calm_02,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.2077324536746854,45.81320448014531,5.790080822684884,3.8029112983668694,79.4567332115722,2.0,0.25,157.25490489108378,51.82432627350615,7.1455821351379445,"['attitude', 'joint_angle', 'uav_height']",0.2213,0.7510373443983402,0.4605809128630705,not_applicable,0
v7d_moderate_02,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.684128384844624,80.62186001998225,6.871990133979695,2.823891902402604,101.97559079715863,2.0,0.25,158.27059123674164,26.799473534157602,7.519489202296544,"['attitude', 'joint_angle', 'uav_height']",0.227,0.966804979253112,0.47717842323651455,aligned,1
v7d_calm_03,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.829984002898337,42.77035454559494,5.120506967795026,3.2285931889511588,77.24457613095201,2.0,0.25000000000000006,156.1838407540567,36.257008485074685,6.174442079946313,"['attitude', 'joint_angle', 'uav_height']",0.2347,0.7510373443983402,0.5892116182572614,not_applicable,0
v7d_moderate_03,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.797386651938363,47.41907087300721,7.7017301505563145,1.572440675016667,99.62861097491442,2.0,0.25,157.3915138180483,55.95295660608802,9.788360685624356,"['attitude', 'joint_angle', 'uav_height']",0.1755,0.966804979253112,0.5518672199170125,opposed,-1
v7d_calm_04,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.143647752810953,41.389726869789506,5.787028713348033,3.583793266348999,79.44230242072176,2.0,0.25,158.33218719973374,53.74015397335344,6.9174761623087,"['attitude', 'joint_angle', 'uav_height']",0.2291,0.7510373443983402,0.4854771784232365,not_applicable,0
v7d_moderate_04,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.603812529057949,40.51188381963962,6.809655604300105,2.66162230452418,100.00326453826905,2.0,0.25,158.6358287201597,24.608915696375956,7.54070549074605,"['attitude', 'joint_angle', 'uav_height']",0.2312,0.966804979253112,0.5145228215767634,aligned,1
v7d_calm_05,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.908464254271567,42.340719947113755,5.347872038613787,3.111022547781908,79.72483068818312,2.0,0.25,155.98742941224472,49.362054432098695,6.981677597300957,"['attitude', 'joint_angle', 'uav_height']",0.2327,0.7510373443983402,0.5145228215767634,not_applicable,0
v7d_moderate_05,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.7017815754627614,68.48174773550953,7.43666015377074,1.4740937519713884,97.78008283855297,2.0,0.25,157.3915138180483,20.76460301313917,9.071333305960035,"['attitude', 'joint_angle', 'uav_height']",0.2465,0.966804979253112,0.6224066390041494,opposed,-1
v7d_calm_06,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.9578088734367314,27.499310566687445,5.53244088017036,3.3450457087076755,76.68566247202386,2.0,0.25,155.66358984959112,48.81695896026355,6.2969208996500265,"['attitude', 'joint_angle', 'uav_height']",0.2028,0.7510373443983402,0.5684647302904564,not_applicable,0
v7d_moderate_06,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.8376850386339543,81.63667688613211,6.943368159174481,3.2910213135935984,102.59870801925157,2.0,0.25,157.82344008584877,24.67865096777148,11.404974329647079,"['attitude', 'joint_angle', 'uav_height']",0.1654,0.966804979253112,0.4896265560165975,aligned,1
v7d_calm_07,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.9307948925782803,49.80730662899869,5.51887090350594,3.2589004943678024,77.49158401503352,2.0,0.25,155.6618374536528,49.19329606180389,7.192953385837623,"['attitude', 'joint_angle', 'uav_height']",0.163,0.7510373443983402,0.5601659751037344,not_applicable,0
v7d_moderate_07,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.956724742395983,43.23992525453645,7.842331399370918,1.587424986552264,97.63633217675155,2.0,0.25,158.95096860357833,44.83006356196348,7.326896887155477,"['attitude', 'joint_angle', 'uav_height']",0.1832,0.966804979253112,0.5269709543568465,opposed,-1
v7d_calm_08,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.0045178041530543,37.83779457038601,6.122418767002097,3.233244392357049,74.67844064325604,2.0,0.25,156.0094001602377,44.735025122510635,7.6672544011787425,"['attitude', 'joint_angle', 'uav_height']",0.2292,0.7510373443983402,0.5352697095435685,not_applicable,0
v7d_moderate_08,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.623488597815859,39.67393822836224,7.365413538411195,1.5855178430921981,102.03763953826905,2.0,0.25,157.59693791302718,20.528024937407572,10.095747504874408,"['attitude', 'joint_angle', 'uav_height']",0.2282,0.966804979253112,0.5020746887966805,opposed,1
v7d_calm_09,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.917761038784074,33.45750010611728,5.758739153320737,3.0604523471416223,77.73412772794765,2.0,0.25,158.0122337927737,57.26140049761837,7.146401148857965,"['attitude', 'joint_angle', 'uav_height']",0.2398,0.7510373443983402,0.47717842323651455,not_applicable,0
v7d_moderate_09,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.764357162967703,53.5922514611267,7.354964780771632,1.2183084200106085,100.61050474188653,2.0,0.25,157.3915138180483,38.238936866913754,6.648973735139005,"['attitude', 'joint_angle', 'uav_height']",0.2273,0.966804979253112,0.5518672199170125,aligned,-1
v7d_calm_10,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.0203436763400955,35.14865161211242,5.872728493915337,3.339330152311353,78.10124345065097,2.0,0.25,157.432115927259,56.28108875953178,7.057963126861603,"['attitude', 'joint_angle', 'uav_height']",0.2398,0.7510373443983402,0.4730290456431535,not_applicable,0
v7d_moderate_10,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.618776373600166,45.7426865869292,7.043332489755801,2.5193813846463042,97.72201402326611,2.0,0.25,159.04527174856042,21.24148466672318,10.351057801715841,"['attitude', 'joint_angle', 'uav_height']",0.2368,0.966804979253112,0.6141078838174274,opposed,1
v7d_calm_11,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.000057010099306,29.895365593644833,6.127488196418153,3.200566052829155,74.49594106217607,2.0,0.25,156.02293786867355,44.63270152228597,5.626344095300346,"['attitude', 'joint_angle', 'uav_height']",0.221,0.7510373443983402,0.5311203319502075,not_applicable,0
v7d_moderate_11,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.8361965402756573,61.0871900261477,7.56148909334143,1.3930402816390732,99.84988202125047,2.0,0.25,157.3915138180483,44.626613161393436,10.254886919620516,"['attitude', 'joint_angle', 'uav_height']",0.2212,0.966804979253112,0.5477178423236515,aligned,-1
v7d_calm_12,NORMAL_CALM,xu2025,xu_v8_000,False,False,,3.1141565273906764,58.64571576036007,6.4495295650385485,3.3197241806317876,74.44764970135417,2.0,0.25,156.2528549770167,42.909033219650546,7.23128176639316,"['attitude', 'joint_angle', 'uav_height']",0.2347,0.7510373443983402,0.5186721991701245,not_applicable,0
v7d_moderate_12,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.680864494538271,74.67713118923042,7.227339211832153,2.2131948100285235,102.85607450154524,2.0,0.25,157.90299808080138,20.96544686965094,7.820140236279883,"['attitude', 'joint_angle', 'uav_height']",0.2336,0.966804979253112,0.48132780082987553,opposed,1
v7d_calm_13,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.9949245773242374,41.96215002683972,5.7871064519769675,3.250820779652285,77.80278277620738,2.0,0.25,157.32452734592732,53.22443402828507,8.090296317377884,"['attitude', 'joint_angle', 'uav_height']",0.2276,0.7510373443983402,0.4730290456431535,not_applicable,0
v7d_moderate_13,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.766478430811985,63.46612516754757,7.4340571124416925,1.3138680038892045,97.63010215003217,2.0,0.25,157.3915138180483,41.41984032440834,8.811529595029166,"['attitude', 'joint_angle', 'uav_height']",0.2324,0.966804979253112,0.5767634854771784,aligned,-1
v7d_calm_14,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.9228592314385264,32.684731323072434,5.775995283759654,3.3562392476903145,79.50361218386536,2.0,0.25,155.80212596365766,45.97992337141462,8.012025737447166,"['attitude', 'joint_angle', 'uav_height']",0.2246,0.7510373443983402,0.4979253112033195,not_applicable,0
v7d_moderate_14,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.5124222653022628,82.6378650235177,6.900368851218254,2.390205658284545,98.96655853707365,2.0,0.25,159.11444630327358,20.23518683594448,9.586446671987717,"['attitude', 'joint_angle', 'uav_height']",0.2344,0.966804979253112,0.5228215767634855,opposed,1
v7d_calm_15,NORMAL_CALM,xu2025,xu_v8_000,False,False,,2.6777285297099245,34.12802983001378,5.185971078268671,2.6725401015761734,77.6812809756799,2.0,0.25,155.32106654479523,55.1749476735899,6.855745041587579,"['attitude', 'joint_angle', 'uav_height']",0.2296,0.7510373443983402,0.5145228215767634,not_applicable,0
v7d_moderate_15,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.936770311677517,62.2778741566702,7.7031139615192545,1.4175040703584638,101.22169077320515,2.0,0.25,157.3915138180483,41.85549381717921,6.6621231576327995,"['attitude', 'joint_angle', 'uav_height']",0.2405,0.966804979253112,0.5269709543568465,aligned,-1
v7d_calm_16,NORMAL_CALM,xu2025,xu_v8_000,False,False,,6.417213194827604,13.966953236872449,8.260966892777006,8.952173026714657,76.7255058069147,2.0,0.25,157.61666831520984,15.608527697227444,7.395563243145986,['attitude'],0.2378,0.7468879668049793,0.49377593360995853,not_applicable,0
v7d_moderate_16,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.4777106307988026,61.41670042149626,7.1654019702293335,1.2959533730928827,101.92206100408798,2.0,0.25,157.3880905091903,20.509426877981532,8.664671573510423,"['attitude', 'joint_angle', 'uav_height']",0.2359,0.966804979253112,0.5103734439834025,cross,1
v7d_calm_17,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.68153728007416,23.823350444999555,8.548261159654137,7.729598432293985,76.8796172854997,2.0,0.2500000000000001,158.12847796058006,20.63088000323214,17.273686271618814,"['attitude', 'joint_angle', 'uav_height']",0.2342,0.7510373443983402,0.5103734439834025,not_applicable,0
v7d_moderate_17,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.910375344186454,45.43328783429945,7.652140214483894,1.2583763969128419,97.7423541073988,2.0,0.25,158.43856969769254,65.04660687220832,8.364507463264387,"['attitude', 'joint_angle', 'uav_height']",0.2342,0.966804979253112,0.6307053941908713,cross,-1
v7d_calm_18,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.5300678478605745,23.108229253377804,10.55499766860023,7.312394138864988,79.0479493293735,2.0,0.2500000000000001,156.78349372465723,29.221186534487803,16.635195425024957,"['attitude', 'joint_angle', 'uav_height']",0.2291,0.7510373443983402,0.4854771784232365,not_applicable,0
v7d_moderate_18,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.5940491013599654,29.539262754197292,7.225230500763907,1.3166479279875931,102.48929503268288,2.0,0.25,157.3880905091903,19.770602124284807,7.240614059808452,"['attitude', 'joint_angle', 'uav_height']",0.2309,0.966804979253112,0.5228215767634855,cross,1
v7d_calm_19,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.493575295458936,43.17871829661362,7.714231482444652,7.474067568015605,77.93302404584821,2.0,0.25,157.55249048337853,21.196439733460547,12.301771770541235,"['attitude', 'joint_angle', 'uav_height']",0.2325,0.7510373443983402,0.45643153526970953,not_applicable,0
v7d_moderate_19,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.9670411625903688,36.12981652730569,7.692221925252086,1.7509322685978412,100.10485410739881,2.0,0.25,158.4895671254166,75.81649744292463,10.51578805307947,"['attitude', 'joint_angle', 'uav_height']",0.2306,0.966804979253112,0.5560165975103735,cross,-1
v7d_calm_20,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.348955374678119,50.67292317602703,7.553775446624204,7.422761623576438,77.36210552006668,2.0,0.25,157.64740932112144,23.354444544652118,10.70839395985416,"['attitude', 'joint_angle', 'uav_height']",0.241,0.7510373443983402,0.4979253112033195,not_applicable,0
v7d_moderate_20,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.61247188073903,32.116763065500685,7.357167350629303,1.407036575595064,103.69304822185455,2.0,0.25,158.34782034282964,19.9965061134849,9.107450777793737,"['attitude', 'joint_angle', 'uav_height']",0.2322,0.966804979253112,0.46887966804979253,cross,1
v7d_calm_21,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.323742656026995,34.59432068139167,6.90966495960896,7.5382365394324715,78.62756334994782,2.0,0.25,158.46187744337269,26.852609100539507,15.851026670286616,"['attitude', 'joint_angle', 'tip_height', 'uav_height']",0.2329,0.7344398340248963,0.5394190871369294,not_applicable,0
v7d_moderate_21,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,4.055031701814252,67.53872872131225,7.907337508133858,1.6162701161064363,95.4620891506798,2.0,0.25,157.3915138180483,44.38111035427539,6.476716552025249,"['attitude', 'joint_angle', 'uav_height']",0.2369,0.966804979253112,0.5975103734439834,cross,-1
v7d_calm_22,NORMAL_CALM,xu2025,xu_v8_000,False,False,,5.524981328782243,25.206175403972207,7.960892480051411,7.562168083601795,78.9556549915547,2.0,0.25,158.09822672878138,24.703010848122236,11.899355470946148,"['attitude', 'joint_angle', 'uav_height']",0.2293,0.7510373443983402,0.46887966804979253,not_applicable,0
v7d_moderate_22,NORMAL_CONSTANT,xu2025,xu_v8_000,False,False,,3.5347467985834924,18.652390416625035,7.21274080317303,1.048409269944279,100.09626721617772,2.0,0.25,157.3880905091903,19.532650244198862,7.691113605752366,"['attitude', 'joint_angle', 'uav_height']",0.2309,0.9626556016597511,0.5518672199170125,cross,1
